,分词,计数
16968,电影,2554
718,故事,1274
17130,剧情,987
21757,说,935
26938,导演,786
766,没,775
15639,里,742
20537,拍,697
11914,感觉,617
19950,演员,605
735,挺,590
6661,一部,570
16908,不错,560
4011,更,553
5859,中,546
5089,想,534
10385,喜欢,502
11053,演技,490
28361,角色,475
23018,这部,454
4810,笑,441
6986,观众,435
13751,做,428
2570,剧本,423
14026,喜剧,423
19875,人物,416
2180,好看,390
12301,爱情,386
8744,点,376
5321,戏,373
15045,感,340
27224,完,332
14792,反转,324
8450,片子,320
6590,爱,317
16556,特效,309
5781,影片,302
13304,镜头,301
24028,.,296
15981,逻辑,295
22986,表演,291
19499,结尾,289
7679,节奏,284
557,一点,283
2107,女主,277
12230,确实,272
17004,片,269
15744,台词,261
13507,演,260
7930,情节,259
11815,讲,250
21565,叙事,247
14489,中国,246
19403,女性,242
3019,特别,240
8464,画面,239
11657,分,237
17847,题材,237
13598,国产,236
18056,感动,236
9852,两个,233
16079,男主,229
23558,生活,226
1208,真,225
5706,煽情,225
2426,整体,223
14875,尴尬,222
17730,网大,219
9197,适合,218
11481,希望,218
19450,时代,218
20883,悬疑,217
18268,电影院,213
24446,出,213
7151,一种,211
22119,值得,210
14125,地方,209
18628,动作,206
6377,真实,203
3738,哭,199
16636,设定,198
21802,成龙,198
14710,妈妈,197
16827,可惜,196
10770,作品,195
5507,线,193
26771,香港,191
13220,时,190
8687,细节,188
11154,主角,188
14093,那种,187
14259,类型,187
17718,编剧,187
14184,星,186
18214,只能,186
6447,期待,181
2576,现实,180
9879,恐怖,180
7638,元素,178
8425,情感,176
24680,烂片,176
25427,前,175
22180,长沙,174
15453,惊喜,172
16180,世界,172
112,爱情片,171
2279,实在,171
15588,简单,170
17264,看过,168
19041,年,165
18410,风格,163
5917,高,162
26365,感情,160
4928,致敬,157
20190,小时,157
6037,男女,156
8241,结局,156
26019,设计,156
5463,科幻,154
22111,时间,153
26729,氛围,152
5255,理解,150
14363,烂,150
18621,本片,150
15571,死,148
17463,网络,148
25860,东西,148
28057,这是,148
28341,走,148
3558,算是,147
9560,差,146
24329,带,146
5124,梁朝伟,145
13764,写,145
13988,成,145
21599,笑点,145
2798,开心,144
12966,搞笑,144
14506,表达,144
5930,无聊,143
7576,式,143
2483,像是,140
15085,几个,140
2008,家庭,138
2147,懂,137
26975,恐怖片,137
13948,制作,135
19337,剪辑,135
2364,人生,134
5877,没想到,134
