,分词,计数
8323,电影,373
4176,剧情,261
5076,故事,246
2469,不错,158
8753,导演,156
7928,拍,155
3406,说,134
10125,香港,132
6270,网大,119
9177,没,118
3688,好看,114
8546,特效,114
4151,演员,113
9587,动作,109
3448,感觉,106
7679,挺,104
7434,更,98
479,里,97
522,一部,97
2026,人物,91
4635,郭富城,89
5450,中,89
9617,角色,89
2551,网络,86
7369,题材,83
3939,戏,82
10104,演技,82
10027,观众,75
3986,片,74
420,试飞员,70
1757,镜头,70
1764,想,70
5594,剧本,65
4077,感,63
4719,喜欢,63
5735,王千源,63
785,影片,62
7069,片子,62
4709,这部,61
8884,点,61
624,历史,59
6952,简单,59
4073,武侠,57
1023,风格,56
2058,梁朝伟,54
5993,做,54
10041,时,54
1365,可惜,53
4955,一点,53
5368,叙事,53
9196,节奏,53
2823,犯罪,52
8347,时代,52
9807,谢苗,52
2067,逻辑,51
2903,完,51
1232,港片,50
4708,情节,50
1752,确实,49
1870,画面,49
9927,表演,48
2865,场面,47
4831,男主,47
8972,陈伟霆,47
9904,特别,47
5651,主角,46
7047,王家卫,46
484,设计,45
1319,致敬,45
5285,地方,44
3398,编剧,43
5907,笑,43
9632,整体,43
4518,中国,42
6422,.,42
5421,女主,41
6119,台词,41
5032,翁子光,40
512,值得,39
4184,适合,39
7534,差,39
8629,打斗,39
9103,制作,39
5063,结尾,38
5658,飞机,38
6444,场景,38
8266,英雄,38
8934,一种,38
6924,院线,37
371,线,36
8849,剪辑,36
9247,细节,36
3559,类型,35
4178,质感,35
6953,汕头,35
7148,版,35
9072,高,35
9569,新,35
1167,枪战,34
1584,成,34
4397,期待,34
7877,两个,34
8089,设定,34
706,惊喜,33
4058,分钟,33
7440,算是,33
7964,瞎子,33
9989,往事,33
514,时间,32
1116,年代,32
1346,杜鹃,32
2158,这是,32
5398,毒液,32
8798,实在,32
182,精彩,31
415,小时,31
430,年,31
2590,感情,31
4620,讲,31
5096,作品,31
6202,只能,31
7554,出,31
10048,死,31
124,演,30
3619,反派,30
6821,烂片,30
8061,!,30
8336,打戏,30
9220,黑客,30
1742,武侠片,29
7707,刺激,29
8736,之王,29
9528,真,29
9888,感受,29
721,影帝,28
2443,真实,28
4269,水平,28
9402,希望,28
9939,感动,28
443,看过,27
4349,看着,27
5500,试飞,27
5524,烂,27
6430,配乐,27
6641,反转,27
8959,长空,27
9951,几个,27
3179,全程,26
3817,牺牲,26
4973,警察,26
5247,搞笑,26
6843,潮汕,26
7560,搞,26
9990,呈现,26
441,「,25
2527,没想到,25
3572,第一部,25
3785,行,25
8514,王一博,25
634,电影院,24
1285,女,24
1553,道,24
2078,表现,24
3667,太岁,24
7475,分,24
7635,算,24
8116,混乱,24
8217,理解,24
8795,主旋律,24
913,带,23
1241,整部,23
2864,武打,23
3857,浪漫,23
5442,写,23
6417,谍战,23
6494,世界,23
7631,星,23
7780,配音,23
7926,还行,23
8866,前,23
1043,一段,22
4431,逼,22
5482,尴尬,22
5786,式,22
6188,像是,22
6578,用心,22
6994,情感,22
7860,空军,22
7929,情怀,22
9264,香港电影,22
9267,这片,22
9892,职业,22
115,东西,21
211,过瘾,21
747,话,21
1570,花样年华,21
3609,风再起,21
3977,在线,21
4577,兄弟,21
4669,任达华,21
4985,枭雄,21
5849,探长,21
6499,本片,21
7105,可视化,21
7157,那种,21
7724,震撼,21
7951,双雄,21
8576,20,21
9446,主题,21
9616,三星,21
10160,氛围,21
247,爽片,20
544,效果,20
703,单薄,20
1374,胡军,20
1672,钱,20
3072,林家栋,20
3463,莫名其妙,20
3674,疯批,20
4998,化,20
5121,情绪,20
5183,江湖,20
5305,美术,20
5897,国内,20
5921,走,20
6162,紧凑,20
7258,观影,20
8407,开头,20
8618,背景,20
8687,飞行员,20
9069,好像,20
9351,老套,20
9405,快,20
9873,找,20
643,服化,19
1338,国产,19
1927,缝合,19
2556,关系,19
3211,公道,19
3933,浪费,19
4903,半,19
4945,战斗机,19
5531,主演,19
5566,好好,19
5721,有意思,19
6369,座头市,19
8233,野心,19
8622,摄影,19
9109,雷宇,19
9252,南江,19
9273,令人,19
534,成本,18
940,水准,18
2797,程度,18
3854,尬,18
4278,气质,18
4426,发展,18
6153,全片,18
8010,不用,18
8082,魅力,18
8454,奇门遁甲,18
9299,流畅,18
9975,祖国,18
5,怪,17
467,方式,17
1136,仿佛,17
1371,日本,17
1525,杀,17
1604,爱,17
1834,过程,17
2160,影像,17
2525,脸,17
3269,紧张,17
3365,难看,17
3701,唯一,17
3902,小人物,17
4548,最终,17
5211,听,17
6038,视觉,17
6094,意义,17
6505,老,17
6652,元素,17
7411,塑造,17
7974,饰演,17
8319,预期,17
8756,语言,17
8853,商业片,17
9940,洗钱,17
1198,陈嘉上,16
2544,讲述,16
2664,段落,16
3046,本来,16
3630,热血,16
5275,事,16
5448,倒,16
5743,发现,16
5853,杨杏,16
6254,粤语,16
6650,经典,16
6696,煽情,16
6710,完整,16
6951,一场,16
7081,肯定,16
7133,少,16
8202,城市,16
8591,鼓励,16
9019,那段,16
9556,程序员,16
433,体验,15
518,展现,15
1744,充满,15
1867,哭,15
1901,女儿,15
2277,动作片,15
2598,够,15
2725,概念,15
3157,断网,15
3417,刘雅瑟,15
3596,背后,15
4047,音乐,15
4673,观看,15
4701,想象,15
4979,推荐,15
5187,春夏,15
5399,一星,15
5466,意外,15
5536,有人,15
5677,文艺,15
5731,明白,15
5782,男人,15
6362,强,15
6568,显得,15
6918,朋友,15
6988,吃,15
7131,更好,15
8567,蛮,15
8598,狙击,15
8810,爱情,15
9296,瞎,15
9362,~,15
9492,选择,15
9549,银幕,15
9734,目中无人,15
9925,懂,15
10039,形象,15
454,无名,14
923,恩仇,14
1022,歼,14
1446,造型,14
1616,无聊,14
2597,不到,14
2627,精致,14
2733,史诗,14
2846,长,14
3057,片段,14
3059,不好,14
3393,陈家,14
3621,电视剧,14
3830,难,14
4195,身份,14
5253,拉,14
5419,想要,14
6049,喜剧,14
6124,看得出,14
6311,刘晓庆,14
6983,乱,14
7067,上映,14
7363,暴风,14
8049,矛盾,14
8131,好多,14
8553,成长,14
8845,身上,14
9629,美,14
9834,依旧,14
242,傻,13
789,超级,13
906,许冠文,13
1947,暗网,13
2037,加,13
2245,终于,13
2536,男,13
2546,味道,13
2713,栋,13
2997,玩,13
3240,表达,13
3863,失望,13
4659,磊乐,13
4675,不行,13
5001,影院,13
5006,大陆,13
5550,彩蛋,13
5893,快意,13
6230,感谢,13
6541,#,13
6581,低,13
6716,哈哈哈,13
6829,结局,13
6982,两位,13
7084,亮点,13
8710,女人,13
25,出彩,12
158,商业,12
461,内容,12
571,两人,12
671,一颗,12
726,中规中矩,12
740,干净利落,12
809,感人,12
949,爆米花,12
1357,猜,12
1367,开,12
1423,张晓晨,12
1754,系列,12
2785,捉刀,12
3068,导致,12
3162,剧,12
3506,2023,12
3614,记忆,12
4928,很棒,12
5171,電影,12
5203,第一,12
5437,空间,12
5532,失败,12
6020,孩子,12
6236,心,12
6927,影子,12
7095,对决,12
7490,值得一看,12
7607,美国,12
8028,第一次,12
8361,盲战,12
8685,琴娘,12
8711,请,12
8755,合格,12
8957,完美,12
9039,女杀手,12
9371,侠义,12
9983,奇幻,12
143,影后,11
381,天王,11
673,想到,11
984,一半,11
1189,少有,11
1635,审美,11
1892,医生,11
2473,高潮,11
2548,一股,11
2557,降智,11
2592,人设,11
2794,见,11
3823,至少,11
4099,弟弟,11
4370,纯,11
4401,模仿,11
4459,传统,11
4573,大片,11
5220,路,11
5526,为啥,11
5632,调度,11
5949,声音,11
5987,正,11
6056,拍摄,11
6358,观感,11
6394,事件,11
6748,现实,11
6838,清晰,11
6879,大战,11
7756,太多,11
8022,群体,11
8046,没什么,11
8138,脑子,11
8404,演戏,11
8517,丢,11
8645,之间,11
8662,恶心,11
8852,能力,11
9288,成功,11
9375,槽,11
9489,戏份,11
9702,质量,11
9998,刻画,11
232,优秀,10
462,沉浸,10
1085,廉价,10
1164,技术,10
1236,一群,10
1470,无论是,10
1534,牛,10
1976,回忆,10
2092,殺手,10
2113,随便,10
2267,拍成,10
2403,网大里,10
2829,IMAX,10
3115,交通站,10
3473,痕迹,10
3509,完成度,10
3582,越来越,10
3769,支持,10
3885,剧组,10
3887,估计,10
3962,出戏,10
4360,付出,10
4381,相比,10
4565,剑戟,10
4679,科技,10
4687,有点像,10
4966,bug,10
5040,精神病,10
5265,散,10
5284,印象,10
5558,文化,10
5780,二,10
5984,依然,10
6034,讲故事,10
6175,不知,10
6275,行业,10
6714,艺术,10
6809,一位,10
6812,营造,10
7209,洗,10
7213,泪点,10
7326,风,10
7485,视频,10
7595,续集,10
7900,看不到,10
7947,老师,10
8073,跳舞,10
8159,评分,10
8208,不想,10
8320,好帅,10
8325,世纪,10
8380,爽,10
8541,抓,10
8573,样子,10
8596,返航,10
8658,网,10
8692,燃,10
8813,拼,10
8860,信仰,10
9032,配角,10
9056,谍战片,10
9060,后半段,10
9070,生活,10
9325,帅,10
9461,打磨,10
9721,套路,10
9790,正义,10
9826,雨中曲,10
10092,影响,10
10124,喜剧片,10
187,优点,9
208,四星,9
456,特色,9
478,尝试,9
488,俗套,9
628,年轻,9
631,从头到尾,9
738,信念,9
999,瞬间,9
1001,永远,9
1133,踏血,9
1192,狗血,9
1444,模式,9
1447,部,9
1517,碎片,9
1854,缺点,9
1894,手机,9
1910,救,9
1923,发生,9
2101,版本,9
2142,弱智,9
2348,杀人,9
2394,黑社会,9
2504,好笑,9
2538,女主角,9
2554,强大,9
3235,及格,9
3430,B,9
3753,全靠,9
3809,非,9
3826,五星,9
4150,到位,9
4231,郭,9
4587,总,9
4648,结束,9
4668,这座,9
4954,女性,9
5019,站,9
5264,原因,9
5340,类,9
5593,阵容,9
5728,生命,9
6227,乱七八糟,9
6599,超出,9
6726,漂亮,9
6798,硬,9
6841,精神,9
7211,动画,9
7319,这一,9
7444,状态,9
7572,四大,9
7625,进,9
7651,病毒,9
7945,打开,9
8247,功夫,9
8410,复仇,9
8525,勉强,9
8675,聚焦,9
8724,创作,9
8799,拍得,9
8829,守护,9
9136,住,9
9440,盲侠,9
9479,时期,9
9584,新颖,9
9726,豆瓣,9
282,垃圾,8
312,明星,8
319,一会儿,8
439,硬伤,8
475,两部,8
607,中式,8
661,沒有,8
731,问,8
850,事情,8
874,稍微,8
889,试图,8
995,吸引,8
1115,多年,8
1172,推进,8
1229,未来,8
1259,功底,8
1310,不太,8
1334,总体,8
1358,强行,8
1387,组织,8
1397,很大,8
1448,生动,8
1717,世界观,8
2112,越,8
2146,动机,8
2173,宇文,8
2273,花,8
2355,心中,8
2359,更是,8
2455,内核,8
2517,很赞,8
2741,敬佩,8
2752,十二,8
2889,放在,8
2938,看点,8
3042,黑,8
3102,跑,8
3155,代码,8
3177,发挥,8
3194,智商,8
3348,离谱,8
3401,张,8
3412,走向,8
3620,女演员,8
3659,互联网,8
3687,理由,8
3845,睡,8
3921,十足,8
3953,第二部,8
3990,黑钱,8
4013,白,8
4025,基础,8
4031,三个,8
4039,红色,8
4074,干嘛,8
4261,广告,8
4270,挺不错,8
4347,光环,8
4353,ps,8
4471,粗糙,8
4546,跛豪,8
4645,扎实,8
4661,一套,8
4728,视角,8
4876,半小时,8
4910,电脑,8
4986,看似,8
5077,方向,8
5119,玄幻,8
5207,反,8
5283,杂糅,8
5476,故事情节,8
5501,热血沸腾,8
5586,尹正,8
5674,说实话,8
5843,那场,8
5972,展示,8
6269,操作,8
6320,片中,8
6322,墨镜,8
6402,运镜,8
6448,起码,8
6767,极致,8
7083,一幕,8
7142,渲染,8
7193,梦,8
7738,一会,8
7838,眼睛,8
7850,反正,8
7878,小孩,8
7933,儿戏,8
7973,高科技,8
8094,之外,8
8124,角度,8
8161,明明,8
8368,传奇,8
8528,悬疑,8
8653,出色,8
8774,抱,8
8839,全员,8
9020,粤语版,8
9214,沦为,8
9254,力量,8
9261,级,8
9377,间,8
9441,蓝天,8
9597,浮光掠影,8
9783,交代,8
9830,闪回,8
10051,两星,8
10108,市场,8
10116,出场,8
144,隐门,7
157,吐,7
206,原本,7
388,妖,7
405,春光乍泄,7
436,潦草,7
494,侠气,7
526,选角,7
532,谭耀文,7
558,文戏,7
617,游戏,7
775,回,7
776,徐克,7
823,冲着,7
842,符合,7
865,骗,7
948,现场,7
1148,机会,7
1323,换成,7
1381,也许,7
1459,黑帮,7
1477,变得,7
1508,视听,7
1655,空战,7
1668,凌厉,7
1669,忘记,7
1827,刻意,7
1859,大哥,7
1978,投资,7
2041,糟糕,7
2298,沒,7
2334,合适,7
2397,假,7
2576,谢谢,7
2745,MV,7
2779,年度,7
2810,风格化,7
2918,黑白,7
3041,公司,7
3043,我国,7
3095,有种,7
3103,快速,7
3183,弱,7
3254,寻梅,7
3349,挑战,7
3409,没人,7
3444,古装,7
3663,AI,7
3752,15,7
3771,很燃,7
3882,战争,7
3932,飞行,7
3957,王,7
4189,无敌,7
4236,男女,7
4314,史,7
4323,不差,7
4488,迷人,7
4491,极限,7
4763,命运,7
4785,找到,7
4790,高级,7
4816,良心,7
4821,一步,7
5039,三大,7
5302,爆,7
5382,成熟,7
5430,厉害,7
5583,父亲,7
5611,生硬,7
5645,太帅,7
5664,缺乏,7
5696,主线,7
5979,记,7
6092,一流,7
6312,新意,7
6378,评价,7
6625,颇,7
6682,全,7
6703,光影,7
6718,老婆,7
6740,拍出,7
6745,深度,7
6851,｜,7
7153,情书,7
7221,熟悉,7
7407,90,7
7429,类似,7
7476,对手戏,7
7601,笑点,7
7669,3.5,7
7701,领域,7
7890,很爽,7
7941,鲜明,7
8154,主创,7
8254,作者,7
8343,盲,7
8385,无脑,7
8393,无厘头,7
8394,首映,7
8448,军人,7
8533,腔调,7
8571,手法,7
8935,10,7
9006,一人,7
9077,去年,7
9081,一生,7
9104,說,7
9137,军事,7
9188,展开,7
9198,之作,7
9230,杀手,7
9235,包括,7
9318,飞,7
9470,翁子,7
9510,暴力,7
9552,旧,7
9763,腿,7
9964,队长,7
27,小时候,6
61,社会,6
165,周,6
240,哥哥,6
320,蔡真,6
464,时间跨度,6
496,陈旧,6
563,情,6
596,少见,6
600,安排,6
639,工作,6
691,高手,6
834,体量,6
856,虫,6
891,之下,6
979,太烂,6
1014,捉妖,6
1031,敢,6
1063,错骨手,6
1081,後,6
1084,级片,6
1134,隐藏,6
