,分词,计数
194,电影,724
902,喜剧,283
5002,笑,218
1591,导演,201
9095,说,199
7096,成龙,193
2901,演员,182
4628,一部,175
3306,里,166
4012,故事,165
6370,没,163
5286,拍,155
2202,挺,149
2820,反转,141
7390,中,133
5938,更,130
7491,观众,121
1130,煽情,116
3293,这部,116
2306,想,113
6477,剧情,112
3886,喜欢,111
3971,点,110
8156,大鹏,110
651,角色,108
1276,感觉,106
6218,潮汕,104
1798,戏,101
5864,做,100
9321,不错,97
4470,演技,93
8911,结尾,91
3849,剧本,90
9620,演,89
3963,武师,88
4471,感动,88
2298,笑点,84
4459,致敬,84
9013,平安,80
9622,龙虎,80
4128,惊悚,77
1344,尴尬,76
5278,表演,75
9354,片子,75
2442,影片,73
3993,人物,71
6265,妈妈,70
9797,完,70
5087,确实,69
2270,现实,68
4746,情节,67
9320,大哥,67
9352,.,67
3972,好看,66
7653,好笑,66
4526,真,65
4534,开心,65
6483,惊喜,64
26,片,63
905,一种,63
5626,魏翔,63
8310,梗,62
597,女儿,61
4703,本片,60
9015,搞笑,60
9607,作品,60
1075,地方,59
9756,类型,57
1745,值得,56
3573,时,56
4954,一点,56
9862,麻花,56
53,中国,55
1746,真实,55
5650,成功,55
6054,马凯,55
1382,特别,54
7238,生活,53
5272,时代,52
5395,感,52
10286,节奏,52
3919,马丽,51
4538,只能,51
8158,元素,51
298,范丞丞,50
1090,那种,49
7656,整体,49
223,社会,47
3737,情怀,47
8024,情感,47
8979,动作,47
5771,女性,46
7018,满江红,46
10107,镜头,46
306,魏,45
1707,精神,45
2585,前,45
6295,喜剧片,45
6976,造谣,45
4965,题材,44
5209,走,44
9994,第一次,44
1526,像是,43
2537,出,43
4376,自然,43
7875,烂片,43
9612,强行,43
550,实在,42
2797,讲,42
3931,恐怖,42
6151,期待,42
7730,真诚,42
9687,文化,42
10326,线,42
2175,小品,41
5507,男主,41
5627,星,41
7634,电影院,41
10602,式,41
2418,视频,40
5451,创作,40
5715,几个,40
4218,希望,39
4283,台词,39
7773,父女,39
8084,感情,39
10027,主角,39
1070,之间,38
3531,表达,38
5823,传统,38
7568,东西,38
7793,分,38
2105,新,37
5945,恐怖片,37
6354,母亲,37
7785,哭,37
9233,人生,37
10435,尬,37
2395,网络,36
7750,逻辑,36
52,倒,35
1993,死,35
2406,刘浩存,35
8106,春节,35
1496,马,34
2811,可惜,34
7515,设计,34
867,不好,33
2386,时刻,33
4123,刻意,33
9236,小人物,33
9813,方式,33
10573,价值,33
2981,爱,32
3805,适合,32
3858,停,32
4359,「,32
5484,影院,32
6335,算是,32
6639,中邪,32
8382,叙事,32
8462,张艺谋,32
131,历史,31
207,细节,31
427,主题,31
4148,韩露,31
6923,自我,31
7397,那段,31
9634,全片,31
10578,赤兔,31
246,预期,30
2273,带,30
3756,最终,30
4759,没想到,30
5004,事,30
5276,父亲,30
8263,算,30
10510,易小星,30
2999,段子,29
3214,依然,29
3289,这是,29
3611,生硬,29
4301,效果,29
5215,片中,29
5219,关系,29
6425,国师,29
6740,悬疑,29
7213,小姐,29
7778,桥段,29
8560,年,29
9228,好像,29
91,~,28
4053,蛮,28
4193,摄影机,28
4401,话,28
5931,包袱,28
7868,讽刺,28
9301,家庭,28
9664,全程,28
482,银幕,27
1442,有人,27
2078,拍摄,27
2382,结局,27
2671,方言,27
3546,结构,27
7002,沈腾,27
7149,一场,27
7621,表现,27
8684,努力,27
9112,档,27
9671,证明,27
10200,短,27
10260,谣言,27
10377,三星,27
1139,迷影,26
1889,保,26
2212,简单,26
2544,想象,26
3127,有趣,26
3213,乔杉,26
4724,片尾,26
4780,拍电影,26
5915,岁,26
9059,看着,26
9384,理解,26
9666,感受,26
10199,蒋龙,26
776,国产,25
1507,彩蛋,25
2096,兄弟,25
2598,观影,25
2655,女人,25
3893,整部,25
4205,暴力,25
4282,找,25
5265,质感,25
6453,套路,25
7260,烂,25
7815,两个,25
8459,了不起,25
8747,剧组,25
8884,片段,25
10297,配乐,25
10399,懂,25
25,小时,24
412,看过,24
1640,越,24
1890,氛围,24
3190,令人,24
3790,气,24
4296,院线,24
5314,夜晚,24
5435,本来,24
6333,印象,24
6524,一星,24
7151,高,24
8242,显得,24
8303,无聊,24
9502,不行,24
1788,终于,23
2076,失望,23
2930,音乐,23
3520,呈现,23
4250,一段,23
4595,妈,23
5102,笑料,23
5423,世界,23
5849,女婿,23
6024,烟花,23
6551,水平,23
7282,杀,23
7337,风格,23
9281,可爱,23
10026,充满,23
10478,永远,23
2847,接受,22
4952,老师,22
5089,纪录片,22
5193,半,22
6720,秦桧,22
7049,鼓励,22
