,分词,计数
8508,电影,450
8554,故事,418
624,说,216
47,剧情,200
483,导演,186
1638,没,177
4332,悬疑,175
5784,拍,166
3823,演技,164
8855,剧本,159
9257,演员,156
6047,感觉,141
5305,不错,140
8866,里,130
6003,反转,129
8932,逻辑,125
7324,恐怖,123
8631,角色,122
4213,人物,116
4583,镜头,103
9077,挺,103
8792,任素,102
2199,更,101
876,叙事,98
2500,恐怖片,96
1758,节奏,94
9181,想,94
1260,观众,93
2886,做,91
3052,.,91
4610,中,91
8473,梁朝伟,91
1194,表演,89
5452,汐,88
3552,网大,79
8182,神探,79
8684,分,79
5248,刘敏涛,78
5512,氛围,78
3936,这部,77
9289,戏,77
3390,完,76
204,王一博,75
331,一部,75
6962,讲,71
1732,感,70
7650,台词,69
8957,真相,68
9316,国产,68
4055,结尾,67
36,影片,65
4282,演,64
6167,罗生门,64
8461,一点,64
3324,纸人,63
5306,民俗,58
6284,程耳,58
7891,杀,58
6765,女性,57
8133,整体,57
5878,片子,56
1195,喜欢,55
762,复仇,54
4865,检察官,54
7864,元素,54
5747,回廊,53
3641,细节,52
8621,黄景,52
3673,差,51
4989,值得,51
5729,剪辑,51
7446,确实,51
8556,风格,51
3439,瑜,50
3794,编剧,50
8493,出,49
8623,周迅,48
9165,点,48
28,成,47
4704,画面,47
112,东野,46
7311,亭,46
8609,作品,46
217,结局,45
3143,中国,45
3917,动机,45
5867,片,45
7779,真,45
7909,地方,45
9060,警察,45
9258,题材,45
5166,人性,44
5173,刘青云,43
5454,改编,43
5967,不行,43
6075,两个,43
651,情节,42
3048,结构,42
3240,好看,42
7681,类型,42
442,尴尬,41
1610,只能,41
2651,无聊,41
7479,简单,41
1743,推理,40
3357,线,40
5380,故弄玄虚,40
5474,分钟,40
8542,实在,40
211,悬疑片,39
354,香港,39
3065,难看,39
4225,烂,39
5112,吾,39
907,电影院,38
1077,圭,38
4799,视角,38
737,韦家辉,37
1879,戏份,37
1892,猜,37
3334,港片,37
4556,鼓励,37
6360,爱情,37
6474,案件,37
6922,看过,37
7016,完整,37
7483,脸,37
8994,算,37
1410,适合,36
2072,莫名其妙,36
4979,质感,36
5490,时间,36
6264,原著,36
6341,女主,36
7838,式,36
7922,配乐,36
6266,凶手,35
8327,倒,35
459,一星,34
5916,精彩,34
7659,表达,34
8325,东西,34
8502,一种,34
1895,烂片,33
5619,杀人,33
7171,儿子,33
858,高,32
887,笑,32
2518,搞,32
3798,摄影,32
5137,前,32
5888,本片,32
6161,惊悚,32
1292,几个,31
1702,鬼,31
1897,一段,31
3078,明白,31
5800,光,31
8365,算是,31
1435,悬念,30
2588,那种,30
2662,怪物,30
3583,好好,30
3716,像是,30
6361,罗曼蒂克,30
7290,发现,30
7308,正,30
8337,国内,30
6513,设计,29
7265,爱,29
7917,犯罪,29
8244,全员,29
8356,可惜,29
2483,吓人,28
3620,特别,28
5680,不好,28
7822,文艺,28
9170,在线,28
9396,律师,28
1605,尸体,27
1621,语言,27
3663,bug,27
3721,回忆,27
4516,能力,27
5508,期待,27
6961,王千源,27
7801,理解,27
647,主角,26
1512,画像,26
4358,盗墓,26
5160,时代,26
6971,感情,26
8317,情绪,26
8610,麦兆辉,26
8751,空间,26
8757,小说,26
8917,气氛,26
505,行,25
957,带,25
1144,本来,25
2208,浪费,25
2930,写,25
3348,调度,25
3852,一场,25
4864,塑造,25
6884,不到,25
7090,没想到,25
8358,三星,25
9111,走,25
765,内容,24
1402,死,24
1773,展现,24
3494,懂,24
3533,场景,24
3600,到位,24
4176,电视剧,24
5754,无名,24
6549,铺垫,24
812,混乱,23
2715,视听,23
2774,强行,23
