,分词,计数
4371,电影,524
1922,爱情,238
1199,说,206
6832,故事,204
7196,里,186
2677,剧情,175
5217,长沙,174
1633,喜欢,165
6277,爱,162
1317,没,149
462,拍,138
9100,感觉,137
6047,中,136
573,女主,133
4600,爱情片,132
793,异地,129
5432,挺,129
9204,导演,129
4389,生活,128
7554,想,128
5205,更,120
1231,演员,105
3955,演技,103
7471,男女,103
5012,女性,102
6714,一部,102
7147,青春,98
7783,陈,94
7962,男主,94
9257,恋,94
3123,这部,90
9063,好看,88
2408,两个,87
4732,不错,87
2037,感,81
1500,角色,80
5820,完,79
8193,戏,75
3846,城市,74
9101,真实,73
5716,做,72
2652,时代,71
3829,点,71
6176,周,70
7927,台词,68
1925,特别,64
7645,片子,62
8273,一点,62
1006,人物,61
1608,影片,55
2105,哭,55
8179,结尾,55
2182,情节,54
3931,国产,53
1473,光线,52
2823,剧版,52
7674,线,52
297,年,50
3320,希望,50
5316,正道,50
7523,恋爱,50
1230,出,49
8754,笑,49
2877,飞宇,48
3074,观众,48
3310,那种,48
3886,适合,48
6767,主,48
8491,男,47
321,遗憾,46
6064,自然,45
1699,世界,44
4230,现实,44
4775,狗血,44
7270,张艺兴,44
8752,电视剧,44
1790,讲,43
6143,情感,43
6323,可惜,43
6540,李燃,43
7114,电影院,43
3110,表演,42
3784,结局,42
4521,演,42
4581,情侣,42
7331,感情,42
9178,张新成,42
2904,烂片,41
8384,.,41
1703,设定,40
1739,走,40
3712,时间,40
5402,话,40
6214,分,40
8141,朋友,40
743,懂,39
3227,题材,39
5329,人生,39
5738,讨厌,39
2234,感动,38
3924,编剧,38
4052,任敏,38
4901,主角,38
7521,剧,38
8143,真,38
6020,一种,37
6181,依然,37
2931,夏,36
4530,陈见,36
7694,姐妹,36
8090,气,36
8406,夏梦,36
8498,都市,36
9428,节奏,36
102,写,35
1088,期待,35
3873,看过,35
6364,细节,35
7390,俩,35
1707,家庭,34
3880,剧本,34
4105,情人节,34
6794,唯一,34
7362,美好,34
8140,确实,34
8569,片,34
4154,无聊,33
5405,施柏宇,33
6024,小时,33
2,好像,32
4746,整体,32
5351,镜头,32
6160,主演,32
8097,难看,32
1754,惊喜,31
3101,尴尬,31
3653,疫情,31
6255,之间,31
9191,两人,31
1646,可爱,30
2460,奇幻,30
2555,那段,30
2845,刘净,30
3806,三个,30
7811,女生,30
