,分词,计数
3297,电影,483
7050,故事,241
9843,剧情,239
9703,说,180
5317,没,163
2157,特效,168
4564,里,163
4826,科幻,145
2188,想,129
783,感觉,127
7997,一部,121
3879,导演,114
1189,妈妈,112
10318,做,111
377,这部,110
3208,喜欢,108
1437,挺,105
1889,动画,105
1571,更,104
3776,画面,101
9242,笑,99
4907,地球,98
5267,观众,98
9525,中,97
5057,喜剧,91
277,设定,89
5945,点,86
3387,中国,85
4467,星,84
10495,拍,83
7569,孩子,81
5537,好看,80
3,希望,78
6460,哭,78
9461,不错,78
7382,人物,77
8720,爱,77
4623,爱情,76
5376,角色,76
3445,剧本,75
7265,档,75
8949,感,74
3866,煽情,73
9333,春节,73
2311,感动,71
4825,国产,71
9343,熊,69
9403,确实,69
9464,世界,69
953,家庭,68
6360,电影院,67
7260,深海,66
7990,片子,65
336,熊出没,64
155,适合,63
3190,开心,63
7666,讲,63
6057,南河,58
9466,机甲,58
2939,完,56
4123,分,56
9248,抑郁症,56
1866,佳音,55
6942,.,55
8313,逻辑,55
653,片,53
6481,雷,53
7973,尴尬,52
6246,李燃,51
1682,带,50
9276,张新成,50
9460,镜头,50
2049,节奏,49
4931,演员,49
9607,拯救,49
452,真,48
5800,热血,48
7578,一点,48
7739,演技,48
524,影片,47
1532,女主,47
4152,麻花,47
4948,游记,47
8596,理解,47
9041,制作,47
9950,特别,47
1839,月球,46
2607,二,46
2894,情节,46
4088,前,46
7831,小时,46
1471,看过,45
5881,机器人,45
2427,情感,44
3084,两个,44
5268,台词,44
8572,少年,44
9443,期待,43
1279,值得,42
3881,写,42
4835,整体,42
7320,高,42
4064,夏,41
4736,人生,41
5200,笑点,41
10119,母亲,41
10299,出,41
106,反派,40
4328,动作,40
4837,古天乐,40
5067,陈见,40
1480,年,39
2137,亲情,39
5433,那种,39
5597,主角,39
7773,情绪,39
8457,一种,39
1326,好莱坞,38
1518,戏,38
1897,作品,38
2582,结尾,38
2839,主题,38
3211,烂,38
5155,现实,38
7795,可惜,37
9484,袋鼠,37
9559,表演,37
9849,叙事,37
1391,编剧,36
2328,这是,36
2601,地方,36
4221,死,36
4987,参宿,36
7305,可爱,36
7556,元素,36
7673,水平,36
10496,只能,36
1157,国漫,35
5019,交换,35
6677,时,35
7726,演,35
9092,票房,35
2891,沈腾,34
3215,懂,34
3385,类型,34
3492,爱情片,34
3893,3D,34
5733,小朋友,34
6952,细节,34
6968,强行,34
7038,科幻片,34
9994,小孩,34
1943,张小斐,33
2719,实在,33
6379,表达,33
7184,小女孩,33
8749,至少,33
9112,奇幻,33
5455,男主,32
5694,全片,32
7594,多年,32
771,算是,31
823,鬼,31
1302,无聊,31
2186,找,31
2314,东西,31
3631,浪漫,31
4319,生活,31
9036,设计,31
4033,评价,30
6602,鼓励,30
7430,没想到,30
7725,搞笑,30
628,场面,29
678,技术,29
865,十年,29
1870,感受,29
2013,尬,29
4637,烂片,29
7618,合家欢,29
8383,效果,29
8724,结局,29
8851,男女,29
9426,成,29
1860,治愈,28
2038,内核,28
2243,女性,28
6911,海,28
9411,青春,28
4421,套路,27
4679,人类,27
6565,男,27
10060,观影,27
182,搞,26
1327,题材,26
2481,梗,26
2817,意义,26
2876,唯一,26
9052,惊喜,26
382,恶心,25
1415,原生,25
1720,难看,25
2256,好好,25
3098,时间,25
4175,画风,25
6587,孙千,25
7532,用心,25
7749,简单,25
8273,版,25
8286,女孩,25
8537,大熊,25
8873,钱,25
9786,成长,25
85,令人,24
1890,牺牲,24
2085,发现,24
2860,真实,24
3370,本片,24
3887,儿童,24
4091,陪,24
4760,不好,24
5457,自我,24
6785,莫名其妙,24
9955,看着,24
864,蛮,23
936,差,23
1674,全程,23
3715,第一次,23
4916,明日,23
6080,动画片,23
8055,救赎,23
8138,预期,23
8395,线,23
770,反转,22
1080,奶奶,22
2347,请,22
2732,幼稚,22
3240,俗套,22
5271,喜剧片,22
5577,本来,22
5663,梦,22
6377,关系,22
6643,第一部,22
7028,好像,22
8780,几个,22
8894,感情,22
9206,视角,22
9432,世界观,22
9781,独行,22
613,肯定,21
919,明白,21
1486,想要,21
2290,上映,21
2370,一星,21
2626,算,21
4582,之间,21
5543,永远,21
5560,一场,21
6150,打斗,21
7174,女,21
8306,有人,21
8447,显得,21
8626,脸,21
10380,分钟,21
10389,如坐针毡,21
623,接受,20
734,剪辑,20
812,流浪,20
892,未来,20
1193,能力,20
1262,彩蛋,20
1467,行,20
1793,风格,20
2009,美术,20
3595,10,20
3864,场景,20
3873,五星,20
4051,很难,20
4993,终于,20
5944,印象,20
6339,意外,20
6365,失望,20
7440,国风,20
7652,影院,20
8442,光线,20
82,系列,19
164,倒,19
230,千与千寻,19
1165,掉,19
1894,式,19
2577,幻想,19
2958,冲出,19
3798,过程,19
5823,豆瓣,19
6493,浪费,19
6747,动画电影,19
7693,过年,19
8393,光,19
8821,走,19
9717,精灵,19
9794,硬,19
10002,市场,19
10258,文戏,19
67,成熟,18
814,重男轻女,18
963,塑造,18
1337,想象,18
1526,风筝,18
5247,商业,18
6108,原著,18
6173,那段,18
6742,戏份,18
7315,美,18
7604,依然,18
8069,大人,18
8907,身体,18
9801,不到,18
330,二维,17
1020,兔子,17
1520,宣传,17
1956,票价,17
2070,吃,17
2082,一堆,17
2141,总,17
2450,努力,17
3060,男人,17
3218,老套,17
3380,审美,17
3937,不行,17
4732,高潮,17
4821,缝合,17
5384,救,17
5908,不想,17
6354,生硬,17
6532,像是,17
6976,细腻,17
7097,后半段,17
7178,时代,17
7244,看得,17
7455,加,17
7580,观感,17
7866,拉,17
9156,3d,17
9496,自然,17
9640,大年初一,17
159,放,16
360,听,16
560,升华,16
1945,结束,16
2275,妈,16
2313,天幕,16
2331,发展,16
2395,合格,16
3345,观看,16
3473,月,16
3823,长大,16
4142,人设,16
4763,主,16
5244,桥段,16
5840,泪点,16
6029,缺点,16
6834,新,16
6927,丧气,16
7433,上海,16
7644,完美,16
7829,程度,16
8282,样子,16
8913,动漫,16
9243,视觉,16
9456,痛苦,16
9544,配音,16
9663,支持,16
9733,走出,16
9911,怪,16
9924,选择,16
9931,一句,16
9973,片中,16
10051,成年人,16
10406,导致,16
171,流畅,15
631,立意,15
995,风,15
1007,遗憾,15
1069,价值观,15
1106,温情,15
1754,油腻,15
2153,学生,15
2595,科技,15
2903,幸福,15
3361,好笑,15
3807,视频,15
4930,打磨,15
5446,最终,15
5539,青春片,15
5600,还好,15
6230,不适,15
6465,色彩,15
6833,记忆,15
6984,成功,15
7022,主演,15
8091,完成度,15
8213,总体,15
8648,张家辉,15
9925,童年,15
10356,推荐,15
292,国内,14
591,配角,14
1153,之作,14
1243,依旧,14
1721,经典,14
2623,表现,14
2628,美好,14
2688,诚意,14
2752,飞船,14
2770,#,14
3301,为啥,14
3327,温暖,14
3760,背景,14
3897,短,14
3986,变得,14
4172,追求,14
4643,日漫,14
4917,男性,14
4923,低幼,14
4949,港片,14
4962,梦想,14
5253,战记,14
5401,价值,14
5506,精神,14
5700,混乱,14
5897,强,14
5950,和解,14
6160,更好,14
6522,前半段,14
6569,创作,14
6596,猜,14
7162,逆光,14
7248,一段,14
7546,越来越,14
8067,小品,14
8197,三星,14
8467,抄,14
8571,剧作,14
8707,开头,14
8902,回,14
9055,工业,14
9217,患者,14
9274,抑郁,14
9483,垃圾,14
9858,呈现,14
10391,女儿,14
177,麦当,13
199,俩,13
359,看不懂,13
743,告诉,13
828,亮点,13
1198,哈哈哈,13
1348,眼睛,13
1774,角度,13
2161,不住,13
2184,奇怪,13
2960,难,13
3605,主创,13
3650,工具,13
3839,单薄,13
4419,片尾,13
5385,爽片,13
5482,动机,13
6047,燃,13
6059,受众,13
6651,外星,13
6869,踩,13
6900,差点,13
6944,香港,13
7615,创意,13
7730,同居,13
8183,老,13
8341,生气,13
8397,振华,13
8425,想到,13
8595,好多,13
8642,问,13
8721,是因为,13
8775,全,13
8995,快,13
9070,大饭店,13
9415,部,13
9419,宇宙,13
9965,少,13
78,超时空,12
430,玩,12
809,很棒,12
961,游戏,12
1448,生命,12
1527,音乐,12
1586,尽力,12
1991,概念,12
2071,假,12
2115,放弃,12
2163,勇气,12
2533,状态,12
2614,小时候,12
2832,院线,12
2941,彩虹,12
3609,睡着,12
3655,大叔,12
3850,仿佛,12
3956,字,12
4008,明明,12
4019,硬核,12
4045,质感,12
4495,解决,12
5293,体验,12
5334,欢乐,12
5847,眼,12
6000,~,12
6023,刻意,12
6315,回忆,12
6658,可怕,12
6663,情怀,12
6772,如鲠在喉,12
6825,影子,12
6827,离谱,12
7113,「,12
7570,低,12
7742,贺岁,12
8196,戳,12
8295,见,12
8370,片尾曲,12
8592,大战,12
9098,营销,12
9151,朋友,12
9218,致敬,12
9365,展现,12
9614,派,12
9824,形象,12
9870,生物,12
9904,刘青云,12
9927,深度,12
9984,也许,12
113,身上,11
605,博士,11
897,不太,11
941,田晓鹏,11
954,讲故事,11
973,惊艳,11
980,回归,11
992,逆战,11
1084,!,11
1170,植物,11
1564,演出,11
1616,突兀,11
1764,不算,11
1861,稳定,11
1930,化,11
2267,无脑,11
2521,水准,11
2725,度,11
2852,独孤,11
2867,超出,11
3248,第一,11
3269,幽默,11
3470,一颗,11
3665,银河,11
3714,深刻,11
3942,视效,11
4057,成人,11
4290,灵魂,11
4463,父亲,11
4563,创作者,11
4607,剪,11
5022,小孩子,11
5027,相比,11
5229,中年,11
5260,片段,11
5526,灾难,11
5562,评分,11
5818,诈骗,11
5832,预告片,11
5970,环境,11
6691,荧幕,11
6734,智商,11
6977,回来,11
7262,组织,11
7347,心理,11
7510,家人,11
7775,英雄,11
7967,华语,11
8166,没什么,11
8436,拥有,11
8464,共情,11
8615,卖,11
8845,隔壁,11
9089,足够,11
9166,如芒刺背,11
9173,精彩,11
9227,童话,11
9807,黑暗,11
9828,展开,11
10019,花,11
10081,及格,11
10107,优点,11
10474,氛围,11
47,疫情,10
71,核心,10
187,震撼,10
250,输出,10
307,父母,10
454,bug,10
481,原本,10
603,陨石,10
707,温馨,10
827,跑,10
945,还行,10
1026,IP,10
1134,岁,10
1438,瞎,10
1580,经历,10
1630,感人,10
1677,建筑,10
1807,走向,10
2170,半,10
2211,模仿,10
2239,吐,10
2307,推进,10
2315,国产片,10
2535,学习,10
2638,绚烂,10
2918,稀碎,10
2929,出戏,10
3085,主线,10
3115,硬伤,10
3160,思考,10
3266,苏伦,10
3751,跳,10
3819,校园,10
3834,超,10
3837,槽,10
3871,社会,10
3922,刻板,10
3978,计划,10
4181,放在,10
4209,3.5,10
4212,稍微,10
4422,一幕,10
4572,刘嘉玲,10
4779,过时,10
4860,机器,10
4871,大片,10
5208,惨,10
5353,模糊,10
5495,飞行,10
5655,定位,10
5713,散场,10
5804,新意,10
5864,三个,10
6161,陪伴,10
6211,进,10
6455,标准,10
6857,旁边,10
6861,有趣,10
6923,飞,10
6991,打动,10
7023,去年,10
7057,银幕,10
7213,宫崎骏,10
7363,段落,10
7516,感到,10
7718,代表,10
7736,话,10
7943,小丑,10
8120,找到,10
8477,内心,10
8528,更是,10
8709,谢谢,10
8731,互换,10
8778,爸爸,10
8941,干嘛,10
9016,天墙,10
