用户名,评论时间,评论内容,评分,赞同数,情感
forfaen,2023/3/6 15:59,关于韩露如果真的是坐台小姐应不应该被挖出来这件事，开篇魏平安和墓地经理吵架已经给了创作者的表态。魏平安质问祁经理：坐台小姐怎么了，埋咱这的人不让有道德瑕疵？别老模糊重点了吧？真不知道是看不懂还是看不见。,40,9611,1
西楼尘,2022/12/19 0:31,腿上的胎记是女孩的软肋，乌有的传言是掘墓的铁铲。裤脚向下一寸遮不住审美的霸凌，棺椁移走一格破不掉信息的茧房。这时代多得是为流量胡说的嘴，因谣言蒙蔽的眼，却鲜有不凉的血和求真的心。冰可乐不凉热血，总抱怨直播间没人送出烟花。前方拦路的白马为不舍的爱牵线，江面盛放的烟花祝侠义的人平安。,40,5820,1
六条叔叔??,2023/3/15 22:11,之前在muji打工，遇到一个爸爸，一口气买了47支笔，开了发票，问我能不能在发票后面给他写这些笔购买于哪里。他说，他女儿班上同学丢了一支笔，号称家里人从日本买的，国内买不到，刚好他女儿之前在muji买了支一样的，班上同学都说是她偷的，爸爸想给女儿挣个公道！抹黑一个人很简单，一张模糊的图、一条朋友圈、一句话就够了，但是要证明一个人，真的太难了！善良的人，祝你平安！,40,4388,1
momo,2023/3/4 23:59,看这个电影最大的疑问，如果韩露真的是坐台女，她死后就可以被挖坟墓吗？,30,7416,1
嘟嘟熊之父,2023/3/4 16:20,有点动人，感觉是大鹏送给柳岩的一份礼物，也是这个没有反派又处处是反派的世界所需要的，一种没什么大用的浪漫的义气。,30,3727,1
大奇特(Grinch),2022/12/19 15:06,你能看到大鹏导演确实尊重喜剧片，并受到了社会派类型片的启发。当一个严肃主题出现在喜剧中，便有了对社会现实的讽刺。英文名“post-truth”(后真相)完全概括了主题，虽然是2016年《牛津词典》才有的新词汇，却是一种在八卦圈和社交媒体早就存在的事实，电影以通俗化手段对这种现象予以善意的讽刺。本质上，网络（传谣）暴力和校园暴力没有区别，用父女线紧扣同理心，互为镜像。开场就用脏车洗白白，迅速建立起基调，戏剧起点是从流言的后果往回捋，找到根源，各阶层的吃瓜角色贯穿起谣言的两极。当你听“Tony”时，已经是“偷泥”了，在喜剧中是错位叠加误会，是听说的错位引发的误会。大鹏态度硬朗、网感十足，又从喜剧中延伸出新的温情。喜剧的内核就是悲情，大前提还是朝着一个好故事的目标努力，故事是大于喜剧的。,40,2585,1
Rie,2023/3/6 23:14,白马虽是好意象，可是坐台小姐也没有惹任何人,40,2366,1
yoyo侠,2023/3/6 10:30,立意很好，但只是浅浅摸到了边缘。一个女人要足够清白足够高尚才会被允许葬在男友旁边，本身这件事就很荒谬，通篇主角也只是为了帮她澄清谣言而奔走，从未想过女性是否可以挣脱这层枷锁。,30,3648,1
谋杀游戏机,2022/12/19 16:49,特别喜欢！大鹏的每一部都有明显进步，这部是他商业性和作者性平衡得最好的一部电影，是当下理想的“先把片子拍好看，然后也有一点表达”式电影项目。片中的嬉笑怒骂、讽刺的很多现象都让我感同身受。李雪琴和马丽的戏份最好笑，能看出每一场戏都有用心琢磨怎么能呈现得更好玩。结尾猝不及防一个暴击，放完片其他人都走了，我坐在影厅里哭了十分钟（先不剧透为什么）T T  这片剧本好、制作好，这一年过得太不容易了，需要一个释放的出口，需要开心，需要治愈。海南电影节开幕片放完，剧组还在海边放了烟花（片中有相关情节），有心了。希望那些我们想念的人都能看到。,40,1805,1
华盛顿樱桃树,2023/3/4 16:33,看完的感受就是酣畅淋漓，最后被可乐梗感动到了。大鹏真是聪明，讽刺喜剧，商业类型。亲情友情除了爱情所有情拉拉满，还有陌生人的善意与恶意，校园霸凌网红现场等等。元素之多，但放在一起和谐圆满。两个细节，乔杉修车时的背景乐是都选C，还有最后爱喝可乐的潇洒哥。蛮值得在商业层面成功的。,40,1507,1
