用户名,评论时间,评论内容,评分,赞同数,情感
孟烦了,2022/7/16 12:41,看完有点失望，这种中二动画片已经不太适合我这个年龄了。科幻动画片更应该强调科学、知识，而不是热血和一身蛮力吧。,30,158,1
偷笔,2022/7/16 12:04,燃是挺燃，但不觉得太幼稚了吗。,30,152,1
秃头李,2022/7/16 16:03,全程如坐针毡，坐立难安，太痛苦了，中国电影不该这样，内核也完全是欧美故事，所谓的国风还是日式中国风…,20,122,0
豆13,2022/8/21 0:16,"6.7
神话……3D……第一部科幻……不是我不相信你……第一部第一集就在飞
十年过去了你说你还没冲出地球…浪费资源…星游记还有未来吗？哦，这是电影不是国漫啊！至少国漫还有希望……这个？畸形…嗨算了……
对了，这部应该叫风暴法米拉3副标题：冲出地球。跟原版一点关系都没有的同人作品。不对，同人都比这个好……
7.30撤档（笑）
花里胡哨…感觉国漫都是同一个工作室做的，特效剧情都一样烂…星游记前几集的拙劣模仿，甚至低龄向…水成加长版以为加几个脸谱化的人物就是电影了…魔改人设剧情…这营销号的语音受不了…我的咕咚…！
粗制滥造？强行燃强行煽情
是时候展现真正的技术啦……缝合怪
抄飞出地球又乱改咕咚，抄飞船毁灭又没深度…又抄打克拉的感觉…随便鲨人…有完没完
粪作！2倍速看完…不如看原作
还未完待续别了吧",10,12,0
Bei,2022/7/16 11:09,彩虹海还在，童年已不再。,30,132,1
着迹,2022/7/16 13:30,国漫现实主义，有点儿东西。,30,74,1
冰茶茶,2022/7/17 16:48,"B. 虽然偏低幼，但是年龄门槛感觉比隔壁莫扎特还是要高的，只是彩条屋出品且打国风科幻的噱头，全年龄段化一点应该不过分吧？
不过让我感到微妙的点在于剧情设定，建造美其名曰保护地球的天墙、所有能源都优先供应天墙、欲加之罪打压异己、随处可见的大标语与监控，这真的不是在隐喻映射什么吗，或者说放在某些现实场景下也并不违和？也许我有些敏感了，不过我喜欢??。",30,40,1
WIKI魏,2022/7/25 12:28,"小孩儿看不懂，大人看不下去。瞎J燃聒噪预警。
核儿是欧美哒，国风是日式哒，科幻和3D是假装哒，情节是凌乱哒，故事是低龄幼稚硬伤哒，情感推进是靠小曲儿硬塞哒。有点像缝合怪。
彩蛋倒是有：福禄寿的片尾曲没被删，EMMM。
卖惨营销，骗人买票，哒咩。
因莫扎特同行衬托，国漫还得大力支持，多给1星。",20,62,0
守望的长夜,2022/8/15 21:46,最后一段终于能燃起来了，真是不容易。美术很不错，一些科幻设定很喜欢，制作算用心，有些分镜很酷，几首歌都好听。但剧本问题太大，台词就是一个段子接着一个段子，尬死。人物和故事的处理太粗糙了，很难共情，也缺乏魅力，只能说故事逻辑没太大问题，有些铺垫能照应上很意外。尴尬地快看完时最后忽然配乐，台词，情节都上线给我燃起来了。尾收得不错，其它就一般吧，热血漫爱好者可以一看的国产动画,30,12,1
蓝欣勇,2022/8/21 23:17,我去你大爷的，“天墙计划”，小孩子放上天的风筝都被打下来。“不言而喻，一目了然。”（以上是看了预告片的感觉。）正片虽然人物设定和场景有些幼稚，但如果把外星势力“银河眼”理解为一种警察政权的话，真的非常有意思。所谓地球只剩下废土中一片小小的绿洲（“恰好又是“国风”的）。人们在无所不在的监视下从事大工程中的生产，标语、口号同样无死角轰炸，人们被培养成恐惧灾难再临、对强大权力机构无脑服从的样子，对反对大工程的声音坚决剿杀（“你这么说，是想让地球被陨石再毁灭一次吗？”嗯，替换成“叙利亚”就熟悉多了）。公开处刑、熔掉飞船造“天墙”、鼓励儿子举报父亲……已经找不出更完美的儒法国家了。,30,9,1
