用户名,评论时间,评论内容,评分,赞同数
大卫爷儿,2023-04-29 18:07:22,毒液，你的Chinese girl friend太岁来了…,30,242
时金,2023-04-29 18:47:30,好尴尬的素儿,20,42
同志亦凡人中文站,2023-05-01 19:03:49,特效堆满，花里胡哨。这种按摩大脑皮层的网大...以后请多来点儿！,30,35
拔剑四顾心茫然,2023-05-03 15:35:49,精华全在预告片系列。项式兄弟很清楚网大的受众口味：仙侠，猎奇，刺激，血腥，大尺度。把钱花在特效上确实不失为一种选择，至少在成片上，太岁附身，风小小的金鱼，老大的镇魂钟，人面虫妖（有点伊藤润二的味道）等场面确实赚足了眼球，某种程度上延续了香港80s百花齐放的cult片血脉，但也仅仅是奇观上的延续，剧本的精细度与趣味性都差了不少。大部分时间故事都是在吃《毒液》《捉妖记》《食神》的边角料，梦中梦的设计照搬了日本漫画《杀戮都市》：我以为是我救了你，才知道原来你早已经救过我。其实这种片子真的特别适合抖音3分钟解说，因为信息量特别小，观众不看剧情，剧组也不生产故事，咱们主打的就是一个五花八门的特效展示，就是酷。这个系列已经偏离了奇门遁甲最初的定位，第一部好歹还有个体系呈现，到这部连人名都省了。国产网大真不可信。,30,19
沉默的导航,2023-04-29 22:41:13,国内版毒液,20,26
Louis,2023-05-02 00:41:22,国内女毒液，太岁登场！,30,6
一贫,2023-04-30 17:48:24,"之前无意中刷到这个的预告片，有刘雅瑟刘晓庆，感觉还行，而且还说是什么正统续作。刚刚打开电视就直接首页推荐了，那就看了呗。
作为网大倒是挺不错的，只是看不出奇门在哪遁甲又在哪，直接叫降妖记也不是不行。
另外，现在才发现所谓正统续作，说的看来并不是周冬雨那部啊，而是同导演的另一部吧。。。算了，再去把这部翻来看一看好了。。。╮(╯▽╰)╭",30,8
啵妞,2023-04-30 20:02:03,其实还不错。。。比很多“大片儿”逻辑合理多了。,40,52
Believe,2023-04-30 15:16:49,多拍点这种类型的，说不定有一定积累后会产出一部经典！,40,19
乌鸦火堂,2023-05-09 12:58:56,"这不就是“毒液+魔掌+黑衣人“嘛。

不如第一集，这部倒是拓展了世界观，把雾隐门强化成“XX管理局”那种组织，有望继续拍下去，就看那些杂耍般的玄门武艺能发展到什么程度了。就从本片来看，依然是第一部那一套，还参考了外国电影，而这几位招式加一块都不如《剑雨》里的彩戏师有创意。

本片也就看看项式兄弟的美工和道具特色了，妖异元素和场景是看点。一部院线两部网大，三部故事模板都一样——菜鸟误打误撞入门，最后整出一个超级赛亚人灭了大反派，所以这个系列应该只有一个剧本，把元素和角色替换一下就行，下部直接交给AI写得了。",30,0
青鱼,2023-04-30 09:28:29,"哈哈，看之前以为已经出了，先被骗去看了奇门遁术2，哈哈
这个比那个奇门遁术2明显高级不少，演员都比较知名，还有新晋影后，摄影也很考究，质感比一般的网大要好很多，甚至可以勉强上院线？
但要说剧情吧，也就那样，我甚至觉得还没有隔壁那部奇门遁术2剧情好看。
也就马马虎虎凑合看吧。",30,10
猫阿水,2023-05-02 21:24:45,想成了见龙卸甲。。。,-t,0
茗政.,2023-05-04 04:37:57,如果能够世界观笃定，技能设置持续，角色演员固定，按第一部发展下去，并进行辐射人物的短片创作，在保有质量的基础下扩大基数，迟早会融成“新奇门遁甲”宇宙，那不也算是我国特有电影IP的另类突破？奇幻+武侠，cult+网大，在赓续行侠仗义孤单衷肠只为救天下，江湖传说逍遥四海只为守护她的武侠类型片基础上，融入限制级的（血腥、暴力、恶心等）魔幻奇观，专注娱乐至上，完全和院线不一样的路数、审查机构和属性，网大不要太爽啊！,30,1
阿卜,2023-04-30 00:01:49,凑合看吧，这不能算奇门遁甲了，改成平妖传比较好…这个大蜘蛛精实在太恶心了🤢，不适合在饭点看…,20,12
老晃,2023-04-30 22:06:56,开篇5分钟不错…半小时后弃,20,16
亵渎电影,2023-05-02 16:48:26,以前以为网大不需要逻辑，原来头部的网大导演也是想要逻辑的。,20,6
обломов,2023-05-06 09:09:42,景拍得不错，脑洞还是大不如前,20,0
生煎咸鱼,2023-05-02 02:29:44,剧情不连贯，叙事与逻辑不清,20,3
当当当当,2023-05-02 15:48:11,网大里算是相当不错的，就是画面看着挺恶心。影后当上2022年的影后之前，还在2021年开机的网大当二番，不知道2023年了，影后资源咋样了。,30,2
kingkongofkhan,2023-04-30 13:18:04,这次的概念设计跟美术特效又上了一个档次，又克又B级，还完全以中式民俗灵感主体，挺好的。,30,7
