用户名,评论时间,评论内容,评分,赞同数
东门捷径小V,2023-03-03 21:34:54,全片堪称网络犯罪招数大型揭秘，最大程度把数据战具象化为特效视觉场面，增加动作化可看行和科幻感。片子风格冷峻凌厉，暗网段落似曾相识，一查导演黄庆勋曾是麦浚龙《僵尸2013》副导，难怪难怪，港血电影仍在为市场探索着尺度边界。,40,124
在地狱的火河,2023-03-03 20:43:38,陈明志是一款白天穿高定西装出去卖晚上回十平出租屋照顾弟弟的贤惠家姐。,30,1132
贾玲,2023-03-03 21:51:09,编剧，我只是非计算机专业，我不是傻。,20,697
盘丝大仙,2023-03-03 21:00:33,为了不迟到，还花了60块打车费。还我打车费！,20,403
有为小朋友,2023-03-03 20:41:10,大概华硕电脑这质量可以抵抗核爆吧，要是mac坐一下就全剧终了。,30,186
一十一,2023-03-03 20:53:06,电影院看了断网，网络金融犯罪题材也很有新意，三个影帝眼神都是戏啊，特效做的也不错，看的时候我都有种身临其境的感觉。,40,13
bewater,2023-03-03 20:21:39,学不进去所以看电影来了，爱在大银幕上看老熟人，但我又被国配创死了，什么几把啊，我真的，我将用一生辱骂所有港片国配。然后，这行活儿搞得也不行啊，纯粹属于看过就忘掉，反而是其廉价的科技感让人有点印象xs。。。林家栋现在好像那种漂亮的恶毒后妈，喜欢。,-t,90
lltzahd,2023-03-03 20:51:53,和好几个同学一起约去看的断网，大家一致觉得好看，特别刺激，回去我们都要集体好好学习敲代码，太帅气啦！,50,21
那个小邓,2023-03-03 20:58:02,这电影看似在讲洗钱，其实这电影就是在洗钱。,10,1704
谋杀游戏机,2023-03-03 21:24:42,剧情其实还可以，但大量网络虚拟世界的光污染特效和现实世界的办公室场景都严重脱离当下的时代感，一看就是绿幕棚+各种随便贴图的电脑程序界面，视觉上太悬浮了，像零几年机器侠之类的伪科幻特效片。后半段强行变回香港传统动作片也是没必要，毕竟主角是程序员不是007，黑客技术也被拍得有点过于厉害了，郭富城再怎么戴眼镜穿便衣也不像个程序员啊。他女儿才几岁啊，就能飞速盲打键盘写AI指令了？故事和视觉想象力距离1999年的黑客帝国大概还差100年，加油吧。,-t,46
暮狼寻乡,2023-03-03 20:06:45,全员二五仔。降智桥段比比皆是:警察纯废物，证人收集证据不派人保护证人家属吗？让证人自己到警局？出了事还要全城通缉是吧？反派一群人抓不到主角一个人，主角老婆单枪匹马救女儿，发现只有一个绑匪守着，黑帮老头出场那么狠被一个人一把枪搞定，到最后两人在床底下缠斗走火打死了弟弟我差点就笑出声来…多一颗星给网安题材。,20,416
一只嘎嘎嘎,2023-03-03 20:15:19,简直是拍来洗钱的垃圾程度,10,425
张兮兮,2023-03-03 21:54:11,这部“既新又旧”的电影，让我完全沉醉到它的魅力中。在这之前，国内电影从未将目光聚焦在棘手的网络犯罪行为上。导演沿袭港片的优良传统，又创新性地将互联网博弈掺入炫目的视觉特效，让人看完直呼过瘾。,40,15
孔府小鱼,2023-03-03 20:54:24,很难得在电影院里看到这么没头没脑、故弄玄虚、不知所谓的片子了，我只庆幸自己的手机没断网，否则不知道怎么熬完这场电影。,20,387
AyanoAyu,2023-03-03 20:10:46,剧情智障，特效比剧情还智障，白瞎了那么好的阵容，唉！,30,39
海邊的卡夫卡,2023-03-05 22:18:53,《断网》是部很可惜的作品，本片动作戏对情绪的拿捏，保持了香港电影一如既往的水准，但囿于审查修改或剧本问题，让它只得了一个尴尬的分数。本片给人感觉是三角戏，但角色之间的互动感并不强，比如任达华和郭富城的角色，任达华只会利用郭富城，一时让观众觉得警察才是最大的反派，比《拆弹专家2》和《怒火》的用完即弃更令人恼火。编剧完全可以将两人关系写成，当年逮捕郭富城的人就是任达华，让彼此有些前史。如今任达华的角色比配角还要配角（难怪他不参与路演）。整体而言，这是一部事件大于人物的电影，可惜事件本身还有很多可以挖掘的点，比如香港断网5小时，整个城市如何运作？本片完全是一笔带过。结局反派弟弟被误杀，这个怎么算？卓家俊就这么简单脱身？太多太多未收好的伏笔，给人电影没把故事讲完的感觉。我相信，它真的可以更好。,30,19
HatcherZ,2023-03-03 20:02:21,我真的感觉这部片是在侮辱警察吧，怎么塑造得这么无用碍事且弱智。可视化黑客过程就是个噱头，剧情依旧老套逃不过港片三板斧。什么ai病毒，搞垮香港网络都没怎么展开就不了了之，真是浪费题材，可能导演对大场面真的掌握不住。,20,268
奥特曼,2023-03-03 20:13:55,依托答辩，友情提示，此断网非彼断网，冲片名去看的会大失所望。,20,162
anliangthu,2023-03-03 22:02:50,作为一个学计算机的，这电影有点侮辱我了,20,156
kakakarl,2023-03-03 20:11:27,为了省事，不涉及最后千方百计找真的大BOSS，直接安排了小BOSS把大BOSS杀掉，还被摄像头拍下来……一举多得。,20,136
誒嘿嘿教主,2023-03-04 01:05:04,林家栋的角色也太惨了，早知道这样，林家栋就应该伙同郭富城一起干庞老大！！！,50,11
银敏悲,2023-03-03 20:21:15,花钱买罪受，郑保瑞你是把剧本写了一半扔给一个三流导演去拍的吗？林家栋和郭富城看完都要一脸懵逼……,10,175
巴伐利亞酒神,2023-03-03 22:53:32,最新银幕爽片，题材独特，视效拉满，节奏飞起。单说把网络世界实体化的想法就是很不错的尝试，加上一贯好看的港味题材，是在用旧瓶装新酒，新旧都各有出彩。而且涉及到暗网，可以说是另一种意义上的“黑客帝国”。,40,11
