用户名,评论时间,评论内容,评分,赞同数
尘墨,2023-04-14 20:14:42,這劇本是即興發揮的吧……,20,310
兵部左侍郎千夏,2023-04-15 10:36:41,"没有粤语和潮汕方言，太可惜了，国语配音太差，我想听“扑母”啊。
剧情太拉了，以前电视剧水准，感觉就是为了完成任务的，然后很多机位镜头太现代了，竟然还有穿梭机，立马跳到民俗纪录片。
唯一让我觉得好的就两点:全景声厅的枪声音效听的我很爽，酱油蒜蓉酱拌面太正点了👍🏻",20,104
Xw_smile,2023-04-15 08:56:26,故事没有讲透，逻辑太混乱了，全程看着并没有爽感，只有满脸问号。想到王千源老师和吴彦祖之前那部除暴，明显更好。,30,98
西楼尘,2023-04-15 00:54:42,机芯没坏的手表拿去修而不用换，道路不同的兄弟修不好不相为谋。有的人死了都没人管，顶多在义庄留个名字。有的人活着慨然赴死，早已在丰碑留下姓名。不吃牛排吃粿条，不喝咖啡喝鸩药，不是没把你当兄弟，只是你选择的路我看不到希望。即使路会被清剿，密码本不丢，交通站不倒，终会在至暗中迎来黎明。,-t,53
番茄大居士,2023-04-15 09:42:32,陈伟霆演技很好，陈嘉上老当益壮。王千源开机枪那块莫名搞笑，全片的场景美术不考究，片尾是花絮有点自恋。,30,44
larcjj,2023-04-15 07:33:56,中规中矩吧，某人这应该是政治任务片，不然选片眼光太烂了，不理解，不原谅…,30,17
秋风物,2023-04-14 21:55:49,"一开场就是反派的视角，影片主旋律的立场就立不住。另外剧情还有几个问题：
1.刺仔是共产党吗？不是共产党怎么能把找密码本这么重要的事情交给他？他又为什么会恰巧出现在咖啡馆前？
2.江河和王历文到底是什么关系？为什么他要把老路的孩子抱给王历文？为什么虎牙说江河身份的性质交给中央定夺？
3.陈家栋为什么不直接找江河要密码本，再给虎牙？
4.为什么结尾总要来场俗套的贴身肉搏？
5.为什么最后要把孩子抱到火拼现场？让孩子见见世面吗？
另外，还有最重要的一个问题：陈家栋的信仰是怎么确立的？没有这个过程，主旋律是没有说服力的。",20,73
大上海红牡丹,2023-04-14 21:51:19,潮汕观众朋友们，你们受苦了。,10,296
minamiyoru,2023-04-15 12:40:39,对不起。但是实在是有点失望。为了尹正老师特地跑很远的路去看了粤语版。但实在是有点失望。,30,15
一十一,2023-04-14 21:05:58,汕头电影题材的还是可以看看的，可以了解一下潮汕文化. 潮汕小吃也多，要去吃一顿正宗的潮汕牛肉火锅，有机会要去那里旅游。,40,163
