用户名,评论时间,评论内容,评分,赞同数
凯文·史派东,2023-01-24 23:52:45,真够烂的，看了十分钟就关了。,10,19
梦工厂大爷,2023-01-24 12:48:52,前5分钟还是很精彩的 但是缝合太严重了 里面造型都是抄的 黑礁的女仆 生化4的艾达王 甚至生化的枪斗术 ； 技术上 霍穗强已经可以了 他需要安心下来好好弄个本子 做一个有品质的系列 将借鉴的东西改良而不是生搬 这样才能更进一步,20,32
WIKI魏,2023-02-22 04:34:44,缝合怪：周星驰各种片，通缉令，魔女。。。懒得盘点了,10,1
小西,2023-01-24 22:11:01,get到了杨杏的那种疯批A,30,23
海边的曼彻斯特,2023-02-03 15:10:13,开局就是大场面爽快刺激，直奔主题不多废话，最搞笑的是被强行拉过来的搭档，全片剧情精彩，要腿有腿要枪战有枪战，不输一些院线电影。,40,19
放飞自我,2023-01-31 14:18:54,与盲战相比，水平差了许多，剧情拖沓，无厘头的笑点占了太多时间，显得尴尬。一颗星只给杨杏的动作戏。,10,4
人民的艾力,2023-01-31 04:31:00,"“皮佳娜你竟敢背叛我！”
“谈不上背叛，她一直都是我的人！”",50,7
西决,2023-01-29 12:12:13,大女主好加分啊，国产影像中少有的神经质女杀手角色。,20,15
ling,2023-01-26 13:57:38,很神奇，虽然很缝合怪又二，但角色太有意思了以至于看完了,30,24
Pam,2023-01-28 17:52:31,国产大B级，无线新可能。,30,11
胡阿忧,2023-02-07 11:37:47,良心之上，是否还有更多三千米玩的观望？故事的主题被枪战掩盖，但主题依然出色；为了绝大多数人的幸福有很多方案，要么成为那个最恶的人自己主导一切，要么凭本事打倒一切罪恶的世界。安娜疯疯癫癫的真情流露真的很不错，枪战也很好，很赞。,40,4
温岭阿浪,2023-02-15 08:39:51,"观看的时候我在想，如果这些人都穿着皮套，那影片的评分会不会高一点呢？毕竟有些特摄片剧情不咋样，特效也不咋样，但都能有7分。
本片剧情确实是三星水平，豆瓣5.5分也挺客观。不过动作戏拍得很好，节奏感也不错，加上女主很可爱，作为爆米花来看是够爽的，就多打一颗星吧。",40,3
三尺旧巷,2023-01-25 22:55:49,疯批疯批,30,7
侑子（我回来了,2023-04-09 00:16:25,逻辑缺失，二次元设定三次元化的不适，这电影还挺有意思的；至少有个生动的女主角不是吗？,10,0
