用户名,评论时间,评论内容,评分,赞同数
你怎么回事,2023-04-28 11:08:39,有幸观看了北京的首映，整部片子看完可以说是让我惊艳到了。前半部分笑点很欢乐，不低俗还挺有意思很有梗，后半部分让我这个铁石心肠之人都忍不住红眼落泪属实是不易。飞机含量很高看的很爽，真实的展现了试飞员的工作和生活，试飞和空战是我会反复刷的理由。整个故事展现的很顺畅，全员演技在线，超棒超爽，雷宇那股子劲很戳我。,50,13559
小笼包,2023-04-30 16:00:07,胡军演完的后面更没什么看的了，爱情线塞的莫名其妙的，王一博演的角色………整部电影一堆bug就连我妈这种爱看打仗的都快睡着了，这是哪边都没做好啊,30,2894
辞落,2023-04-28 14:58:16,上映就去看了，算是科普了试飞员这一职业。煽情还是比较多的，毕竟高危职业，这个情怀志向本身就是卖点。虽然我猜到队长要死，但是这个弹射失败的原因一言难尽，感觉还不如弹射成功但是降落高度不够。而且这些设备的细节问题，比如弹射失败、降落伞割不断，比发动机这些科研技术难题要简单多了，为什么不把控好这些细节问题，试飞员的生命安全不是更加得到保障么。是一部成长型电影，不光是试飞员个人的成长，也是中国飞机和航天事业的成长，没有《中国机长》那种成熟的飞行员的惊心动魄，但是最后意外确实体现出了训练的重要性和必要性。,40,3200
baikonur,2023-04-30 15:58:55,开头结尾出彩的平庸之作,30,527
花开有时,2023-04-28 14:30:33,之前朋友极力推荐说上映去看，今天去看了一下，首先特效方面很多地方不行，道路bug也有很多处。其次男主前期人设是一直犟嘴，然后他和男二的冲突的剧情也很老套，别说比不上壮志凌云，连之前的空天猎都不如。难看，不知道评论区怎么只有一水的好评，大家看的难道不是同一部电影吗？,10,10770
逸动控股,2023-04-30 16:29:45,请尊重历史！从宣发就能看出制作方根本没认真了解过中国空军事业，飞机建模的槽点更多了，宣称所谓的真机实拍？飞行员也不是谁都能当的，选角也要符合现实一点，文盲怎么开飞机？,10,7500
或且非,2023-04-28 11:37:51,"电影院里 
国之重器
轰鸣声听一响便是值回票价",50,9468
哆啦a梦的快乐,2023-04-28 14:59:35,特效拉胯，还不如天空猎，cg也是一堆错，胡军演技还不错,10,7696
恃南林以司,2023-04-30 08:43:47,1.算是五一档里唯一稍稍值得进电影院的电影，但也只值到银护3来之前2.观感仍然不够它的噱头，有很多CG画面表现的飞机姿态是匪夷所思的夸张，你要是看多了一些纪录片或者汤哥的壮志凌云，甚至只玩过一些空战游戏就能明白，夸张的机动会造成极大的失真感。为什么壮2那么成功，就在于观众能在真实驾驶舱与真实天空共振的翻滚里一起屏住呼吸、期待完成下一步新的飞控动作，用CG和极限耍帅画面来代替这种共同体验简直过于浮浪。对个人演员无感，但对这部电影背后透露的工业逻辑很失望,30,253
村炮翠西,2023-05-04 14:19:38,国产主题剧里只要是出现了为煽情而煽情的画面一般都有点……一个牛逼哄哄自信爆棚的年轻人总是有点桀骜不驯然后被老选手九死一生拯救回来，把自信心揉碎再乖乖学习的老套路一成不变，在多少电影里看过了。😌😌😌,30,135
略略略～,2023-04-28 14:58:58,bug太多,10,5518
