用户名,评论时间,评论内容,评分,赞同数
雾都一枝花儿,2023-02-04 00:39:05,郭富城和杜鹃跳舞那一整段，也太像德芙巧克力广告了吧😪,20,677
popo,2023-02-04 13:30:39,散是满天星（指细节），聚是一坨屎（指主线）,30,1632
jjjjijjji,2023-02-04 16:25:56,太像b站那些港风滤镜的剪辑合集了,30,687
手可摘星辰,2023-02-04 16:35:53,这是踢踏舞纯情少男养成记？脏活老婆干，还搞个燕燕类愉的狗血初恋和情人的替身文学，谈着恋爱突然印度跳舞进雨中曲，然后又花样年华和春光乍泄，给郭富城床戏时候的大肚子好几个特写，是觉得自己特化很牛炫耀一下？主角的三角恋太离谱！郭富城梁朝伟开枪互射那里真的笑出声，那个脚丫子踩脸的镜头要表达啥？枪火下的纯真？看得我如坐针毡如芒在背如鲠在喉，这么好的卡司就搞出这么垃圾的电影，唯一一个优点就是年轻演员长得很像郭富城，流水账的剧情2个多小时的片长，太难熬了。,10,489
Momoss,2022-08-15 23:39:42,珍贵的映像，极致的浪漫。男人致死是少年。人这一生，忘不掉的，留不住的。一个白月光，一个朱砂痣。人面不知何处去，桃花依旧笑春风。百年际遇，过眼云烟。,50,265
鐵馬冰河,2023-02-04 14:22:09,一个很有意思的现象，无名的剧情时间线是打乱的，但剪辑很顺畅，而风再起时的时间线是顺序的，剪辑却很混乱。,20,337
不留痕迹,2023-02-04 12:49:25,有很多值得吐槽的地方，比如四不像的类型、混乱的叙事甚至糟糕的人物设定，你永远无法理解为啥枭雄片也可以拍成三角恋。看得出翁子光想用《一代宗师》的方式以几个人物串联起香港几十年的历史，可惜只学到了浪漫的外形，却没能学到墨镜王见众生的魂魄，所以电影的人物总是和背景游离。但导演太懂得利用两位影帝的个人魅力了，伟仔弹琴城城跳舞，这比拍他俩枪战要好看太多，从这一点上他又做的很对。原来四大探长的传奇都是幌子，导演想拍的风从来不是腥风血雨，而是风流梦，他对香港真的爱的深沉。,40,452
C。,2022-08-16 11:26:09,多一星给伟仔，救命，滥用的慢镜头造成的廉价mv感什么都救不了，date都吐槽杜鹃根本就不会演戏永远都一个表情。,30,537
糖右右,2022-08-16 08:06:21,4星。两个多小时想展现香港历史，剧情真的好赶，还有点子莫名其妙，又想花样年华又想无间道的…但是演员配乐真的很棒！,40,335
凹凸代餐,2023-02-04 16:25:09,没有呼吸感的影像，精美但令人疲惫，每一分每一秒都按着观众的头“看，我的调度多牛逼！”“看，我勾勒的时代多恢弘！”,30,294
阿暖,2023-02-05 13:20:31,最大的问题是你感受不到这部电影的主题，好像只是用一种很漂亮的方式，把两位主角的一生平铺直叙地讲了一遍，可是再漂亮也没有灵魂，人物的躯壳里缺乏那个根源的、决定性的东西。追龙的故事拍了这么多遍，翁子光的贡献是什么呢？只是慢镜头和漂亮的调度吗？导演的女性观念从《踏血寻梅》至今似乎也没有任何改变。当他反复拍摄梁朝伟在办公室里独自跳舞的时候，这真是一个男性创作者的自我陶醉，他将无法得到的女人供上神坛，他所谓的爱情不过是一种对于权力的、懦弱的想象。,30,227
kinder23,2022-08-15 23:27:30,#HKIFF46 终于在电影节上首映，估计离正式上映不远了，但应该都要降低期待值了。翁子光恐怕太喜欢王家卫，这部电影处处可见模仿痕迹，可这么一个双雄故事变调成《春光乍泄》和《花样年华》就不太着调了。故事没好好说就一顿摆姿势摆镜头玩调度，美是美的，但细想就是浪费时间……电影的“戏点”在郭富城，但着墨较少、藏在背后的梁朝伟显然更迷人，而这部由两位影帝+杜鹃参演的电影，本该呈现得比现在好很多。,30,241
🌞娘卷卷🌙,2023-02-04 12:41:56,拍得挺好以后别拍了。（全程想搞死郭富城，我不李姐，but许冠文yyds！）,-t,111
