用户名,评论时间,评论内容,评分,赞同数
高詩遠,2023-03-26 17:26:01,自媒体与电影的握手言和，看到最后竟有点眼眶湿润。开头是马凯非常擅长的那套《中邪》拍法，在现实环境中展现闹鬼，能够产生一种有反差的以及不和谐的惊悚感。既然主要场景被设定在片场，作为全封闭式空间，那剧情必然包含了非常多的假定性，这就考验了马凯构建一个新的世界观的能力。打破叙事媒介的尝试算得上成功，根据片尾滚动字幕的彩蛋可以看到整部片子也有马凯的自传性色彩。不讲道理的制片人有解散团队的权力，但很矛盾地，如果没有制片人所制造的高压环境，又没办法催生一个比较优秀的剧本。工作人员的积极配合只是为了让片子能够在电影院上映，在大银幕中看到自己的影子。最后的拍摄过程真假交织，明知是在演戏却又能感受到所有工作人员充沛而饱满的情感。这些煽情是廉价的，是所有做电影的人所进行的一场盛大的意淫，可是真的很感人。,40,496
余小岛,2023-03-31 12:38:41,短视频入侵电影的典型例子，不仅仅是形式、风格，还是主题、创作意识上的全面影响。倒不一定是坏事，可能是另一种形态。这个影响迟早会来，以本片的完成度来说，还是满意的。对于马凯，能够从《中邪》的悲剧中走通一条大银幕之路，用喜剧包装恐怖，不失为一条聪明、有效、值得鼓励的路子。一些关于想拍电影的初心，还是真诚且动人的。,40,404
壹安²,2023-03-26 20:38:12,失望哈，吓，没吓点上，笑，笑没笑够。惊悚+喜剧值得鼓励有抱负有理想的青年才俊导演们大胆一试，但别总想着靠煽情、励志（和yygq）来夹带私货吧。可惜了，成为不了爆款。[点映],30,230
陀螺凡达可,2023-03-31 20:31:42,哈哈哈哈挺好笑的啊！国内稀缺的类型混搭，惊悚+喜剧更挑观众，尤其惊悚部分碍于创作限制变成了对国产特供惊悚片的挪揄和自嘲，因此重心还是更侧重于无厘头搞笑（上厕所那段最佳）。后面的反转和升华反倒比较常规。马凯这条路在国内环境下太难走，这样温和的挑战和尝试可以鼓励。,40,213
申报记者何书桓,2023-03-31 00:46:18,周一围最后痛哭流涕说这TM是艺术是对本片最大的讽刺，只拍出了夜晚，没看出哪儿了不起。,20,296
阡塔,2023-03-31 21:08:03,"前20分钟像是一年一度喜剧大赛的番外。

因为知道院线必不可能有怪力神佛，所以每个反转都必然是意料之中；

从蒋龙演完第一场""真的被吓""之后就越来越难看，直到最后，三个人坐在雨中互诉衷肠，崩的不忍直视…

可以看出，导演本人对于""拍了一半就散伙的戏""""玩闹般的资本与制片人""""出不了头的群演""深有体验…",30,187
畅游瓜皮乐园,2023-03-31 00:23:38,"看的超前点映，我愿意给他5星
来补分了",50,389
酱爆桑,2023-03-31 00:13:32,【2】我的妈呀，幽默死了。剧本杀电影拍腻了，来拍密室逃脱了。全片以“尬文化”矛盾自恰，一边要吓人，一边又要笑死人，两者都做不到只能尬死人。拿着院线的制作本质还是拍网大，论吓人不如玩密室逃脱，论好笑不如开庭麻花。短视频，粗制滥造，自媒体，网大，来完这出闹剧。你吓吓我，我吓吓你，然后pov不断转换，化解尬剧的自然是万恶的资本和至纯的友情啦。还不忘记强行煽情痛哭致敬《摄影机不要停》和《我是路人甲》，可真够幽默的呢。,10,304
fw郑景仁,2023-03-25 17:05:32,"看了点映，挺不错的。伪记录的开场延续了导演前作《中邪》的创作风格，中间有惊吓也有笑点，挺自然的不尴尬，后面难免让人想到《摄像机不要停》，结尾挺不错，搞出了大鹏的《煎饼侠》想要拍但没拍出来的东西；范丞丞挺出乎意料，演的不错，一喜的几个演员就不用多说了，都很出彩。
创作灵感是马凯导演自己，或者说是千千万万个像马凯导演这样""追梦""的电影人，其实电影中的演员也是这样 ，他们大多都不是大红大紫的演员，像蒋龙、蒋易这些""腰部演员""也是努力摸爬滚打多年才有了今天的发光发热，致敬这个时代仍热爱且认真做电影的""了不起""的他们",40,438
大奇特(Grinch),2023-03-25 16:57:09,其实就是把《新半斤八两》鬼撞鬼的桥拉长了。开场饭店、公司的戏应该拿掉，直接由宫内戏起，由戏中戏冲破四面墙解构拍鬼戏。第一次反转出现的时机有点晚，前面的恐怖已经撑疲了。第二次反转是不用回溯解释的，因为和第一次反转的功能是重复的。最后该做制片—导演—演员的压榨关系的讽刺了吧，咋变成用改戏反映群演酸楚了呢？可以拍感动，但请在尊重故事发展的前提条件下，再去谈感动。,-t,79
