用户名,评论时间,评论内容,评分,赞同数
发条橙,2023-04-28 20:06:37,刚刚，范丞丞有了代表作。,50,2292
徐若风,2023-04-28 20:54:55,易小星一步一个台阶，真的有进步。“怂女婿见岳父”题材下，利用人物核心矛盾不断发散笑点，同时也贴近当下生活情感。前段多肢体喜剧设计，后段多细节笑点，看得轻松顺畅，不尬不拧巴。片名概念也有点妙，“人生/路不熟”“人生路/不熟”不同断句不同效果，也是想讲每个普通人都会有“不熟的第一次”，勇敢跨过去，做对的事就好啦。,40,1500
段郎RockDuan,2023-04-28 21:20:22,笑中带泪的一部电影，有两处直接让我泪目了。第一处是周东海摔坏求婚礼物的时候，周东海处处为了女儿着想，却没有考虑过女儿真实的想法；女儿遮住纹身不告诉父亲不是怕父亲，而是在乎父亲的想法，直接狠狠被代入了。第二处是结尾结婚的时候，父亲致辞的时候真的好有感染力，想到了我的父亲。,40,1403
记上他掉凳了,2023-04-28 21:53:56,"挺烂的 但也笑了
看完又有点悲伤 一流的喜剧女演员 耀眼的新人女演员 就只能演这种东西",30,3439
523,2023-04-28 20:46:53,全家一起去看的，最后婚礼周东海致辞那儿，我和我妈一扭头，看到我爸在偷偷擦眼泪，万万没想到啊~乐死我了,50,1202
快乐小张,2023-04-28 20:27:38,"有人在囧途那味了，笑点还挺多，也有传递一些积极的价值观（勇敢、正义）。
最后亲情线那里也挺感人的，差点看哭了，中式父母感情戏永远不过时。小女孩的演技好有灵性，前途可期！男主颜值忽高忽低，有的角度竟然有些像许嵩（对不起范丞丞，看了演员表才知道，演技可以的）。
总之是五一档不错的喜剧片了，很适合带家人一起看。",40,1335
不辞的辞,2023-04-29 10:33:20,挺好笑但太男凝了 而且男主太蠢有点烦,30,1664
超幻想主义,2023-04-29 21:08:46,还行，我笑了。但刻板印象随处可见，比较低级。男女主的爱情没有基础，无法共情。女性偏工具设定。,30,1089
高詩遠,2023-04-28 20:25:22,挺邪门的一部片子。0元购的，想着不浪费公共资源去看一下吧，结果第一天上映北京就下大暴雨，坐的那趟公交车还出了车祸，最后冒着大雨蹬共享单车到的影院，不过还是迟到了十分钟。本质上还是一部为父权制度作辩护的片子，男人们斗女婿乐此不疲，女婿就算什么事都不干，都会自动地危害老丈人的利益，最后再通过老丈人的教化，女婿得以成长。总体来看就是一部段子集，所以他们的对话经常能够发现有扯远的倾向。人设在这种片子里面就不用奢望合理，男主（女婿）的情绪起伏之大让人不禁怀疑他精神有点问题。布景极其敷衍，频繁出现的车的空镜像是湖南卫视综艺节目的转场，结尾祝寿宴和婚礼现场一看就是后期合成的。反差音乐、夸张表情、升格镜头等套路简直屡试不爽，已经成为了我国喜剧片的配套零件。可是马丽在里面有个梗还挺好笑的，不过剧透不道德。,20,1090
Fy,2023-04-29 00:05:25,虽然我满嘴跑火车，丢三落四，啥事都不上心，各种扮洋相但我老丈人一家就是能无条件无尺度原谅我喜欢我，嘻嘻,20,788
付突突,2023-04-28 20:52:27,有些段落能笑，有些不能笑。但是硬上价值和爱耍小聪明这套，还是有点膈应。,30,434
pickitup,2023-04-30 11:02:41,无脑看着笑笑就行，挺多地方不能多想，要不然太心疼钱了,30,256
xxhh,2023-04-30 17:05:49,一些比较常见的喜剧元素罗列。热评里对女演员困境的评论反而更能让我共情：中国一流的女喜剧演员，风头正劲的新人小花，也只能在现在的电影环境下，出演类似花瓶的角色。为什么啊。,30,205
what'swilliam,2023-04-30 13:05:16,3.1星。略尬的男版“便利贴女孩”之公路电影版《拜见岳父大人》。1.90%以上的包袱来自男主的蠢事做尽，剩下10%来自乔杉马丽的台词表演，可惜真正好笑的只有那10%里的一半。2.男主堪称男版傻白甜代表，又菜又笨闯了大祸还委屈“人家只是单纯无辜不谙世事的小白花”，这种人到哪祸到哪的灾星体质当然要被岳父退货。3.常远做配角果然比做主角有效果，他的油腻配上景冈山的《我的眼里只有你》成为本片为数不多的亮点时刻。4.马丽能不能接点好本子？那种能给你这个一流喜剧女演员发挥空间的。5.片尾男主反击老板和偷油贼的段落目的太明显，强行让男主成长，男主进化的转折点竟然来自反派的辱骂而非对女主的爱，编剧没处理好。,30,156
阿卜,2023-04-28 21:42:43,耳熟能详的全明星演员阵容+导演易小星的带来了影片的品质保证，喜欢喜剧片的朋友尤其不能错过了。开场半小时喜剧梗尤其密集，满场笑声几乎没怎么停过，中后段的笑点也不断发力。同时故事也非常接地气，人物以及剧情发展又贴近现实生活，不管是担忧子女的父母之心，又或者是常见不过的酒局遭遇，很容易便能与影片所表达的内容共情！,40,975
菀得,2023-04-28 21:24:24,笑点挺多的，结尾的泪点也不狗血。范丞丞的演技真是千篇一律啊，演谁都是一个德行，他咋就能出来拍电影了呢？？没演技没颜值咋就出来拍电影了呢？？,30,142
王大根,2023-04-29 22:51:41,既然演员几乎全是操着浓重东北口音的东北演员，何必又设置成西南少数民族背景。东北话统一全国得了呗。,20,403
萌 . 李,2023-04-29 09:18:55,和同事吃完饭临时决定去看电影，只有这部有票还时间最近就看了，本以为是烂片，没想到，意外的还不错！笑点还挺多的，很流畅很舒服的就看完了。乔杉他家这一路因为女婿惹事花的钱算下来可不少啊。三星半吧，如果假期无聊可以去看一下，笑一笑人也会轻松不少。,30,175
腸胃好痛,2023-04-28 20:50:42,代入感好强。。一边抠三室一厅一边感谢当年老丈人的不杀之恩。。,50,1052
后自愈,2023-04-28 20:14:40,如果你说一个男性导演会有陈旧的性别观念和爹味是不可避免的，那拿配角的身体缺陷和黑人当笑点总是可以避免的吧？什么恶臭集大成，易小星还是那个叫兽，从未改变。,10,1404
碳水得戒,2023-05-02 18:46:27,"当你抱着这铁定是一部烂片的心态去看的话，效果还不错，笑点不算尬，能看，但是一看也不是多动脑筋想出来的东西，类似于照着模板写了个勉强及格的作文。
p.s.仍然无法理解喜剧片为什么一定要煽情？",30,53
张兮兮,2023-04-28 21:01:24,好久没看这么轻松的电影，好久没这么开心的笑过了，感觉影片几乎是十分钟一个包袱，笑点超级密集！笑中带泪，但是又不是刻意在煽情，刚以为要套路的煽情了，没想到接着一切镜头就是一个梗，硬生生给我眼泪都笑出来了！全员演技在线，范丞丞和张婧仪的CP也好好嗑！,40,1013
lovkilluae,2023-04-28 21:04:45,是不是所有的岳父对女婿最先开始都是嫌弃啊，周东海有种让我看到我岳父的感觉,50,964
清石桃桃,2023-05-01 18:18:57,笑点一般，都能预判到。男主的人设设置得过于蠢了。,30,48
Ston3s,2023-04-28 20:07:59,蛮尴尬的，剧情设置离谱但难笑。,20,500
嘟嘟熊之父,2023-04-28 20:06:05,刻板印象常有，但一部电影中所有角色无论男女老少全是刻板印象，真的世间少有。片中的笑点就和小学男生拽女生辫子教室里响起哄堂大笑那感觉是一样的，全是看别人出丑，很low。,10,1223
麦麦,2023-04-29 04:50:20,笑点及格 男主low穿地心 连自己职业都不敢向岳父坦白 酒品极差醉后骂岳父 因为自己的愚蠢给女朋友一家招来横祸 面对他人侮辱恼羞成怒发癫被追着打 最后靠女主一家来救自己侥幸逃脱 可以说是没有任何优点了 相比之下女主柔道满分 长得漂亮 家庭和睦幸福 不知道看上他什么 虽说找对象人品最重要 但男主人品也极差 撒谎精+爱无能狂怒的怂包罢了…,20,289
slow,2023-05-02 16:19:44,不行啦，范丞丞人设实在是太蠢了,30,38
武侠小王子,2023-04-28 20:48:38,乔杉范丞丞不仅年龄超级加辈，笑点也在加倍！从开始因为认错人身份错位引发的笑点，到后面感觉范丞丞饰演的万一帆这么个冤种女婿不像是演的，是真的憨啊！还有乔杉张婧仪之间的亲情的泪点，看到乔杉演的父亲担心女儿，还有最后结尾处父亲的眼泪，想到我的父母了！狠狠泪目了！,40,843
Amber_54,2023-04-28 20:08:10,很久没看过这么难看的电影了 浪费我63,10,675
霏桃桃,2023-04-29 20:49:40,此时的我只想找小红书推荐的人退我票钱，我在电影院是坐立难安，是怎么做到融合了一堆烂梗之后还不好笑的？还有我真的很厌烦那种我各种闯祸各种小毛病各种不小心可是我是心地善良的所以所有人都要喜欢我的设定，太烦人了,10,582
豆瓣路人己,2023-04-28 22:55:27,易小星放过大银幕吧，真的更适合网络，尤其是现在的短视频！还说自己看了那么多电影教材，真的白看,10,443
林林奇,2023-04-29 12:20:49,给一星都浪费 啥垃圾电影 剧情弱智 2023年了 有点良心吧 傻人有傻福 傻x没有 男主也配谈恋爱？当个人都费劲,10,411
光夜,2023-04-30 21:54:52,偶尔能笑一下，那种后悔为什么人能因为这个笑的那种笑。。。,20,195
野歌,2023-04-28 20:18:57,"现在就坐在电影院里，尬的我真的是忍不了了。剧情没逻辑就算了，作为一个喜剧片用的都是烂的不能再烂的烂梗，我都能猜到下一步怎么发展。关键是，我是看了美团上的评价去看的，全部都是尬吹，当时也没细想，现在打开再看，觉得特别讽刺，这都是背了什么任务写的几百字能吹成这样。
感觉连台词都没有做到基本水平，情节发展完全为了搞笑而发展。再说主题，在这么无厘头的剧情里还想表达“油耗子”“年轻人加班”等主题，怎么想的？有这个实力吗？？",10,432
演员kkkkkw、,2023-04-28 21:07:13,尹正的出演有惊喜也有泪点，和小时候的女儿的相处简直美好又感人，隐藏在别扭又冷硬的态度下的也是炙热真诚的父爱啊,50,858
珞琪桑,2023-04-30 05:13:11,完全不好笑，看宇宙探索编辑部的时候整个电影院只有我和朋友俩人在笑，看这部的时候除了我都在笑。,20,163
秃头少女,2023-04-29 15:53:32,我有厌蠢症，一部片子怎么做到所有角色都那么蠢的？哪怕是喜剧也不能这么降智吧,10,313
磕学家🥺,2023-04-28 20:16:42,"笑点热闹地过于密集，让人不能自已。
泪点温柔地过于有力，让人泪流满面。
张婧仪和周也最好的区分方法，看这两人谁有演技。最后，就算不是范丞丞的粉，但我也想说青年演员范丞丞未来可期。",50,733
luoyinluoxuan,2023-04-28 21:04:21,一开场的美救英雄就抓马感十足，张婧仪真的太斩女了，好适合这样的角色！范丞丞感觉就是本色出演，和角色非常适配！配角也都很出彩，常远只要不是主演，完全就是长在了我的笑点上，包袱一个接一个！还有张百乔和李宗恒的油耗子也是纯纯大冤种，他们被马丽连扇后抱着警察救助那段笑得我直打鸣！,40,670
三傻π克号,2023-05-02 00:37:48,干废一辆超豪华房车上百万，自己的货车干坏油箱、玻璃、轮胎几十万，常远豪车开沟里了上百万，艺术来源于生活，就这女婿回趟家就花几百万，谁tm要这sb女婿？,10,118
二胡卵子,2023-04-29 19:19:14,真的很恶心，喜剧不意味着反智,10,350
小雪,2023-04-28 20:23:38,"《人生路不熟》太好笑了！平均30秒一个笑点，电影院里的笑声此起彼伏，从开始就没再停下来过！
这对冤家翁婿，贡献了百分之八十的笑料",50,617
sos,2023-04-29 13:02:12,"一个半小时如同四五个小时，坐如针毡，全篇充斥着低俗的冷笑话，一点也不好笑
名副其实的开年第一烂片",10,346
色令智昏,2023-04-29 00:34:45,。。。我真的怀疑我笑点太高了，冲着张婧仪去看的电影，没想到完全就是个工具人，都没有几个镜头，一点惊喜都没有。里面的梗差不多和小品梗一样，猜都猜到了，只能尬笑，，，后面强行煽情，正能量。。我真受不了了,10,289
爪懿啦,2023-05-01 19:33:06,同意头评的每一个字：1.挺烂的——是真的烂 2.但也笑了、看完又有点悲伤——甚至有泪花 3.一流的喜剧女演员、耀眼的新人女演员，就只能演这种东西——真替她们感到不值,30,29
糊乱的张贴,2023-04-28 21:41:25,易小星过往作品里最好的，也是最好笑的一部，熟练使用各种梗与观众互动，同时更好的一点是懂得恰到好处的煽情，你再多一点我就不行了，恩易小星就在这里戛然而止，挺好的，适合没心没肺舒适的看，一部对味的喜剧，当然也有感动的部分，我朋友最后哇哇流泪。,40,520
小恒🍑,2023-04-28 22:46:55,男主是个2B,10,218
lalall,2023-04-28 21:04:51,笑点是真的密集，同排大哥嘎嘎笑的都快劈叉了，出了影院回想起一些片段，还是会忍不住笑出来（ps常远意外得提好感，全片自带bgm的男人,50,534
朝阳区妻夫木聪,2023-04-29 00:04:20,怎么说呢，感觉国产喜剧这个类型基本也可以被扫进垃圾桶了。,20,198
十九,2023-04-28 20:53:43,二刷，两场全场爆笑。五一假期就适合从一部欢快的喜剧中开启。范丞丞在最近两部喜剧中都有出色的表演，值得期待；张婧仪越看越好看；乔杉大哥稳如泰山老狗；马丽帮衬得恰当好处；易小星导演把细微的笑点和八零后的情怀像绣花针一般地编织在情节里，整体非常完整和精彩。真天时地利人和的喜剧！,50,516
重开的wiro,2023-05-04 20:24:48,同一起跑线的大鹏已经把叫兽甩这么远了吗,20,37
