用户名,评论时间,评论内容,评分,赞同数
forfaen,2023-03-06 15:59:10,关于韩露如果真的是坐台小姐应不应该被挖出来这件事，开篇魏平安和墓地经理吵架已经给了创作者的表态。魏平安质问祁经理：坐台小姐怎么了，埋咱这的人不让有道德瑕疵？别老模糊重点了吧？真不知道是看不懂还是看不见。,40,9611
西楼尘,2022-12-19 00:31:47,腿上的胎记是女孩的软肋，乌有的传言是掘墓的铁铲。裤脚向下一寸遮不住审美的霸凌，棺椁移走一格破不掉信息的茧房。这时代多得是为流量胡说的嘴，因谣言蒙蔽的眼，却鲜有不凉的血和求真的心。冰可乐不凉热血，总抱怨直播间没人送出烟花。前方拦路的白马为不舍的爱牵线，江面盛放的烟花祝侠义的人平安。,40,5820
六条叔叔🌈,2023-03-15 22:11:58,之前在muji打工，遇到一个爸爸，一口气买了47支笔，开了发票，问我能不能在发票后面给他写这些笔购买于哪里。他说，他女儿班上同学丢了一支笔，号称家里人从日本买的，国内买不到，刚好他女儿之前在muji买了支一样的，班上同学都说是她偷的，爸爸想给女儿挣个公道！抹黑一个人很简单，一张模糊的图、一条朋友圈、一句话就够了，但是要证明一个人，真的太难了！善良的人，祝你平安！,40,4388
momo,2023-03-04 23:59:28,看这个电影最大的疑问，如果韩露真的是坐台女，她死后就可以被挖坟墓吗？,30,7416
嘟嘟熊之父,2023-03-04 16:20:11,有点动人，感觉是大鹏送给柳岩的一份礼物，也是这个没有反派又处处是反派的世界所需要的，一种没什么大用的浪漫的义气。,30,3727
大奇特(Grinch),2022-12-19 15:06:41,你能看到大鹏导演确实尊重喜剧片，并受到了社会派类型片的启发。当一个严肃主题出现在喜剧中，便有了对社会现实的讽刺。英文名“post-truth”(后真相)完全概括了主题，虽然是2016年《牛津词典》才有的新词汇，却是一种在八卦圈和社交媒体早就存在的事实，电影以通俗化手段对这种现象予以善意的讽刺。本质上，网络（传谣）暴力和校园暴力没有区别，用父女线紧扣同理心，互为镜像。开场就用脏车洗白白，迅速建立起基调，戏剧起点是从流言的后果往回捋，找到根源，各阶层的吃瓜角色贯穿起谣言的两极。当你听“Tony”时，已经是“偷泥”了，在喜剧中是错位叠加误会，是听说的错位引发的误会。大鹏态度硬朗、网感十足，又从喜剧中延伸出新的温情。喜剧的内核就是悲情，大前提还是朝着一个好故事的目标努力，故事是大于喜剧的。,40,2585
Rie,2023-03-06 23:14:08,白马虽是好意象，可是坐台小姐也没有惹任何人,40,2366
yoyo侠,2023-03-06 10:30:45,立意很好，但只是浅浅摸到了边缘。一个女人要足够清白足够高尚才会被允许葬在男友旁边，本身这件事就很荒谬，通篇主角也只是为了帮她澄清谣言而奔走，从未想过女性是否可以挣脱这层枷锁。,30,3648
谋杀游戏机,2022-12-19 16:49:01,特别喜欢！大鹏的每一部都有明显进步，这部是他商业性和作者性平衡得最好的一部电影，是当下理想的“先把片子拍好看，然后也有一点表达”式电影项目。片中的嬉笑怒骂、讽刺的很多现象都让我感同身受。李雪琴和马丽的戏份最好笑，能看出每一场戏都有用心琢磨怎么能呈现得更好玩。结尾猝不及防一个暴击，放完片其他人都走了，我坐在影厅里哭了十分钟（先不剧透为什么）T T  这片剧本好、制作好，这一年过得太不容易了，需要一个释放的出口，需要开心，需要治愈。海南电影节开幕片放完，剧组还在海边放了烟花（片中有相关情节），有心了。希望那些我们想念的人都能看到。,40,1805
华盛顿樱桃树,2023-03-04 16:33:06,看完的感受就是酣畅淋漓，最后被可乐梗感动到了。大鹏真是聪明，讽刺喜剧，商业类型。亲情友情除了爱情所有情拉拉满，还有陌生人的善意与恶意，校园霸凌网红现场等等。元素之多，但放在一起和谐圆满。两个细节，乔杉修车时的背景乐是都选C，还有最后爱喝可乐的潇洒哥。蛮值得在商业层面成功的。,40,1507
胤祥,2022-12-18 18:38:39,"#4th HIIFF# 开幕片。7分。把片子当成武侠片来看就全捋顺了。无论是稍嫌不足的主角人物动机，以及有些无来由的诸多桥段，放到这个类型（而不是喜剧）里就特别通畅。全片为男主一人作配，人物形象算是立住了；女儿副线其实也只有一小半成立（父女关系是可以的，其余的也太潦草了……）。片子英文名叫”post truth""算是个亮点，视听上对社交媒体内容的运用其实可以用得更有想法一点。无法审判吃瓜群众的时候，就只能找一个肉身代表来审判，同时也就把群众责任赦免了，这角度，啧啧。另外也是头回见到“司法量刑字幕卡”之后还有重场戏的，这也算个视听语言新进展吧哈哈哈。",40,523
李博文,2023-03-11 15:55:40,怎么说呢，就是这电影如果是外国的，大鹏是白人 宋茜是黑人，放在《绿皮书》那届就坐地拿小金人了,50,4287
当ism,2023-02-24 00:44:26,结尾有扎实地被感动到，平安哥的所有坚持，伴着毛不易唱的祝你平安，让我的眼泪也一股脑儿的出来了。大鹏导演的每一部电影都是一次蜕变，每一点进步，说易行难，这次必须5星好评！,50,2454
笙,2023-03-17 18:48:35,“当你说一个女人是小姐时，不管是不是，她都已经是了。”,40,396
朝阳区妻夫木聪,2022-12-19 18:51:41,#4thHIIFF# 大鹏真的越拍越好了。从煎饼侠到缝纫机乐队再到这部，一直在诠释平凡小人物的心境。他们不是完全意义上完美的人，但都在用自己的方式去坚持捍卫着什么。魏平安这个人物的底色是有些悲凉的，有过所谓的人生“污点”，学历不高，做着一份不上不下的工作，生活的面子光鲜亮丽但里子可以随便凑合。但即便如此，他依旧会去帮助一个萍水相逢的人，去追求一个没人在乎的真相。某种程度上，这是他对抗这个世界的方式，或许执拗笨拙，但却有情有义。再次响起《都选C》这首歌，既是缅怀老友，也是旧戏新唱。就像歌词唱的，一个固执的不被世界理解的“卢瑟”，却有着自己理解这个世界的方式。所以最后那场极具情感渲染力的戏会那么动人，全世界都在笑，他却哭了，因为他总算看到了，这个世上，也有人在傻傻地理解着他。他很孤单，但他并不孤独。,40,485
seventictok,2023-03-11 00:53:54,如果坐台小姐去世了，请按照合同法(而不是贞洁)，依法deal with她的坟墓谢谢..,30,2206
黛玉,2022-12-19 00:36:31,李雪琴，天然感演员。,50,2261
张小北,2023-03-11 08:51:57,大鹏难得的是一直在进步，这一点不容易。,40,336
momo（打拳版,2023-03-11 22:56:49,就算是真的坐台小姐，坐台赚的钱全捐给福利院了，这还不高尚吗？？,50,1839
云城,2023-03-20 14:40:55,非常喜欢结尾和第一个彩蛋的设计，因为平安哥在多年前满足了韩露小小的生日愿望，韩露也在自己死后满足了平安哥一个小小的生日愿望，结尾平安哥虽然为韩露讨回了公道，但既没有去吃流量红利，又赔掉了大奔，丢掉了工作，在生日吃完蛋糕进行短暂的庆祝后，女儿跟着后爸回家，独留落寞的自己游荡在繁华的街头，他的英雄行为似乎什么都没有为自己挣得，这时收到了来自韩露的生日祝福，算是对他一路奋斗的最大肯定，同时如果平安哥在那个内蒙的夜晚放弃为韩露讨一个公道，韩露的礼物将成为平安哥内心永远过不去的一道坎，因为两人都坚持了自己的善良，才最终互相救赎,40,273
