用户名,评论时间,评论内容,评分,赞同数
辣豆腐奶盖,2022-01-09 22:09:02,坐飞机的母亲是我认识的母亲的样子。,40,384
七七,2022-01-07 21:42:39,意外地还不错，音乐很棒，最喜欢那首云后的月娘，听到码头问我会累吗，忍不住落泪。那个妈妈的素人演员真好，飞机上妈妈问儿子“你说，妈妈是不是很没用啊”，太真实了,30,207
木卫二,2022-01-16 23:24:20,有一些地方还在练手感（譬如某些闪回），但在前作基础上，开头结尾都有模有样。这一次对潮汕当下时的写实，几乎到了原样复刻打副本。大家小楼，排队洗澡，三姑六婆，邻人嘴碎…由封建守旧的原乡潮汕，与搞钱神话的特区深圳，形成两代人无法消解与面对的亲情矛盾，都在老妈怒打儿子的一幕中爆发。“外省的”所代表的，只是传统父辈无法理解和主动接收的外面世界，是大城市与坐飞机。当年轻人操盘自媒体，他们还在笃信地方戏曲与拜神卜算，换言之，当年轻人自以为的“浪漫爱情”，撞上宗族神话的母巢大本营，总会产生一些需要时间来缓冲的波折空间。原因无它，大陆四十年走得太快太快，而传统宗族那一套根深蒂固了两千年（并且在大多数历史时间内被证明是有效的）。这部电影，就是一个尝试理想化的空间。,40,163
今天也要开心鸭,2022-01-07 15:10:04,很稳的一部电影。问题不少，比如故事层面简单、转折没有说服力，强行大团圆还不如就定格在机场那场戏；有的演员始终不入戏；空镜部分有点刻意；深圳部分网络电影的质感比较重。但也有亮点，比如男主在阳台看妈妈和弟弟那场戏、男主和女主在老家走亲戚的戏、结尾去杭州的戏确实是有想法的，也拍出了极好看的、有烟火气的汕头。此外这部电影贡献了今年第一个我必须记录下来的角色，妈妈这个角色基本就跟我妈一模一样，一样有些封建，一样会自己说服自己更开放一些，有着一样的两条裙子，也一样会说出那句“我是不是很没用”......前作很多人吐槽除了潮汕话之外都太悬浮了，那这一部是明显感受到导演是用心的。,30,128
江声走,2022-01-19 11:09:25,有点惊喜。如果去台湾上映，这位潮汕妈妈值得一个金马影后提名。真的太真实了，现实里见过的闽南潮汕女人就是这样的……然后这个情节的主线也是一个真问题，身边太多这种因为媳妇是外地而被拆散的例子了。结尾确实有美化，电影嘛。,40,165
Hello_Way,2022-01-07 15:12:51,比《爸，我一定行的》好些，摄影更好，细节也做得更好了，更有电影的质感。看得出导演是港片迷，有港片情怀，某些套路/节奏/笑点像是模仿老港片的，什么地方发生什么剧情，都可以预见。剧情有些地方还是不够流畅，男主和某些配角演技有时候生硬了点，不太自然，有点尬。男女主角CP感不够，互动不够亲密，某些情节设计又挺让我费解的，女主这么优秀，一个人在深圳打拼，性格却这么温柔顺从，少了点个性的样子。男主妈妈演得更好，结尾在飞机上妈妈说“你是不是觉得妈妈很差劲”（类似这样的台词），这时候挺打动人的。融入的潮汕地区传统文化和婚育话题，挺真实的，倒是让我感到有点不适，个人也不喜欢这些东西，比如催婚，催生，婆婆教媳妇拜神，算命等等。片子的音乐，插曲，片尾曲好评，很好听，融入得还不错，里面还有王家卫《花样年华》的曲子。,30,76
Mathias,2022-01-07 21:09:11,片子的核心在于，两个主人公不同的成长环境步入婚姻是的矛盾碰撞。片子展示了很多潮汕的风俗元素，拜老爷，唱戏，人情味浓厚等等。男主的妈妈从不接受女主是外地人（沟通问题）+离异人（当地风俗加面子问题）到慢慢接受女主，女主为了讨好婆婆也学习了潮汕话，最后婆婆为了接纳女主也学习了普通话。故事线比较简单明了，拍摄成本低，剧情通俗。,30,27
小小虫,2022-01-14 22:42:15,哈哈哈哈哇我不敢嫁仁科了！,40,124
一條魚佔滿了河,2022-12-27 21:45:24,剝去潮汕文化之後，其實還是外來媳婦本地郎之類的舊式故事，不過，沒有抓馬的情節和誇張的笑料，取而代之是輕鬆溫情，而原生態演員們鬆弛的表演還給電影添上了濃濃的生活質感。可惜的是，整部電影的闔家歡性質註定了，無法深思傳統中式家庭的父母絕對話語權，無法呈現城市與鄉村之間的文化衝突，罷了罷了。,30,2
Obtson,2022-12-30 13:40:38,作为潮汕女婿，看得瞠目，味儿太对了。取走生辰八字算婚姻，三姑六婆逐个照面展览，拜神时的一二三四五，没有哪个“外省”能够跑得脱。怎么形容呢，这块粤东之土，好似一个活在上世纪大宗族时代的历史遗留飞地，它的好与不好、适与不适皆源于指针下错位的时间共振。而本片拍出了一丝共振下的颤音，还是厉害的，导演继续加油。,30,6
