用户名,评论时间,评论内容,评分,赞同数
拾得,2023-01-22 13:52:55,"一句话概括老谋子的《满江红》：

一伙人策划了一次针对奸臣的行动，筹划埋伏了几十年，主演几乎全死光……最后目的竟是：为了让奸臣带领全军背课文！！！

这种爱学习的精神让我动容。眼泪夹不住了～",30,26799
阿士匹靈,2023-01-22 11:54:39,我的五颗星星都给何大人，看完好想被何大人的扇子敲一下（bushi,50,8130
ABFITO,2023-01-22 11:50:45,"知道满江红，没想到这么红...
我这是看了个主旋律古装剧本杀啊，还是欢乐情感本...",30,18822
Phoenix,2023-01-22 11:55:13,全军复诵的时候我还在想，为什么秦桧儿对岳飞这么有感情，看到后边，哦！果然是张艺谋。,40,21082
故事的男主角,2023-02-03 22:19:29,明明就是一部小品，配不上“满江红”三个大字,10,962
哪吒男,2023-01-22 12:29:14,原来带着镣铐是可以跳舞的，原来记忆就能杀人，敌人狡诈狠毒，我们共诵一首歌即可杀他。,40,15272
ElenSila,2023-01-24 00:06:57,那个，能不能不要通过一些“亡国歌女”来透出一些…..,30,5266
-却不及,2023-01-22 16:38:12,我们为什么要记住诗词。,40,9936
伸懒腰是正经事,2023-01-23 02:20:19,九十分钟能讲完的事演了三小时，反转安排了很多但都很无聊，加上最后的全体背书。。。,30,4544
yyh,2023-01-23 16:32:33,可能不少人觉得最后朗诵满江红太煽情，可是在这个越来越逐利的时代，我愿意相信这样的浪漫英雄主义，至少是这两个半小时我想相信,40,5829
HarperDie,2023-01-22 11:44:12,“三十功名尘与土，八千里路云和月。”这不就是张导至今35年导演生涯的真实写照？他依旧在题材、手法、剧作上寻求变化。在意之人，定将铭记于心。反之，则嗤之以鼻。历史终究会烙下某种评断，无论好坏，是否清晰明确，消失难道不也是存在最好的印证？千玺很幸运，在最好的年华，能演到孙钧这样的好角色。,40,9799
最喜欢夏天,2023-01-28 23:23:25,如果令我感到不适，那就是真的不适。21世纪了，还需要挽救风尘女子而她守贞如玉贞洁比死亡更重要的桥段吗。,20,3474
青池君,2023-01-26 12:56:36,国产电影把全球刺客🥷的格局都打开了…不索命只要对方背诗😂,40,2338
June,2023-02-03 08:07:01,玷污女性那段属实让人一点生理不适了，好像女性的大义就体现在被人玷污而不屈服这一点上,30,1043
Leo哥,2023-01-22 11:42:32,雷佳音最后的表演多给一星，确实知道这剧有多处反转，但是最后的结局让我感受到格局，国师还是功力深，可细品,40,5628
罅昶,2023-01-22 11:50:11,听到“我没什么背景 是靠自己努力”发出兔年第一声爆笑 大家演技都在线 新女演员也挺惊艳的,40,3917
欢颜如炼,2023-01-22 14:10:43,"太多反转了，不是不让反转，好的反转让观者：殴豁，牛皮。坏得反转：这TM也行？
镜头太多重复的，两个人并排在窄巷子里奔，正拍侧拍，配上突如其来吓死人的山西戏曲，好多次，视觉疲劳。三分给雷佳音沈腾",30,3275
嘟嘟熊之父,2023-01-22 11:42:19,"饶有趣味的空间结构：深宅大院，窄巷高瓴，用简洁的建筑线条勾勒出一座迷宫（牢狱），间间密不透风，又处处匿影藏形；当场景转向门外待命的千军万马，又如辟出一条被风穿堂的活路，命数已尽，壮志必酬。

情节的强度与反转无关，而是人物的台词、眼神、表情、动作本身被组合成一幕幕追逐，融合了机锋、幽默、悬念、热血、嘲讽，表演伪装和真情流露也被揉作一团，当幕间曲响起如摇滚/电子乐般的豫剧，时空如被瞬间打通，狂躁的宣泄，肆意的游乐。",40,4149
私享史,2023-01-23 22:59:40,"7分。二十年前张艺谋没有刺秦，我站在偏精英的立场上不认同他共情暴君；二十年后张艺谋还是没有刺秦，我站在偏民众的立场上不认同他姑息奸臣。

再回到电影构建的语境中来讨论，对于秦桧这样位高权重祸国殃民的奸臣，无论杀他能不能历史偶然地改变历史进程，都应该被（小人物张大式）快意恩仇地一刀砍死，而不做（小精英孙均式）“让你苟活着背负老百姓骂名惶惶不可终日”的臆想。

更何况最后孙均都把秦桧捆起来了，背负着含亲戚在内的六条人命，居然还是选择不杀，恕我无法接受。虽然既定史实即便在艺术表达中也不容篡改，但不杀了还是杀不了是创作者可以选择的。

想靠“功过后人评”这一套说教来告诫活着的大人物，既是一种过于理想的道德约束，也流于主观心证和相对主义的虚妄，应该是现世的法律制裁和人心向背更具威慑力才对。【仙桃金逸】",30,444
大妇女,2023-01-23 01:34:26,喜欢张译！一张古人的脸。,40,1021
盐巴,2023-01-24 00:12:04,张导的作品一如既往的让我失望。像是初学作诗时，侧重整齐押韵，却忽略了诗本身的意义。,20,3920
豆瓣在逃江湖骗子,2023-01-22 12:06:45,国师真的老了，从第五代的影像至上到一曲《满江红》的故事悬疑，很难说是商业的妥协还是在影像故事抉择之中的回归，但我觉得这部《满江红》道尽了一个老人，一个老电影艺术家的“精忠报国”，疫情三年中国电影业的萧条、困顿、失落，国师在今时用一首《满江红》高唱“待从头、收拾旧山河，朝天阙”，高歌“臣子恨，何时灭”，对着后辈年轻的电影人高歌“莫等闲，白了少年头，空悲切”！老一辈或许会背负骂名（向商业投降）而离去，但新一代将背负希望远行！这是一个老人送给中国电影的诗歌，是一部属于中国的《阿涅斯论瓦尔达》，无疑也是一部关于中国电影的中国电影，也是，有些东西无关生死，那就是传唱千古的文艺。,50,10188
辉夜姬,2023-01-23 06:21:27,喜剧的形式或许是对历史的戏谑，既然如此，末了突然的认真，细想就让人觉得味道不对，情绪太直给太单一，缺少了解构的玩味空间。在人人自危各怀鬼胎的宫院里苟且偷生，棋子草芥也要纵横穿梭来追逐时间，嬉笑怒骂回应必死的命运，又或许还有比生命更加重要的东西。满江红，是杀伐果决的红眼，是血流成河的惨烈，是暗红的血性不露声色，是怒发冲冠的英雄们不留名字。本身是各种张艺谋标志元素的大杂烩，作为贺岁片已经算超额完成任务。摄影非常失望，部分画面甚至感觉在看电视电影，是城府之间的一次次疾走和怪有意思的电子戏曲配乐维系着电影感的存在，也反映出导演的玩耍心态。结尾联想到课文背后历史的厚度止不住流下眼泪，但同时又感觉数百官兵齐诵《满江红》的画面有一种意淫的尴尬和荒诞，大张旗鼓的煽情是最平庸的“升华”。,30,847
可乐猫,2023-01-22 14:05:16,像是一个大杂烩的电影，四字表演真的演啥都一个样,20,3115
西楼尘,2023-01-23 14:05:00,深宅人人求生渴求一封密信保命，江湖人人求死换取一篇遗言复诵。大族宅邸满墙媾和之约，风波亭内名将临终喟叹，皆被剐了干净。有的字句成为免死金牌，有的诗词成为午夜梦魇。笼里的军鸽色若乌鸦，砚下的白纸写满谎言，背上的刺字状如死誓，手心的樱桃堪比赌约。赌一场前仆后继的局，换一曲传世满江红。,40,598
ililevi,2023-01-25 21:12:32,要是最后孙均没有反水，那将是绝杀,40,803
陀螺凡达可,2023-01-22 21:17:52,姜还是老的辣。两个半小时的大型封闭空间中，每一场戏就像一个独立的舞台，期间用宣泄式的唱段转场过度，但这形式感又巧妙消解在了剑拔弩张的人物关系和悬念重重的人心之中。整个空间及爬行其中的蝼蚁犹如一场隐喻，无论为谁效命，藏着什么目的，试图保护着什么，到最后注定皆是牺牲品，但又不是悲剧，也不是鸡血，最终竟化成了浪漫。另外不得不说几个喜剧演员用得非常好，浮夸虚假的、狡诈阴险的、秘不可测的，虽都是喜剧表演，却因演员特质带出了不同角色个性。,40,464
宋小卡,2023-01-22 15:15:07,"众所周知，全球顶级电影大师，都是在70 岁后迎来创作新巅峰，比如伍迪艾伦，雷德利斯科特，伊斯特伍德甚至斯皮尔伯格……目测我国师最近 2 年也进入了 70+高能通道，《满江红》真的是集自己导演生涯之大成，甚至可以说是多次自己致敬自己哈哈哈，直接干出一个 悬疑爱国主义喜剧 新类型。
演员全员演技炸裂，沈腾雷佳音张译岳云鹏都绝了，易烊千玺又塑造了一个全新角色，简直新生代演员之光。
首映场我身后观众全程大声爆笑，结尾多次鼓掌，结束回头发现他们是:左凌峰王皓张唯伊阿奇与阿诚……等。
大胆预测，今年过完春节，全国人民都会全文背诵《满江红》！",50,9223
R4n9。,2023-01-24 22:01:06,刚开始以为红的是血，看到一半发现红的原来是樱桃，但到结束才醒悟真正红的是心。,50,3729
同志亦凡人中文站,2023-01-26 15:30:32,刺秦是表怀岳是里。这个古装版“风声”有点为反转而反转的意思了，但国师年逾古稀还有这么旺盛的创作欲rio厉害，而且题材还不带重样的。层层青壁构建的空间感不输给早期的大红灯笼，就是那些自以为是的幽默大可不必...,30,334
赫恩曼尼,2023-01-25 21:07:26,可以看出老谋子还是想表达一些东西的，比如：历史是如何被书写的，名不见经传的小人物是怎样在夹缝中求生存的，个人的力量能在多大程度上改写历史走向，捍卫集体记忆常常需要以生命为代价，以及人性是复杂多变的。然而这些东西被花里胡哨的反转、刻意为之的喜剧包袱埋得严严实实，一如既往塞得满满当当，丝毫不留余地。看到最后全军复诵、小女孩抱着石狮子，差点儿以为下一秒奥运会就要开始了……,40,382
kim899,2023-01-22 11:44:08,大师多多拍电影吧，爱惨了这个故事，搞笑之后狠狠被感动了，真的很厉害。沈腾也很给力！！！,50,7794
欢乐分裂,2023-01-25 15:56:09,"成也反转败也反转，反转犹如一部好用的永动机，练手《悬崖之上》之后继续升级，以往作品大集合+类型大乱炖的基础上，源发于一个架空概念的疯狂猜谜机器产生了，它永不停歇（是的结尾你还可以反下去），无需讲究常规逻辑和人心变化，只要在观众脑海中兴起接近“思考”的漩涡就能赢得爽感，从现场反应来看无疑是成功的；估计也是春节档对观众最友好的一部——借人物之口捋得清楚明白，然而悬疑氛围也大打折扣。

个人观感不能称之为“电影”，而是春晚小品集锦（大量篇幅花在群口相声上，倍感煎熬），人物不断被添加本身就是偷懒做法——人工痕迹的叙事盘扩充，而非剧情本身产生的戏剧力；最终诉求（人海战术的自我感动）与表现形式（戏谑与庄重的奇特混合、戏曲转场）呈现断裂，于是会产生非常古怪的叙事节奏体感。",20,629
山芋,2023-02-06 07:59:14,有匠气没灵气，有演技没真情,30,291
心眼刀,2023-01-26 09:58:09,张译和舞姬进屋审沈腾我就知道张译要被反杀，一点悬念都没。,30,689
西西子,2023-01-23 17:02:41,好喜欢最后的结局！但是张大和瑶琴那段不喜欢，很尴尬,50,2212
桃花鱼,2023-02-08 20:37:05,为赋新词强说愁,30,278
曦曦,2023-01-22 11:42:03,国师的电影质量我一直不担心，这次更是给了我惊喜！今天算是二刷了，因为之前首映礼看过一次，全员演技在线，剧情更是反转反转再反转，很刺激，有泪点也有笑点，非常适合春节档！！另外不得不说易烊千玺演技又进步了，台词也好，尤其是最后那几个镜头那几个眼神真的很牛逼！当时首映礼观众全呼孙均牛逼！！还有一点，大家有注意到吗？满江红的配乐也很让人惊喜,50,7802
加州拉面,2023-01-25 19:11:49,国师就是国师，最后整得跟奥运会开幕似的！,40,434
惊蓬,2023-01-22 22:53:40,是近几年老谋子持续稳定地输出里看得最舒服的作品。值得欣赏演技，但不值得盘故事逻辑。两星张译，一星雷佳音。王佳怡是美的入戏的，可恕我不能接受对女性角色定位以及男女人物关系的刻画。,30,766
土土老师傅,2023-01-29 22:49:09,杀了可以，别糟蹋她！Excuse me？,30,579
Wooooow,2023-01-25 11:14:40,雷佳音值得一个最佳男配…,40,458
加菲猫,2023-01-22 14:12:01,感觉易烊千玺都可以代表整个内娱青年演员了，进步的也太快了，台词方面也是稳重的不像话 。,50,2558
沁七七,2023-01-23 11:41:30,除了真假秦桧，其余的反转，并不感觉意外。不喜欢转场的bgm，让我有些跳戏。不知道是为了营造喜剧的点，特意找了两位喜剧演员，还是如何，喜剧元素在电影里略刻意。整体还是值得一看的。,40,677
HAL,2023-01-22 13:25:41,张艺谋x开心麻花，剧本杀电影，概念好，戏一般，反转略硬，也不太自然，但应该近几年国师商业性最强的电影。喜剧，悬疑，粉圈，家国情怀，面面俱到，这公约数取得可以。喜剧部分挺俗，但没有三枪的本山大舞台俗，还算能接受。可怜易烊千玺，比不过沈腾张译就罢了，雷佳音戏份少没法比，可是连岳云鹏都比不过真说不过去，跟木头桩子一样，只能说一句德不配位必有后罪吧。结尾挺国师的，重现了他在奥运的小设计，算是行活中的一个小亮点吧。,40,756
青婉黎,2023-01-29 22:53:57,就是一乐 但是不尊重历史 不配拍岳飞的相关事件 不配叫满江红,10,975
酒壶小,2023-01-22 14:16:38,不难看，就是太满了，无论反转108次所以显得很刻意的结构，还是后半段出现太多次的强行上价值毫无留白的台词。有一些未解之谜亟待解开：1.瑶琴的口红啥牌子怎么一天一宿不褪色？2.沈腾的演技到底比其他所有人绑一块儿好多少？3.豫剧比故事高三个还是五个档次？,30,839
co-neno,2023-01-24 00:07:01,要是能在张大死那里结束就好了，后面都是孙均编的影的翻拍。,30,547
袁长庚,2023-01-25 23:05:07,当然，有很多批评工具可以在此使用，但是置身历史之内，还是会被一个单纯到近乎痴傻的童话触动：杀几个坏人，爱几个爱人，舍生死明大义做无关乎眼前富贵的蠢事，并且，相信一首诗。,40,183
豆友211775620,2023-01-25 14:19:24,不喜欢，全程冷漠脸，无笑点，尬到睡着。,20,1958
靴子中的猫,2023-01-29 07:43:21,蛰伏数年，牺牲多人，就为了让秦桧背诗？,20,883
death,2023-01-25 22:43:07,让张震来呀,30,217
马二,2023-01-25 04:41:10,"本质上来说，这是一部《大山的女儿》《任长霞》般的传记剧，观众或为之泪流，但感动他们的不是作品本身，而是原型人物的伟大。
张艺谋俗了，俗得彻底。不知道七十岁的他梦回昨日，是否能看到三十岁的他在冷笑。",30,497
MR.二七一四九,2023-01-25 21:12:15,宋朝人记性真好,40,361
momo,2023-01-23 13:44:03,别名《奔跑吧兄弟》,40,702
乌鸦火堂,2023-01-23 17:21:45,"是好片子，但作为看过原剧本的来说，成片效果最多3.5星。

原剧本没有任何喜剧元素，是个阴冷的密室杀人+政治惊悚故事。喜剧是后加入的，导致喜剧与悬疑就是两张皮，删了喜剧非但不影响剧情还能加快故事节奏。由于是后来者，喜剧空间也有限，就是演员效果，以及辈分互换的反差笑料（剧本里张大是孙均的舅舅），差异有多大？除了千玺和张译，其他角色风格跟原初都不一样。

为了迎合市场，也是张艺谋的妥协（为了换取磐石的公映？），但电影基本盘还是优秀，国师极力把控两种风格的平衡。在高度威慑机器的笼罩之下，所有人如履薄冰，而此时被赋予的权力，可以成为活命的道具，也可以死亡的催命符。

所以该片在“政治惊悚”层面上的深度，要比悬念营造完成度更高，有点韩国同类电影的味道了。",30,81
己注销,2023-01-25 06:01:34,"7分
道理我都懂，但想不明白为什么要用那么复杂的嵌套讲一个这么浅白的故事。
两场爱情戏尬得哟～最后十分钟的真假勉强加了一点分。",30,470
遇见未知的自己,2023-01-22 14:25:05,四字最后和雷佳音对戏那段他真的好到爆炸了，他所有的戏份都轻松拿捏，非常自然，结局真的燃炸了，反转又反转，说真的孙均这个角色需要他自己的灵性，也要有他那独一份的“孤”，四字演的很棒，,50,4320
麻酱.,2023-01-24 15:14:13,一个70岁的人还能随着自己的心意，去大胆尝试最新鲜的东西，是人生一大幸运，国师就是国师，牛逼说倦了。好多人才2、30岁，对不符合自己心意的东西反感排挤的那叫一个令人惊叹，明明在最年轻的年纪，活得封闭又狭隘，了无生机。,50,726
可爱蓉蓉,2023-01-22 11:45:51,这几年国师的作品真的都很可啊，这剧情反转太刺激了，千玺弟弟这演技又进一步了，这个很复杂的角色拿捏地太细节了，腾叔小岳岳张译大头也一个比一个有看头，还没去看的可以冲了,50,5531
Huxley,2023-01-22 11:43:19,小楼上的那段吹爆，孙均，少年将军，热血难凉！,50,4559
弋,2023-01-25 04:57:09,理智看满江红约等于流浪地球2的质量，但感性上我偏向于这部，张艺谋创造了这类型片中剧情张力最好的一部电影。雷佳音和易洋千玺，沈腾贡献了各自影史最好的演技（四字一部分得益于这个角色的性格）。当听到全军背诵满江红时，哪个中国人能不满含热泪，“三十功名尘与土，八千里路云和月”，结构与影非常类似（我特别喜欢影这部电影，感觉是完全低估了），质感上有所差异，剧情上有所弥补过失。想到这又想说，中国教育如果都能以文化输出作为载体，创造出这样一个又一个有趣又保有内涵的电影，谁能记不下唐诗宋词？,50,513
LEON,2023-01-22 17:32:53,最后有点垮，应该是为了，整体还行,40,704
frozenmoon,2023-01-22 18:07:55,1.从类型上讲，玩成这样已经很好了，故意的反转不让人觉得刻意，一层一层的铺垫和剥落也都踩在实处。2.前三分之二的剪辑，一幕一幕间的起承转合的节奏有一点奇怪，不知道出于什么原因，接得太紧。3.可解读可玩味的当然很多，也就不必解读了。从此有了《满江红》，那几千人杀不了了。这结尾的悲壮也没流俗于煽情。这电影的优点在于收束，而不是铺张，本分地做一个纯类型故事。4.说过很多次，张艺谋是被误解最多的导演，他靠时间和新片去打扫那些误解，而不是依靠解释去打扫。,40,202
黄青蕉,2023-01-23 22:32:54,这要是个剧本杀倒是非常优秀的产品，每一个小节设计都是为了强行制造出乎意料，再悲壮的死局都要从头俏皮到尾，一种过剩的服务精神，务必确保每个玩家有笑有泪满足好评。这么看漏洞百出好像也不太重要了，很明显人家追求的就是体验感大于合理性,40,129
橘月一十八,2023-01-27 22:38:05,为了刻意弘扬家国情怀，搞得毫无逻辑可言。不是不喜欢爱国影片，只是想要恰到好处的，自然而然的。最后士兵一齐念诗的场景，只感到了尴尬。,30,320
科林,2023-01-23 02:21:36,"花火樱桃红玛瑙，烛光矛须大红袍。鲜血艳唇花发簪，青绿迷宫藏黑鸟。
国师之集大成，色彩一如既往古韵又革新（《红高粱》《大红灯笼高高挂》），陕西民歌激昂咏唱（《活着》），商女不知亡国恨（《金陵十三钗》），行刺（《英雄》），替身（《影》），化繁为简同步叙事以小博大（《狙击手》），延续《三枪》喜剧悬疑惊悚，及从《十面埋伏》始至《悬崖之上》几近部部作品均在修炼的内奸反间碟中谍，外加恰如其分的选角（雷佳音演技狂飙），观感精妙入神！",50,963
Bootmgr,2023-02-04 23:08:41,真就动不动就砍一刀 你以为你丫拼多多呢,20,558
Stefanie,2023-01-28 08:43:43,1.何立死的太降智了，2.为什么不杀秦桧？3.多次强行制造反转和冲突,20,832
全职丘比特,2023-01-29 05:11:53,"家国情怀下反复提及的“女人守节”让人很割裂。
这片子里的女性“角色”跟好莱坞电影的亚裔一样，只是一个符号。
还有这吹上天的反转就一点儿铺垫不给硬转啊。",30,309
谁在嘲讽我,2023-01-25 04:31:47,一首《满江红》比放过一个秦桧还重要。其实可以等价替换为精神与理想的传承比除掉眼前肮脏的龌龊重要，思考了很久很久，总是没有答案。,40,221
kangkang,2023-02-03 21:16:21,反转太多，音乐太响。,40,85
Charles,2023-01-23 00:53:14,戏剧化的东西，过于戏剧化了。给人一种某个角色的死就是被编剧写死的感觉。,30,572
米开浪基•洛,2023-02-03 02:07:29,"反转是挺多的。不过岳云鹏还是太出戏，雷佳音的秦桧也有点莫名其妙…
整部电影感觉像个情景剧或者舞台剧。总有故弄玄虚的感觉。
配乐很失败，想表达紧迫动之感？需要这样突然的一惊一乍吗？声音总是突然性那么大声，搞笑成分不足，卖弄感很强。",30,113
