用户名,评论时间,评论内容,评分,赞同数
空山,2022-02-01 10:46:47,超出预期，非常标准且体面的商业喜剧片，没走下三路、不靠屎尿屁。龙套演员被骗去黑帮演杀手，很有《喜剧之王》的味道。全片把“跨频道聊天”的错位感发挥到了极致，迷影梗玩得也溜，甚至挑战了《雨中曲》，但没露怯，好看。最欣慰的是，不强上价值，几乎所有的哭点、燃点，都丝滑地落回于笑点。这是喜剧片的素养。中国人这一年过得太苦了，看的哭片也太多了，拜托多来点这样的喜剧片行吗？单方面宣布，哭片不许进春节档！,30,11762
樹,2022-02-01 23:11:33,开心麻花的戏，你要说好看吧，看后又记不住任何，你要说不好看吧，毕竟你也跟着笑了。就像吃了安眠药，做了很多梦，醒来一个也记不住，可是钱却花了。,30,9489
Lauren,2022-02-01 11:28:42,有的情节是真的尴尬，电影的有一些镜头可以很明显的看出是借鉴了哪些经典镜头，但演员的精神让人很是佩服，他是真的很珍惜这个男主角的机会，很用心的在表演,30,6309
已注销,2022-02-01 10:46:17,不装了，我摊牌了，我觉得比原作好笑,40,7025
豆瓣路人己,2022-02-01 10:25:38,比电影还尴尬的是，大概是把三谷幸喜拍得那么段子吧。好笑不代表好,20,1824
周宇勋,2022-02-01 10:10:27,走出影厅时，恰逢隔壁厅的《奇迹笨小孩》同时散场。看着他们湿润的眼眶，听着他们三三两两、不绝于耳的赞叹声，我感觉我肠子都要的悔青了。（《这个杀手不太冷静》+《李茂换太子》，这哥俩儿真是用实力证明了「谐音梗必摆烂」这句话的可信度与准确性）,10,1953
朝阳区妻夫木聪,2022-02-01 10:55:39,因为是翻拍，原版又实在太出众，抱着不太高的预期进来，没想到看完倒觉得还不错。在我看来原作的好建立在两方面，一是对电影诚挚的爱，二是通过荒诞来解构这种身份错位制造的冲突。这一版节奏更紧凑，加强了喜剧感。同时在演员魏翔和“演员”卡尔之间形成一种身份的互文，放大了这种“未知生活”中的“已知”。没有剧本的演出，所有人陪你胡闹只有你蒙在鼓里，甚至不知道演下去结局会如何，这些都是“未知”。但是作为自己这出戏的主角，无论是否有观众都尽力演好每一个角色，甚至要以一个不算完美但也善始善终的ending pose谢幕，这些都是“已知”。在我看来，人生的很多事情都是靠着这一丢丢执念，在努力抓住这一点“未知”中的“已知”。细细一想，这其实是这部喜剧里伤感的地方，也是原作里没太拍出来的部分。,30,2474
拥挤的乐园,2022-02-01 10:08:26,在看，感觉前半段逻辑就有问题，节奏掌控不到位，故事推进莫名其妙，远逊麻花人马的其他电影。加一星主要是希望魏翔这样演员能推陈出新，也比较喜欢本片的艺术风格,30,1565
冷水浴缸,2022-02-01 10:40:05,去年就听说试映反馈很好，原版盛名下本有担忧依然被翻拍优化程度惊喜。改编删繁就简把中段不好笑也不走心的两男争一女无法做戏的情感支线删去，重点放在令人信服的励志主题上，完全弥补。本身喜剧技法足够优秀，笑点精准控制，如此导致无废戏，让好笑的地方更好笑，通俗简单有效。这群喜剧演员演三谷幸喜舞台式电影再合适不过。原片名指夕阳西下自然光就能拍得很好看的摄影词汇，而这版将不冷静的杀手置于“善用自然光隐藏摄影机”的戏剧冲突里爆发高能笑料，惊声尖笑中从《教父》致敬到《雨中曲》从昆汀调侃到一众港片，一出纯正的摄影机不能停式的元电影和迷影文化喜剧。而最电影的还是，一直演配角的演员首次演主角，演的恰好就是从未演过主角的演员被骗去演主角的故事，有着和去年《你好，李焕英》一样穿透银幕的感动，虚构不过现实，现实不过虚构。,40,3792
汽车维修员,2022-02-01 12:30:54,伟大的喜剧其实都是悲剧，这部剧只能说是无聊剧,20,734
朝阳区陆依萍,2022-02-01 13:52:33,虽然我无比讨厌开心麻花，但相比韩寒的恶心程度，这部电影至少让我开心一些～#大过年的，就不要添堵了,30,922
壹安²,2022-02-01 12:40:56,又让喜剧片给整哭了，当魏翔说出“这是我第一部男主角”的时候，那种心酸我想所有的喜剧人都能体会吧！,40,3371
nil,2022-02-01 10:08:15,基于改编及片名等第一印象，这部电影是属于“真香”系列。魏翔和魏成功都迎来了自己第一个虽迟但到的男一号，值得那句“好饭不怕晚”。不是段子梗喜剧，观众要跟着节奏来收一个个包袱，这才是我喜欢的喜剧类型,40,3459
落叶村,2022-02-01 10:12:02,很想多给魏翔一颗星，但是电影后面实在是有些垮,30,784
骑羊的兔哥,2022-02-09 13:28:35,如此垃圾的电影，没一点逻辑，纯粹是为搞笑而搞笑，问题是好笑吗？,20,256
清欢,2022-02-01 12:32:53,"我摊牌了，我不装了，我觉得就是春节档黑马！

很好看很好笑！煽情也恰到好处完全不尴尬！是那种又有笑点仔细想想又很辛酸的荒诞电影。
魏翔三次舔刀那里全电影院都笑没气了。马丽这样丰腴的样子倒蛮适合这个扮相，太美了。",50,4225
frozenmoon,2022-02-01 17:21:15,喜欢电影的看看有趣的小梗，纯粹看喜剧的到处都是小笑点。节奏不错，很考验演技，而且演技也经受住了考验。最重要的是，这电影明白自己的功能，没想教育任何人。让人放松地进入，放松地离开。,30,319
写大俗人,2022-02-02 04:19:03,中途退场了，太痛苦了,20,377
又双叒叕,2022-02-03 19:10:39,春节档图个乐，这要是放在了别的档期就是个烂片无疑,30,307
