用户名,评论时间,评论内容,评分,赞同数
连城易脆,2023-04-07 12:43:11,"今天是成龙69岁的生日，有这样一部致敬香港龙虎武师的电影上映确实意义非凡。想来，成龙算是我观影生涯里看过作品最多的电影人了，也是我学生时代最喜欢的动作武打明星。

看到片中很多大哥过去的影像作品混剪，确实很感慨，如果我没记错的话，我第一次去影院看电影好像就是我父亲抱着我看《我是谁》，票价只有5块钱，是礼堂式的电影院，一转眼都二十多年了，更不可思议的是，我竟然就在2天前《龙马精神》点映亲眼见到了大哥，站在大哥身后完成大合影。

这部电影可以说浓缩了成龙的大半生，如果从小就看成龙电影长大的影迷估计都会很触动吧，最近昆汀和伊斯特伍德都公布了自己生涯的最后一部电影计划，但是我希望成龙可以一直拍下去，甚至可以重新为动作喜剧找到新的表达方式。",40,506
得嘞,2023-04-07 22:50:32,如果，只有一龙一马的故事，会更有精神吧,30,772
大上海红牡丹,2023-04-07 12:20:29,"成龙现实对女儿那么绝情，电影里又一往情深。致敬自己的同时还不忘洗白和小龙女的""父女情""，刘浩存知道自己演的谁吗！",20,2449
周宇勋,2023-04-07 12:50:24,不可否认成龙大哥的敬业精神，只是看到他装模作样演着父女情深的桥段，怎么演怎么跳戏。不知现实中被大哥不闻不问的「小龙女」看到影片中父亲与刘浩存「感人至深」的羁绊时会作何感想？反正我挺想吐的。。（电影想靠各路喜剧咖的堆叠与卖弄「龙虎武师」的回忆杀吸引眼球，结果不仅笑点全崩，连情怀都毫无共情，假的一批。。）（杨子+成龙+少班主的组合本来也是个烂片标配，有期待是我的错！）,20,1284
奥特曼,2023-04-07 12:40:56,刚看完出来，和想象中一样好难看，真的早就不欠成龙电影票了，也求你别再忽悠观众了。,10,1458
淡蛋蛋淡,2023-04-07 12:51:26,奥斯卡终身成就奖除了表彰大哥以前的辛苦和贡献，也是让他别再拍了，想打就打给自己看，咱就行行好，别让观众买单了。,10,1254
春風的異邦人,2023-04-07 12:41:38,"存子就是接了太多沙文主义导演的沙文主义故事里基于沙文主义叙事目的而存在的功能性女性角色，才导致她永远困在「假」的藩篱之中，因为这些角色本来就不真啊。要是真想达成父女的双向治愈，有什么理由不把女儿设置成律师，而是要让女婿来完成这个任务？让父亲认可了女婿、让女儿认可了父亲，女儿自身呢？女儿只会承认自己年少叛逆，甜甜地说一句爸爸你好厉害，我第一次知道有爸爸保护是什么感觉。
吴京客串的角色对成龙说“兄弟们你都罩着，有苦你从来不说”，真的吗？不是都花一整部电影来说了吗？",20,644
似越,2023-04-07 12:49:14,看的是超前点映 都说戏如人生 看电影的时候 数次被成龙于马儿于女儿的情感感动到落泪 but戏外成龙是如何处理小龙女事件的大众都知道 对照现实又觉得有些许讽刺 刘浩存怎么哪儿都有你 厌恶至极！最后还是要向那些曾经为电影事业一直默默付出的人们致敬。,30,456
奥特曼,2023-04-07 13:51:10,成龙的印第安造型秒回《我是谁》，在片场大哥看的是《新警察故事》剧本、还有拍摄《龙兄虎弟》时最严重的一次受伤，以及蒙太奇闪回的不用替身动作画面…这部就像刘德华的歌曲”十七岁“一样，属于成龙对自己演员生涯的一次回顾与情怀致敬。“不真摔，观众看什么…致敬就要像以前一模一样：来真的！” 做这件事是择一世、终一生的选择，他们的时代永远没有过去。,40,371
玩儿少,2023-04-07 17:18:40,又名《忠马赤兔物语》，这片子主打的就是感情牌、煽情戏，父女的感情戏、人马的感情戏…如果能在龙虎武师的精神上、对龙叔实拍动作戏的敬业的致敬上多下功夫，会提高不止一个档次。,30,92
初商月,2023-04-07 12:22:25,从小学看大哥的电影一直到成为社畜，竟然一直都在打也是相当不容易了，喜欢片中穿插的成龙过往作品镜头，让人回味起以前抱着碟片不撒手的时候了，是爽的,50,316
壹安²,2023-04-07 13:07:45,我又TM看哭了，你这让每一个看成龙电影长大的孩子哪有不哭的！,40,257
健忘的煤柱,2023-04-07 16:57:08,"3.5，成龙ip大联欢，其实有很多可玩的点，但剧本有点拉……考虑到大哥一把岁数还在打值一个4分

但是该死啊眼泪为什么停不住……为什么把真实的武师故事插到这么怪的剧本……",30,40
南开区演员黄渤,2023-04-07 12:46:08,女儿对父亲这么多年怨念这么深，一笔带过就和解了，恰恰说明他对小龙女的感情空白，太想当然太假了！,10,965
磕学家🥺,2023-04-07 12:08:22,赤兔和成龙的打戏好评，如果仅仅只是一个功夫喜剧片我绝对五星，偏偏导演想不开要加什么乱七八糟、自认为煽情的亲情戏，搞得不伦不类。最想骂的就是含存量过高，咱就是直接一个快跑！！！抛去其他的不说，究竟是谁教lhc这么做作的演戏和讲话的?还说像章子怡，人章子怡演戏的时候身上那种孤傲与坚韧劲哪有这么装?,20,593
正在输入···,2023-04-07 12:19:54,龙虎武师管马什么事儿？最后的片长我还以为龙叔要跳下去致敬，谁承想，自己成了自己之前讨厌的样子，什么致敬？什么精神？没钱的时候谈致敬，没钱的时候谈精神，太可惜了。我说完心里也有些隐隐作痛的呢。🐶,20,550
见与不见,2023-04-08 17:09:14,剧情无聊，成龙怀旧多了就尬，父女戏也平淡，但马的表演一流,30,53
谋杀游戏机,2023-04-07 12:22:10,与之前的纪录片《龙虎武师》形成娱乐商业片层面的映照，不约而同重现了诸多影史动作戏名场面，像成龙说的，这不是关于他一个人的电影，而是致敬曾经所有的龙虎武师。也许在今天的年轻观众看来，他们的玩命不可理解也没有必要，但当年正是靠他们拿命去拼，才拼出了香港功夫片的辉煌年代。成龙马上70岁了，那个年代再也不会回来了，这部电影算是一个喜感+伤感的作结吧。赤兔好漂亮，表演也很丰富，驯马师厉害。,40,284
章子怡,2023-04-07 12:14:09,大哥老了，但还是你大哥！,40,293
小艮,2023-04-07 13:56:45,作为动作片迷，数度哽咽、落泪。老罗戴帽子致敬《奇迹》；印第安人造型致敬《我是谁》；误闯入舞台帮助孩子们练翻跟斗又呼应七小福练功经历；成龙属马，在《上海正午》时与马有过很多对手戏，所以用马作为关键元素来“重现”他作为龙虎武师时所经历的种种酸甜苦辣。本片虽然在剧本上不算规整严密，但喜剧段落与情感戏也是奏效的，而且情怀满溢。看得挺满足的。,40,245
小彬彬,2023-04-07 21:04:23,"如坐针毡，如芒刺背，如鲠在喉。
这是听到这三如后，第一次在电影院感受。
幸亏是没花钱，我谢谢你，淘票票三百积分。",10,610
momo天使,2023-04-07 13:15:16,看过最难看的一部电影没有之一，刘浩存的演技还能再烂点吗？？成龙大哥也只能卖情怀了，剧本稀烂！！！,10,353
居无间,2023-04-07 13:57:06,父女线突兀。人与马的戏挺不错的，而且非常催泪。从立意看，赤兔被移交应该是更合理的结局，因为它本就是新时代龙虎武师的喻体。影片里的台词、美术等元素，对成龙的经历多有指涉。期待能有一部更加纯粹的、致敬成龙职业生涯的情怀大片。,30,11
卡夫卡的小屋,2023-04-07 12:13:34,不仅在讲老罗也是在讲成龙这六十年的电影人生，那些用自己血汗泪拼搏出来的片段在电影中展现的时候，真的很感动,40,237
方枪枪,2023-04-11 16:58:44,成龙致敬自己的电影，从龙虎武师群体着手，也有很多成龙经典电影的桥段和表达。但故事线有点太纷杂，赤兔纠纷，父女感情，以及和女婿之间的情节等等，杂乱显得无章，而且很大问题就是父女之间关系的和解总是莫名其妙，以及成龙饰演的父亲过于自我，会让观众不太喜欢吧。,30,4
呼噜呼噜,2023-04-07 13:42:03,看到是成龙大哥的电影第一时间就去影院看了，总体来说还是ok的，有笑有泪，龙虎武师了不起！,50,179
凯文·史派东,2023-04-07 12:15:30,我的天啊‼️郎月婷都演刘浩存的妈了，为啥俩人只要在一块儿，刘浩存的头就小了一圈儿，缩头术笑死我了。,20,179
罗里吧嗦,2023-04-07 13:44:13,有种青春回归的感觉，电影里有很多彩蛋和致敬的镜头，印象很深的就是老罗让乃华练扎马步，这不是醉拳吗23333,40,138
银敏悲,2023-04-07 12:30:44,成龙的粉丝电影，也就结尾煽情了一把，前边都是瞎胡闹，根本就不像电影，大哥真的有认真反思自己为啥从最好变最烂吗？,20,180
申报记者何书桓,2023-04-07 12:26:41,别的不说，什么样的家庭实习生和大三生就开上了路虎，不能因为赞助商是路虎就全片都是路虎吧。母亲不在了，女儿也不和父亲来往，那请问她的经济来源是什么，电影也不交代，很多桥段都太过儿戏。,20,152
青岛啤酒,2023-04-07 19:37:25,一时之间分辨不出，剧情、成龙演父女情还是存子的演技，哪个更尴尬。,20,147
托尼·王大拿,2023-04-10 09:51:19,港片曾经的辉煌与当下的式微，武行今昔的演变，香港电影人的北上，成龙自身的演艺经历，乃至横店作为“角色”所自带的解构意味，诸上元素就足以构成一部高度凝练又层次丰富的元化电影，又何必要使用那些粗糙打磨粗劣执行的情感戏？看上去不过是编导自以为是的一厢情愿以及老年房仕龙的自我感动罢了。,20,20
