用户名,评论时间,评论内容,评分,赞同数
亵渎电影,2023-03-05 16:19:18,片方竟然敢点映，属于口碑见光死的那种成片质量。看预告有《寄生虫》的感觉，一座豪宅里几拨人各怀鬼胎，想着剧本还有东野圭吾的小说打底，这种密室推理的类型至少会是能看的及格商业片吧，结果严重高估了他们。编剧自作聪明改动了小说，改动的每一个步都是错的，都在破坏犯罪的逻辑合理性，加上国内审查不提倡主角动私刑搞复仇（黄渤那个怒海和王千源那个东野圭吾的彷徨也是这个原因吧），看到最后感觉智商受到了侮辱。导演干行活都有点吃力，我却在幻想他有空间调度的能力，等他去处理密室群戏，这种戏如果给到会拍的导演手里，是可以爽翻天的。这种戏要么是体现导演的能力，要么就是暴露出导演是个不懂视听的门外汉，这部属于后者了。,20,699
姨太,2023-03-08 21:43:34,好几个地方没有看懂：1，高晋为什么要把林管家的儿子送到孤儿院，以此来控制管家呢？她有啥值得控制的价值吗？2，火灾是一年前发生的，仅仅过了一年，女主就整容重生了，从一个毫无经验的小白领变成了大律师，这也就罢了，关键她那股心气儿怎么练出来的？3，管家为什么要把高晋亲儿子烧了啊？她烧了不就拿不到遗产了吗？老天爷啊谁能给我解释解释，导演这坑都不填的。还有任素汐啊你，你挑剧本能不能上点心，从驴得水之后就肉眼可见你退步，你好好反思一下。,30,1209
谢谢你们的鱼,2023-03-05 15:54:58,熟悉的东野圭吾式烂故事，头重脚轻、滥情矫情、动机傻缺、悬念为零，更可笑的是用《寄生虫》的方式包装了一个《顶楼》式浮夸的狗血故事，从头到尾歇斯底里、疯狂炫视听、滥用配乐，看得人一直翻白眼。一个个演员一定以为自己演得贼好，堪称是《我就是演员》的自恋现场，全片唯一一个演技在线且自然的只有饰演民警的吴昊辰。,20,584
Jesley,2023-03-10 19:49:03,那个要有光的话重复了三遍，每一遍都看得我头皮发麻……最后还要重复一遍成为自己的光……奥特曼都没女主这么多光，服了,20,472
不脱袜子同学,2023-03-05 17:15:01,唉，一言难尽，剧和电影都不大行，说明原始版权就不太行。加上想用极低的费用制作，整体思路就有问题，看看仅靠任素汐和东野圭吾的号召力能挣多少吧。,20,335
一粒安娜,2023-03-10 21:50:12,女人呐，别为爱情冲进火里,30,427
kakakarl,2023-03-10 19:42:50,emmm，既然刘敏涛都知道儿子没在福利院死去，为什么还要给他复仇啊？！演杜宇的那个演员侯雯元好帅～瞬间墙头～,20,204
豆瓣路人己,2023-03-10 11:33:03,看，有个女孩叫小美，她来到了一座神秘的山庄……3分钟解读版本可能可以让这部电影及格,10,550
一條魚佔滿了河,2023-03-05 17:17:29,保留了小說的核心懸念，然後對故事、人物都做了較大刪改，隨之滋生出了新的bug。三幕戲三種風格，彼此打架，第一幕加入搞笑元素成了懸疑喜劇，第二幕則是略帶推理的女性復仇片，第三幕成了狗血愛情的雞湯洗白片，而且第二幕和第三幕篇幅上控制失敗，明顯身長腿短。任素汐和劉敏濤的表演算是維持了各自的平均水平，只是改編造成了任素汐角色後期心理和行為分裂，相較之下，劉敏濤的角色是相對邏輯自洽、形象完整的。,20,161
𝐴𝑙𝑜𝑛𝑠𝑜,2023-03-10 14:10:46,一部浪费演员的电影，他们尽心的表演和单薄的文本(和剧情)，给观者一种难以克服的荒诞感。随着情节的推进，这种感觉变得越发明显。结尾处的“鸡汤暖文”，由于故事难以服众，显得刻意又生硬。,20,199
猫猫祟祟,2023-03-11 23:09:30,非常小品的电影…全部的注意力都在于叶彤一年时间整完容过完司考拿到律师证还成了主办律师这件事🤔,30,286
Child1sh_Benny,2023-03-10 08:30:18,看的点映。一开始一家人和律师围一桌那里真得很尴尬，尤其是胡可的演技，太让人出戏了，甚至以为她故意杀死儿子的。太像剧本杀，根本也不是反转，都能猜出来，知道“真相”之后就像被强行喂了一坨屎。吸引我的是民警出场那段，很惊喜这位叫吴昊宸的演员跟刘敏涛这样的老牌演员对戏居然如此顺畅、一气呵成，是本片的喜剧成分同时也算个亮点吧。有一段地方可能会不讲武德地虚晃你一枪，大家去影院观看的时候注意预备，我看的那场女生吓得基本都在叫。。。2.5，景色还不错吧,30,233
不正常才有喜感,2023-03-11 18:55:21,漏洞百出的廉价剧本杀,20,112
嘟嘟熊之父,2023-03-10 11:05:31,难看到不知该先报警还是先叫救护车，头一次在任素汐的表演中看到了“有完没完求求啦让我早点收工回家吧”！希望导演转行，所有把观众当傻子的导演都应该自食恶果。,10,353
39417,2023-03-11 21:35:22,正在看，还有9分钟才结束…看完已经财富自由了，现在拥有15栋回廊亭，观影时顺便拿脚抠的。,10,260
带鱼先生,2023-03-12 17:25:01,非常一般…没啥悬念，倒是被某个镜头吓了一跳……,20,67
小艮,2023-03-12 18:23:24,人物动机根本不够。任素汐饰演的律师，咋就获取高家人的信任了？抢遗产的人得多精，就不核实一下身份？还一个个乖乖接受问话，搁那掏心掏肺的。,20,59
初音大西王,2023-03-10 18:35:58,6.5分，原作是比较黑暗悲怆的结局，国内翻拍却非要在结尾加上一些中二的，光明的话，麻了。不过也没关系，有一说一，这部翻拍比日版的好。东野圭吾写社会派厉害，但他的本格推理往往以最平庸的水平呈现，国内翻拍这么平庸的作品，也就是指望靠着东野圭吾的名头吸钱了。不要对原著抱有期待，我觉得以平庸的原著来说，导演能拍成这样，值得褒奖。,40,246
唐小万,2023-03-12 13:50:03,演年轻任素汐的演员和她真的有几分相像,20,44
TTAO被占用1,2023-03-09 12:44:26,没看过小说，电影开始我心里就觉得凶手肯定是刘敏涛饰演的林经理，电影一上来就把主演两位告诉大家，直接剧透。电影就是感觉内容太空了，藏完尸体就询问一下然后就这么结束了？刘敏涛的演技我是觉得真的很不错👍,30,167
开平彭于晏,2023-03-08 23:43:07,【20】有着出乎意料的惊悚和喜剧效果，却唯独不是一部出色的悬疑片；能看出服化道和声音设计上的巧思，但剧作和剪辑上也确实是力不从心。前半段劲儿使大了，不过高潮确实猛，就是太靠中间了；后半段太多公安戏份的介入让整个戏剧氛围烟消云散，失去了叙事的气力，我相信原作也会有这部分，但也许不会是这样。可惜了任素汐和刘敏涛的表演，但凡编剧能支棱起来一点，再怎样也是个小精品吧。@回廊亭·点映,30,80
田宇,2023-04-28 22:06:30,谁能给我解释一下，锁在柜子里那个亲儿子是怎么自己找上门的？因为回廊亭有光？,20,31
大奇特(Grinch),2023-03-04 17:27:03,这是个很容易读懂的故事，直白、陈旧到一眼望穿。伏笔和误导反让观众很容易看出主角前后的一体，分成两个演员也丝毫感受不到角色魅力。配角登场人物很多，每个存在感都很单薄，一度像在看表演类室内综艺，在还没抓住全部角色时就进入了最后阶段。写行动的部分是如此干瘪，写心理的部分又是矫情地虚构苦情，看不到东野圭吾式案件的以人为本，看到的只有病态和虐…,10,180
朱孔阳,2023-03-16 22:09:30,其实若想不让观众猜到结尾，一是不要用刘敏涛这样“重”的演员，二是以演员出场排序。,30,59
要丸,2023-03-08 23:28:28,#点映 回廊亭这种家宅本应该做为空间电影的载体存在，但整个建筑本身极度模糊，没有为电影添光加彩。暴风雪山庄的模式也完全不成立，莫名其妙的报警和坦白局，一点悬疑的影子都看不到。几乎平铺直叙的叙事造就了线索的缺失，最后的反转变成了完全站不住脚的供述，而非有逻辑的串联。刘敏涛的角色更是一个不知仇恨从何而来的工具人，根本无法达成共情。本就是一团糟的故事，还非要加升华，加高光，在一部全员疯批的电影里搞莫名其妙的正能量价值输出？满满的狗血淋头！,10,132
西楼尘,2023-03-08 22:19:29,算准了他们会朵颐肉骨，选择沉默傍身，没算准竟有飞蛾愿意扑火。猜到了回廊亭蛇鼠一窝，争城杀人盈野，没猜到是自己撞不开衣柜。这山林不见蛇却有人心早被毒，这信笺不见字却有全纸写满仇。回廊深深所有人都染了欲望的瘾，烈火熊熊每个人都中了迷迭的香。送你宅邸是最大的讽刺，把命还你是最大的复仇。,10,135
第十三天解封,2023-03-10 21:07:07,什么登西啊……第一次看一个悬疑剧每个人做的每件事我都想抓他过来问问，为什么啊！人物的台词也太稀烂了，厕品,10,82
朝阳区妻夫木聪,2023-03-10 11:27:49,咋说呢，没看过原作小说不好评价，但相比那部日本原版sp（which is已经足够难看了）的话，堪称魔改。中间警察巡逻直接拍成喜剧了可还行，结尾又整一出今日说法，挺离谱的。倒也不是说不能魔改吧，但建议就换个片名，不如叫《小秘书和女管家之间不得不说的恩怨情仇》。,10,57
Nancy,2023-03-11 17:12:57,即使我去了一家南京最便宜的电影院，但还是觉得这30块钱花得血亏。,20,46
恶魔的步调,2023-03-10 10:39:58,21分30秒处高能，音效做得比较出色。逻辑上存在bug，但其实东野圭吾的原著也有这个问题，电影相对来说把人性的贪婪和丑陋都表现出来了，比剧版要好太多，想对压缩一下老二夫妻俩救儿子那场戏的比重，把时间留给结尾真相的梳理上，带给观众的震撼会更强。,40,295
Azimber,2023-03-11 16:51:23,女主要是因为错失进入豪门的良机暴起复仇我会更喜欢一点捏,20,37
周舟,2023-03-09 09:41:00,亮点:女主角们演技在线，别墅布景美中的阴暗感都很到位。就是剧情太拉跨了，很多地方不合理到匪夷所思。1.高家的人设很矛盾，一面掩盖尸体只手遮天，一面连个女律师都不敢动一个手指头🤔，信丢了吓成那样?2.打酱油的疑凶们退场跟闹着玩似的，也没有推理也没有抽丝剥茧，就问一圈口供就全洗白了。3.凶手真的要不要考虑一下别加到领衔主演后面，密室杀人也一点没提，主角连证据都没有纯靠猜就去拍凶?4.整体来看，反转有点生硬，没有一点铺垫纯反，也没有什么酣畅淋漓的推理凶杀案感，就是一个凶杀案为背景板的恐怖（有女尸）搞笑（没必要）的演技秀。,30,39
二月鸟语,2023-03-10 12:43:51,事实证明，拍那种乱七八糟网大拍久了就真的拍不了电影了，类型片创作上可以说一塌糊涂，导演还是要踏踏实实的扎实做类型片功课呐～,10,65
亲切的昊子,2023-03-10 21:42:12,已经降低期待了，没想到还是差到离谱。只有前半小时能凑合看，悬疑感全无，逻辑性没有，强行反转，强行升华，看完真的满脸问号，完全浪费了一众演员。,10,44
晓思丽英,2023-04-25 00:59:34,"东野圭吾《回廊亭杀人事件》（长长的回廊）
277",30,1
xiaocevivi,2023-03-11 21:00:11,光你个头😅,20,38
鹿远,2023-03-16 23:53:07,烂笑了。这片能上4分都属于豆瓣跌份。,10,26
卡卡bot,2023-03-10 21:22:20,职高级别的收声和自嗨的电影节奏，破烂,10,40
此号,2023-03-12 23:51:33,为什么要一个人去看一部烂片 😭,20,36
VvsS_,2023-03-11 22:52:43,疯批反转 疯批镜头语言 好像导演以吓出心脏病为目的,20,45
锡勒朱徳·岱钦,2023-03-08 22:39:39,原著没看过，不作评价。只看过三八节点映。来牧宽的改编简直是暴殄天物，白瞎了一个弥漫着东方审美意境的天然暴风雪山庄架构的回廊亭，预告片里的先锋派悬疑剪辑导成了全片“错爱一年”的大杂烩。整容复仇作为故事主体却从读日记那一幕就亮出底裤、一丝悬念都不留，丑女转角遇到爱的桥段强暴了东方山水园林建筑洒落的仅有的几分紧张感，而螳螂捕蝉黄雀在后的反转除了让刘敏涛在演技上碾压任素汐，别无惊艳之处，扮猪吃老虎的再次反转则因零铺垫令人错愕到尴尬。片中前后高亮了三次的台词“在黑暗里”、“一丝光”、“我的光”这种专属于中学生时代的味如嚼蜡的鸡汤就别来悬疑故事里头丢人现眼了。剧情推进上的瑕疵更仆难数，反派把“我是恶人”贴在前额，复仇者则拿着大喇叭说“我要你们死”。即使侯雯元神似二三十岁的潘粤明，我还是想说他的演技最烂。,10,45
RHY,2023-03-10 20:14:23,能不能不要拍这种片子恶心人,10,45
韩先生的电影,2023-03-11 16:52:22,任素汐的表演在刘敏涛面前，相形见绌。这么足的正能量出现在这部片里，简直就是南辕北辙。,30,27
郭麦狼,2023-03-10 21:13:05,谁看谁傻逼,10,26
小子,2023-03-27 19:28:50,真就一般 故弄玄虚 还不如听一次红色高跟鞋,30,19
穆沐心,2023-03-19 14:47:46,那几个尸体的镜头真的大可不必，感觉反转没有达到预期。,30,8
lareine露,2023-03-10 21:48:53,太太太难看了，导演很不得把所有暗示怼到你脸上。啊啊，难看到想骂人,10,39
小野,2023-05-03 21:30:59,像是看了一场浮夸且毫不期待真相的话剧，全剧最精彩就是刘敏涛结尾的哭戏（大概是发自内心为自己接的烂剧本难过）,20,16
摩羯座的猫,2023-03-11 20:36:35,任素汐就是驴得水里表现的不错，后来的都发挥不太好。这部悬疑的不是故弄玄虚的故事架子吗？,10,22
异界送,2023-03-05 16:13:51,“我愿接受法律制裁”，这爹味改编得妈都不认识了，果然还是话剧版才是王道，不受各种条条框框阻挠。,30,29
糊乱的张贴,2023-03-10 10:40:18,就像驴得水一样，将话剧的冲击力搬上大荧幕，悬疑氛围很自然的塑造，同时影片小的场景和影院空间所对应，每次对话都仿佛和角色同处一个房间，代入感很强，很好的观影体验。,40,63
馆馆,2023-03-05 16:46:13,"剧本逻辑镜头语言就不提了，怎么表达爱意的桥段让男的夹个菜都能夹到女方筷子上！就不能重拍一遍吗？
全程拖沓得不行，我以为在凶手被抓任素汐血流满身还要坚挺地坐在救护车边就能结束，没想到后面还有个惊天反转；我以为韩系男友重生糙汉大叔跪在地上大喊对不起的时候也可以结束，结果它还来了个两年后；我以为凶手拿了三千万回到监狱痛哭流涕镜头停在唤醒良知了总该结束，居然黑完屏还要再去喂个🐶都这么拖时长了居然还只有95分钟！仿佛看见应试水字数写了三遍公式化收尾还没填满两张纸的尴尬
本来想同情任素汐的，想想还是同情我自己吧，毕竟别人拍烂片赚钱，我看烂片还得花钱",10,32
[未注销],2023-03-04 16:09:05,"🌟总体评价：
❶话剧感十足，放大的戏剧冲突；
❷关于“高先生控制林经理”的动机未交代，难自洽；
❸结尾强行升华。
推荐给——对国产改编东野圭吾仍抱有希望的/对中式家居感兴趣的观众。

🎬导演能力：
一度试图营造惊悚的氛围，甚至用了“Jump Scare”。",20,28
押井守厨,2023-03-08 21:46:23,能不能把剧本杀逐出电影界,10,40
孟爷,2023-03-11 21:27:28,电影拍成这样简直就是灾难，真的太难看了，如坐针毡。,10,24
摩托车龟龟,2023-03-10 21:50:04,这是北电96级毕业的导演？我还以为刚毕业的大学生导演拍的…无意义的长时间大特写、全靠新闻和回忆推动剧情发展、明显到不符合逻辑的“隐喻”、杜宇和女主的爱情戏份和尴尬的台词占比过多，以至于后面的反转完全没有震撼感。故事没讲清楚，人物也立不住，槽多无口,10,23
左丘失明,2023-03-08 22:01:23,这是一个关于复仇的故事。编剧对整个剧组应该有深仇大恨，所以写下一部烂戏，希望害死导演演员他们。也可能整个剧组跟观众有仇，谁买票就报复谁。,10,25
清扉,2023-03-12 21:43:52,挺喜欢任姐的，怎么演了个憨憨。（最骚的是嘴上说着DNA，字幕飘着“脱氧核糖核酸”）,20,21
ZHANGWANHE,2023-04-16 10:53:51,《驴得水》这样一个舞台小品作品捧出的演员，去了别的“电影”实在太拉垮了，任素汐的表演根本经不起近景和特写，故事本身太匮乏了而镜头又不停的推拉恨不得分分钟告诉你：“我这里有悬疑”“我们的故事扑朔迷离哦”，我真的会谢 （@明德堂,20,4
Vince,2023-05-04 11:57:29,好差啊，最后5分钟演了剧情95%,20,6
momo,2023-03-13 21:15:53,任素希台词好奇怪,20,23
合,2023-03-17 00:47:27,被海报骗了。回廊亭彻底沦为名字了，不能够作为犯罪场景服务于推理。,10,8
夏日白书,2023-03-11 21:02:20,你看吧。长镜头都是属于穷人的，富人是多么生动的场面调度。,10,8
