用户名,评论时间,评论内容,评分,赞同数
我叫豆瓣酱,2022-06-02 22:33:24,升米恩，斗米仇。人比妖魔鬼怪更可怕。有《罗生门》的意思。用心拍了，奇树有鱼有货。,40,182
鱼骨,2022-06-02 16:44:21,一个网大竟然有点《罗生门》和《八恶人》的影子。再这么下去，院线那些烂片的故事要干不过这种网大了……,30,400
林木郎,2022-06-03 08:33:43,《罗生门》式的故事叙述。你永远不知道在别人的嘴中你会有多少个版本。看的出是很用心做的网大，比许多院线商业电影拍的更精彩也更有意义。,40,134
WIKI魏,2022-06-04 02:30:46,凌晨抱着「这海报必烂片」瞅几眼就睡的心看的，结果出乎意料的能看一下又过两点了……编剧用《罗生门》结构，将一个事儿讲出了几个版本，每个版本，嘿，都还挺不错。不吓人，妹纸们没爷们陪也能看。网大里的加一星。,40,91
国产凌凌期,2022-06-03 13:52:19,在限行沈猹规则下能把鬼故事圆到这个份儿上已经相当不错了，这电影比每年国产院线上绝大部分挂羊头卖狗肉的恐怖片不要走心太多，而且还能窥到《罗生门》《八恶人》和《功夫》的影子。,30,234
熠,2022-06-03 18:49:31,本想给3星，但想着该片真心该鼓励一下，加了1星。这个电影的剧情真心不错！虽说服化道和演员，都差强人意。但故事和推进的剧情，一直吸引人看下去。要是配两个实力演员，搞点资金，院线大片啥的，是不是该靠边站了！,40,65
月中人,2022-06-02 20:09:36,国内无鬼片，人比鬼可怕（其实我觉得这部鬼片内容已经算拍的可以了，败在审查制度,30,151
小金,2022-06-03 01:41:04,惊喜之作！剧情直接走了《罗生门》的路子，戏中戏中戏，故事套故事，真假难辨，一如人心，最终主题思想回归到了“鬼比人可怕”这个比较合理且稳妥的角度，还很用心地在结尾做了开创式结局——你可以认为都是瞎子信手拈来街上几位邻居胡编的故事，也可以认为在美好的想象中原本互相伤害的人都幸福的生活在了同一片乐土。（要是第二位卖药大哥讲的故事里面不弄个山洞里面的大狐狸头暴露地段特效就更好了）,40,63
朝阳区妻夫木聪,2022-06-08 15:01:46,实话说，剧本处理得挺有门道。狐有五层皮（假象），瞎子、卖药的、囚犯、女子、警长，五方视角分别扒下了一层皮，同时也分别替观众卸去剧作中的一层悬念包袱，到这里差不多过了一个小时左右，此时狐狸开始露出真身（真相），同时剧作也走向最终的反转。这个叙事节奏是没有问题的。真相是什么？真相依然不外乎人心蛊惑、人性沦丧，以及人们的自相残杀。从这一点上来说，在大的审查体系内贴边行走，借助所谓的牛鬼蛇神来包裹人性的探讨，虽是不得已而为之，但也算是玩得巧妙了。《罗生门》的叙事结构，加上对于一些经典影片的效仿借鉴，整体质量的确是超出大多数只知道圈钱的国产院线恐怖烂片了。当然，它的问题也在于此，就是作为网大，整体看起来还是太穷了太糙了，影像质感也还是需要再提升的。给三星鼓励一下。,30,110
芦哲峰,2022-06-12 22:21:08,山村并无狐妻，因为建国后的狐不能成妻，只能由恶人胡欺。三星鼓励。,30,67
寒狐传媒,2022-06-03 17:02:30,3.5星。故事还可以，有点引人入胜的感觉。,40,31
影视圈前沿观察,2022-06-02 18:03:54,网络电影里的诚意之作，故事和氛围已经超过了大多数同一类型的华语院线电影，剧情环环相扣，耐看。特意赞一个！,40,23
球友基哥,2022-06-06 09:02:44,网络电影制作里，剧本算是很扎实了！罗生门式的结构，阐述人性的泯灭！恐怖悬疑的故事，加上配乐特效，虽然有瑕疵，但整体质量勉强及格！人恶人怕天不怕，人善人欺天不欺，善恶到头终有报！结尾处的全部角色，梦境还是现实？自由观众评判！不过个人觉得最后定格小女孩的脸变为狐狸，会不会更好？,30,57
马史,2022-06-02 10:42:16,刘导 老崔 有意思,40,36
梦工厂大爷,2022-06-02 10:49:48,小而美 很不错,30,49
