用户名,评论时间,评论内容,评分,赞同数
以平凡之名,2023-01-22 13:10:23,冲王一博来的观众欣赏不了程耳的风格，爱程耳风格的观众看不上王一博。再加上还有一群欣赏能力处于熊出没地带却为了装逼自己错选无名感到受骗反赖电影的巨婴。心疼程耳…,40,2237
吉页,2023-01-22 11:28:29,是怎么做到既不商业又不文艺的…,20,3068
Alvin,2023-01-22 13:41:11,我是个软弱的人，看不了这种剪辑混乱的电影。,30,1297
kiya,2023-01-22 12:27:55,"程耳真的太会拍了
几个空境 没有台词 画面就极具冲击力
真的情绪一下就被抓住了
几处暗喻也给的特别恰到好处 一下就能懂
每个镜头都有他要表达的东西 没有什么无所谓镜头

两段打戏特别特别爽 没想到影帝六十岁的人了还这么能打 王一博自然是帅得酣畅淋漓 看完首场 迫不及待想二刷了。几处细节要再品一品!",50,9383
透明人格里芬,2023-01-22 17:33:52,拜托程导不要再沉迷于这种“把胶片剪碎再重接”的拍法了，人昆汀、诺兰是为了制造悬念，放大戏剧张力，到这部成了纯炫技和割裂观感的东西了，看的很心累,20,1677
Jason.D,2023-01-22 12:54:40,最后王一博是共产党这点觉得崩了，如果是国民党觉得演的合适。。,30,722
吃瓜快乐,2023-01-22 11:20:23,剧情稀烂，还有术业有专攻，演戏真的需要天赋和实力，大荧幕只会更暴露短板，伟仔爱惜羽毛吧,10,12647
IaMinteResting,2023-01-22 13:48:08,黄磊劝周迅跟他一起叛变革命去广西种地的时候 我还觉得 没毛病啊种吧干嘛不去啊 后来发现她老公是梁朝伟 那确实不行哈哈哈哈哈 你去吧我不去了,40,1548
.,2023-01-22 11:54:10,1.大年初一鬼子屠杀中国人晦气，你带着这么主观的感受去看一个谍战片，真的大可不必，完全可以直接看其他那几个合家欢。2.说逻辑混乱剪辑零碎的，建议你带上脑子再去电影院，故事明明很完整，细节表达也都很到位，一些倒叙和插叙也让整个电影更有层次感了。3.画面很符合当时的场景，确实震撼，很深刻地能得到共情，说诡异阴森的还是，你大可不必，这个电影不适合你。4.不是任何人的粉丝，也是第一次看王一博演的戏，客观评价演技可以，和老戏骨一起也一点没露怯，对角色完成还是很好的，我认为已经达标了。5.这电影已经完全超出预期了，有心思好好看电影的强烈推荐去看，娱乐为主的就算了。,40,3743
我很愉快,2023-01-22 13:07:53,啥呀，这么简单的一个故事只能通过剪辑来变得悬疑吗,30,878
桃子熟了么,2023-01-22 12:55:38,包了一层费列罗包装的王致和臭豆腐,30,585
卵个卵,2023-01-22 11:52:11,程耳需要给李安版权费吗,30,578
豆瓣路人己,2023-01-22 12:27:11,程耳就像是郭敬明的soulmate，着迷于上海的某种情怀，拍的时候把所有想法都放在一起，形式都最终到了极致，却只剩下一个花架子，少去了本质的精神。#于冬冤大头实锤,30,413
Little 99,2023-01-22 14:03:46,"无名在我心里的演技排名：
1梁朝伟
2周迅（和梁生拥抱那里脸部表情绝了）
3日本军官
4王一博
5黄磊
6王传一
7江疏影
8大鹏
9张婧仪",40,2488
Caʊh,2023-01-22 13:30:04,依旧稳定面瘫，持续空洞无神,30,801
小安家里养的狗,2023-01-22 12:32:10,1.电影装逼只装一半也太难受了（但是还是有喜欢的片段）2.你说全片都端着那种“文艺范”的电影，有几处配乐莫名其妙就奔着mcu风格去了3.打乱时间线的效果就是开始看不明白，看明白之后“就这么点事你打乱的意义是？”（只有结尾那个反转打乱时间有点用）4.而且反转也是那种显得前面剧情很弱智的反转5.所谓的“烧脑”就是打乱时间之后反复重复台词6.男二演戏好搞笑 ，甚至不能全怪在演员上（虽然他演技很垃圾）导演只想让他装，但是氛围又完全对不上,30,305
苦涩如歌,2023-01-22 13:42:39,好好的讲故事不好吗，一定要乱剪辑故作高深吗,30,484
温柔的风穿堂过,2023-01-22 11:12:50,买票的时候三十六线小县城还只有上午场，不能剧透只能说对得起我早上九点坐在电影票，是商业片但有程耳一如既往的细节讲究，影帝影后不用说，两个新人也挺好的，能让人沉下心看。,50,16244
妥协吧滚回去吧,2023-01-22 11:21:40,有点好看又有点难看,30,203
阝女,2023-01-22 11:20:50,重生之易先生审王佳芝,40,616
三十郎,2023-01-22 12:25:58,"明知糙猪吃不了细糠，还偏要迎合猪的口味。到头还遭到反噬。
《罗曼蒂克消亡史》里的腔调，靠的是举手投足的优雅、谈吐的悠哉以及器物的摆置。这些细节在本片中尽失。
半天的铺陈，只为最后高喊一句“我也是共产党”
与其说王一博的面瘫脸毁了《无名》，不如说是主旋律抓壮丁的脑瘫操作吧。
动荡年代，人不过是动物，是或咬人或被驱逐的狗，是看热闹被宰的羊，是闷在醪糟盆里的虾。以及各种品种的 快乐的猪。",20,1866
ulay,2023-01-23 03:07:58,“我是个软弱的人，适应不了这个剧变的电影”,30,253
王小朵,2023-01-22 13:27:55,这么简单的剧情还值得搞非线性叙事 花里胡哨不如好好琢磨故事… 每个角色都非常平面没性格 王一博演得好烂 本来想多一颗星给伟仔一点同情分 但是想到大年初一我看了个这 只想同情我自己,20,1618
四维速冻糖🍬,2023-01-24 15:15:44,求求王一博不要演戏了！！,20,1045
笑你蠢,2023-01-22 13:25:54,搞不懂为啥梁朝伟和周迅要接这个，王一博那张发面馒头一样的脸，什么表情在他脸上都是那么的违和,20,1464
momo,2023-01-22 14:23:49,我的评价是 还不如昨天的春晚👌,20,2290
别看了，不认识,2023-01-22 12:31:45,周迅很美但戏份诈骗。梁生演技真的顶。电影整体不如罗曼蒂克。两颗星一人一颗。记忆点除了梁生一段solo就是一段火光带闪电的吻戏。救命啊这把年纪了他为什么还这么苏！除了周梁演的有电影质感，其他的都是啥啊啥啊……导演努力了但是不行的始终都不行。也不难懂程耳叙事就那三板斧，这次玩的没有罗曼蒂克好。咋说呢，很难说流量粉丝买的票和流量赶的客哪样更多。那是一张不配被放大的脸，演技稀松都不提了，进场前有预期，他就是个添头，但是你没告诉我添头是戏眼啊那他这个演技欠奉骨相欠缺皮相松垮就不好被无视了。最后半个小时很残忍,20,1336
写信告訴我,2023-01-25 09:34:10,程耳，梁朝伟，周迅，为什么有个王一博？？,10,2715
草莓海啸,2023-01-22 13:30:01,你俩既然都是共产党，那干哈打的那么狠…还扔楼下去了，那是真想干掉他的样子……王一博居然还行，虽然有几场特写还是差了口气，和高手过招也是，但整体没算掉链子，还是得要导演调教才能出来。梁朝伟和周迅，不用多说，跪就完了,40,1707
江疑,2023-01-22 11:18:03,王一博哪有那么差，程耳抓他的气质抓得很准，好导演可以成就演员。,40,1923
哒哒哒跑过来,2023-01-22 11:14:04,冲着影帝梁朝伟看的，结果让我明白了电影是导演的艺术，画风阴暗，剧情俗套无聊。电视剧烂也就算了，毕竟不花钱，换台自由，烂电影忽悠观众，你们摸摸良心真的不会痛吗？,10,9959
xuwen,2023-01-22 13:52:43,没那么差吧 程耳拍老上海还是很有腔调的 镜头都很讲究很有美感 剧情讲述不是那么平铺直叙有一点挑战性 很多一星评价是对流量演员的天然敌视啊 虽然他演的确实不算出色 但也没有太差 至少导演是接受了才会拿出来播的 天然的成见太毁人了…,40,1411
辗转拖鞋,2023-01-22 13:45:11,"沉默忧郁深沉，只能是我梁朝伟！
王一博作为后辈，年纪轻轻演技可圈可点，未来可期；
王传君再也不是关谷神奇了。",40,3257
sati,2023-01-22 13:19:41,一星梁朝伟一星周迅,20,1693
qw0aszx,2023-01-22 11:34:43,结果这次不仅内容空，连结构都变成强行拗出来的了,20,2426
momo,2023-01-22 14:22:08,剧本弱到令人发指，破碎的剪辑故弄玄虚。羸弱的故事下演员的演技好坏甚至不是影片质量的重要影响因素。王传君在此类影片中再次饰演纯混球，已经审美疲劳了。,20,1791
芜湖芜湖芜湖,2023-01-22 11:15:50,罗曼蒂克我就没看懂，那会被忽悠了觉得是我不懂欣赏！但是无名我真的坚信了，是导演不行，一个故事都讲不好的导演就不要再骗钱了！导演模仿王家卫风格，可是王家卫只讲爱情！一个谍战剧情片这种风格真有病！罗曼蒂克好歹我还记住了章子怡和那个日本人的那段囚禁的戏！虽然票是别人送的，但浪费的是我的时间，无语！！！！！,10,8381
孤篇压全唐,2023-01-23 01:29:02,路人评价：不是烂片。,40,758
delia,2023-01-22 13:59:57,客观的说，最后两个人的打戏还是很精彩的，不过，从剧情来讲，有必要打成那样吗？给旁人看？要是有旁人他还能顺利送走周迅？不明白,30,280
影洛筱筱,2023-01-22 11:58:21,呃……大过年的我到底为啥在这浪费时间啊。我不理解，梁朝伟周迅放在这里怎么就拍出个这东西，江疏影和张静仪脸是美的，演技差强人意以后继续加油。然后王一博我本来不太了解他，但是跟这些级别的演员站在一起实在是没眼看,10,2080
理解了那么久,2023-01-22 12:56:36,这片就不该春节档上映，可以看出导演为了照顾观众，做了不少妥协。可是这种妥协未必有用，导致程耳粉丝没看爽，观众还是没看懂。,30,392
凹凸代餐,2023-01-22 11:13:23,和前作一样 煞有介事地讲了一个乏善可陈的故事（王一博大男主戏份 出场时长远超梁朝伟 你敢信？）,30,1221
眼见才为实,2023-01-22 14:09:25,看完上午场之后吃了个饭，现在终于到家了，我反正挺生气的，大年初一被朋友拉着看梁朝伟和周迅，结果呢？他俩戏份并不多，尤其是周迅，十分钟有吗？？？然后中间还有很长一段日本人虐杀中国人的情节，拍的很细致，我看了有点反胃，吃饭都没吃好。。。。大过年的，真的很晦气。最后，看完电影，印象最深刻的是王一博那张脸，救命，大荧幕不欢迎肿胀脸ok？？？？我真的无语死了，浪费钱浪费时间啊啊啊啊啊啊啊啊啊！！！！！,10,2263
其实duck不必,2023-01-22 13:55:21,"梁朝伟和周迅两分钟的感情戏秒了这电影里的一切。
谍战片的紧张感绝不是靠故弄玄虚的剪辑和自以为高大上的杂乱叙事能营造出来的，真是无聊。",30,334
柠小丸子,2023-01-22 11:41:56,无名真的好烂一电影！先不说演员，剧情就是感觉为拼凑演员而拼成的电影，角色存在的意义在于什么呢？为啥会让一个连演戏都还没演明白的人，演谍战片？？而且有的画面真的不适合春节档把。我明白梁朝伟为什么都不参与宣传了，他自己是不是都不知道自己在演啥，电影院里好多人都在玩手机，我服了,10,7690
Horace🐯,2023-01-22 11:23:00,那些说烧脑的粉丝，可以反省下自己的理解能力了。程耳不要在故弄玄虚了，悬疑不等于乱剪。两分纯属感恩伟仔和周迅～至于一博，有几套衣服还是蛮好看的：）,20,1240
sometimes,2023-01-22 11:53:07,王一博的脸挺出戏的…………,20,1429
拉拉橙,2023-01-22 13:56:11,这电影很程耳，看不懂的要么是进影院图一乐（那你不该看这个），要么就是脑子被熨平了，over。,40,1345
SVT-权顺荣,2023-01-22 12:18:26,程耳和梁朝伟能不能好好珍惜自己的羽毛,20,1583
lwoavqe,2023-01-22 12:14:41,金玉其外  败絮其中,20,1785
实现GCZY,2023-01-22 11:12:15,难得的日军视角,40,666
someone,2023-01-22 11:33:19,梁朝伟老在一个尴尬的年纪，期待再过些年他真正的老年气质到来。另外，作为一个不认识王一博的人，我觉得他还行啊。,40,1397
迷人的小驹驹,2023-01-22 11:09:47,质量还行，感觉有点超出预期,40,9110
臭大乐,2023-01-22 12:51:51,梁朝伟的开场表演很像无耻混蛋里的汉斯，他的原声很舒服。王一博还挺出彩的，亦正亦邪有点纯真的感觉拿捏得很好。,40,1556
二楼后座,2023-01-22 11:55:05,王一博搁那儿干啥呢？侧脸还行，正脸好油腻啊，是肿了么？大过年搞点平铺直叙的正常电影不行么？,20,1225
BEN洛轩,2023-01-22 13:04:48,本来想打一星，又怕被后台清了，真心建议路人慎买票入场,20,1661
柒玥雪,2023-01-22 11:34:20,太难看了简直浪费时间，剧情难看就算了，还几乎港普沪语再没个字幕，更看不懂了，王一博那演技就是灾难，真心奉劝他别演戏了，太差了,10,1381
数码宝贝2020,2023-01-22 12:16:26,非常一般，和风声色戒比差远了。无非就是两个老戏骨给流量抬咖，流量咖的粉丝多，能挣钱罢了。这在电影院看王的脸太肿了吧…而且张婧仪和王一博丝毫看不出有感情，真的很尴尬………,20,1151
富有的精神病人,2023-01-22 13:29:38,😅😅😅一分给周迅，一分给梁朝伟,20,1555
啊哈,2023-01-22 13:16:39,不是去电影院，根本撑不到结局。整部电影好似王一博mv……,30,473
yours'forever,2023-01-22 11:25:05,梁朝伟和周迅是不是真的缺钱啊，怎么什么本子都接，拍小日子怎么迫害老百姓，用水泥浇下去也太恐怖了吧,20,1305
Kayn,2023-01-22 11:44:02,又是一部下里巴文青的自以为的高b格电影，整部片子杂乱无章，想表达的表达不清楚，演员也是只会压低声音板着一张面瘫脸装b，我只想大喊一声能不能退钱，能不能退钱能不能退钱，冲着商业大片买的vip将近80块。,10,1095
椰奶酥,2023-01-22 11:53:06,那么多高赞的一星差评只能说这电影不适合放在春节档，王一博的脸还是差点意思，没有一丝岁月的痕迹，就演不出该有的味道。Hidden blade翻译得好,40,431
迪路,2023-01-22 12:59:03,不是所有人的脸都适合大荧幕，平时就丑的就馒的上去只会更明显，尤其是演的还不行,10,861
科吉托先生,2023-01-22 12:57:48,程耳，你还记得《罗曼蒂克消亡史》吗…是怎么做到把匠气过重和谄媚资本结合到一部电影里的？镜头语言、影像风格、演员表演完全像是独立的三个东西。,20,813
多吃水果身体好,2023-01-22 11:21:41,投机取巧，以为没演技就能胜任冷漠面瘫的角色了？不。连电视剧都演不好的人就不要来大荧幕当搅屎棍了，苦了梁朝伟老师等一众好演员，拉低影片质感。,20,1346
柠檬soda,2023-01-22 12:23:47,朋友拉我一起看的，说有梁朝伟，周迅和黄磊，我就欣然接受了，毕竟有他们老牌演员有保证啊！说到梁朝伟想到的是色戒，看到周迅想到的是风声，这类型我还挺喜欢的，谁知道挂羊头卖狗肉，搞个整容脸大鼻子，退钱，你懂什么是电影！那么大银幕，还想浑水摸鱼呢！一点演技都没有😡😡😡,20,1257
llaaa,2023-01-22 11:29:55,早说是捧没演技木头的丑人咖好啦，拉什么梁朝伟啊，看到前期宣传的什么超级商业片什么方言少之类的还以为程耳改了他那一套不卖座不知所云文艺b，还真是想多了，你总得把故事给讲明白吧，难看难看！,20,1724
眼睛瞪得像铜铃,2023-01-22 11:39:51,果不其然，完全没有形成一以贯之的视听体系，主旋律、偶像剧拍法与程耳个人风格三方拉锯，在时而被爽到、时而恶心到的撕裂观感中苦不堪言。不过哪怕抛开外力干预，并结合幕后采访不难发现，或许程耳自己都不屑于接手这类题材，赖以成名的非线性叙事也只是简单洗牌打乱，远比《罗曼蒂克消亡史》潦草得多。但最要命的无疑是对谍战题材认知的浅显，只给人感觉是角色本身完全在为形而上的宏观战局服务，纯粹为了潜伏得更久而潜伏，并没有一个具体棘手的情报窃取任务需要格外发力，这就让电影本身显得很空。大家都在拽二战帝王将相的名词，却看不到一个具体的“人”。而竞缴带血投名状，靠着“你狠我就要比你更狠”来获取敌人信任的处理手法，在同类型精品面前显得格外幼稚。希望程耳早就掂量好了吧，用这样一份妥协来保《不浪漫》顺利上映，是自以为值得的。,20,986
我要你有何用,2023-01-22 11:50:16,坐立难安 春节为什么要来看这种片子？,20,1293
yolo,2023-01-24 15:15:39,感觉还行，就是如果换掉某一个演员会更好…,40,155
美奈鲨妮绻珈,2023-01-22 11:38:22,这也太难看了，而且大过节的看完觉得有点不吉利啊。梁朝伟已经没有色戒中的欲感了，王一博无法评价，他不适合做演员。,20,1368
桑了个桑,2023-01-22 12:49:35,对王一博的腮帮子耿耿于怀,30,406
爱看电影的水瓶,2023-01-22 13:02:34,除了几处为了迎合观众认知的重复镜头，其他无可挑剔。关于演员吧，别戴有色眼镜去看就好，当然是有提升空间的。,40,872
小居头,2023-01-22 13:52:31,如果你看过《罗曼蒂克消亡史》，并且觉得合你口味，那么这部电影你就不应该错过。我是挺喜欢的，那些刻意的固定镜头，那些大段对白的长镜头，以及多线叙事，一点点拼凑出完整的故事，还有最后的那场打斗，虽然对于故事里的角色来看未免太过了些，总之是一部能到8分的电影，但是过年想和家人一起选部电影看的话，并不推荐这部，它和春节档的氛围并不相符。,40,928
好恶,2023-01-22 13:18:56,这部电影在宣发上唯一没有欺骗观众的就是给自己打了个一个超级商业片的标签，但我看你更像是一拖超级烂狗屎。吹什么审美和摄影，预告里那些有艺术感的镜头就是这电影里硬挤出来的全部了，大部分都是在乌漆嘛黑、昏黄的环境下拍摄。（看之前还不明白某流量明星干了啥有这么多人排斥，看过后我是明白了，只要他在电影里做出什么动静就有人喊他的名字，后半段我全程在听别人念叨xxx怎么了xxx怎么了。,20,1340
真姬,2023-01-24 20:57:41,这么高难度的角色给王一博演有点高估他了，他何德何能能跟梁朝伟对戏,20,671
采姑娘的老蘑菇,2023-01-22 12:18:08,。。。。。。影院音响挺好,20,1295
修勾喜欢打呼噜,2023-01-22 13:37:06,大年初一起床来电影院看人装两小时的杯？？rnm，退钱！！,20,1209
aisaka,2023-01-22 13:04:47,其实有些东西真的要看天赋，你说呢王某,10,945
许你岁月长安99,2023-01-22 11:10:45,这回知道了为什么不敢点映，因为实在是没有那个底气,20,1334
