用户名,评论时间,评论内容,评分,赞同数
朝阳区陆依萍,2023-04-29 11:08:35,扪心自问，我对这部电影到底期待些什么！！！只能说除了白姐外（戏份大概一天就能拍完吧），这部电影主创都可以Die了～,10,270
不留痕迹,2023-04-29 10:12:08,依然是个网大质感的创作，麦庄解体后麦兆辉真的越来越不行了，唯一的进步是这次终于不再有脸cue无间道了,20,198
Huzixuannel,2023-04-29 09:28:13,一个极其简单的故事，大家都在为之卖力地表演，有一种屎上雕花般的喜剧感。,30,602
谢谢你们的鱼,2023-04-29 19:39:50,扫黑除恶、强奸案、凶杀案、盗墓案，一部电影讲这么多内容，结果哪儿哪儿也不挨着，叙事毫无重点。角色不好好塑造，悬念不好好构建，叙事不好好设计，和麦兆辉的前作《廉政风云》一样都是那种头重脚轻、死气沉沉的全明星烂片。112分钟就像在看没头没尾的电视剧，法庭戏你一句我一句慢条斯理的说话，我都想开2倍速了。,10,143
澹忘语,2023-04-29 14:20:57,剧本太薄弱了，漏洞太多。黄景瑜和白百何的感情戏太尴尬了，还不如拍黄景瑜和岳云鹏的感情戏🙄,30,239
豆瓣路人己,2023-04-29 09:35:31,麦兆辉和庄文强，完美呈现当下香港电影整体的差距。,20,145
小麦🍑,2023-04-29 20:32:21,剧本太薄弱了很无聊，公职人员尤其还是要案在身怎么可能在公交上打电话说案情，真的很降智。命案变成了盗墓案我真的一脸懵，黄景瑜很帅身材很好，但真的浪费了，白姐没有贡献更好的演技。,30,85
念念小神经,2023-04-29 14:28:42,"两星半到三星吧
如果导演或者编剧的目的是要展现检察官这一职业的工作状态的话，请不要再让停职/离职的人包着纸箱子了太悬浮悬浮了
还有。。。怎么会在公交车上大声说拿到什么了嘛",30,51
开平彭于晏,2023-04-29 14:36:24,【41】《猎屠》2.0，《盗墓笔记》联合改编，众星云集齐力出演廉价小片，这个五一假期最快乐的喜剧，比《人生路不熟》好笑！@检察风云,10,118
基瑞尔,2023-04-29 13:18:23,明眼看得出来是《廉政风云》大扑街之后，（某种意义上）“不得已为之”的北上圈钱尝试；但是驱使我唯一买票的原因只是想助力白姐美美达成百亿，也不想计较那么多。在故事无法深究、这个体系之下拍检察故事的电影几乎没有任何意义的背景下；更让人心梗的是本片陈旧的布景，莫名的收音与配音，犹如“港风·网大”般偶尔闪现的冷幽默和突兀的演绎，真的很好奇这算抹黑职业和机构了吗？黄景瑜演演警员、更简单粗暴的角色还行，这里一开口就出戏，有种他被迫穿了衣服的不适。,20,112
Alpha,2023-04-29 17:25:09,港导到大陆来淘金，就不能用点儿心？,30,25
缺觉,2023-04-29 15:27:38,一个香港导演拍了一部内地电视剧，,20,75
我可能是个演员,2023-05-02 00:40:00,1.黄景瑜是怎么做到全程除了笑之外都是一个皱眉表情的？2.真相的揭露也是莫名其妙，从冯绍峰自杀到王丽坤回忆真相，再到法庭的陈述宣判总结，全程不超过3分钟吧？有这么赶时间吗？儿戏一般。3.黄景瑜“可以做我女朋友吗”那场戏简直看的如坐针毡芒刺在背，苍天饶过谁，谁看谁受罪。4.最震惊的一点是剧情里竟然有盗墓元素，简直防不胜防。,20,55
me,2023-04-29 14:26:48,不知道看了啥……最后严市长呢,20,42
苏黎世的列车,2023-05-04 00:59:17,收尾收得太快了，本来感觉盗墓这条线挺有意思的，但是可能编剧都编不下去了。感觉白百合还是适合演小妞电影，因为她说话语气就有些轻佻。既然“复出”了，下次给写个爱情题材吧，这部里加入爱情线有些违和。【中影南方影城/1 person attendance/35.03元】（最近每天晚上来看电影，老板都认识我了，每次都给我提前放）,30,0
j...oker,2023-04-29 10:48:29,终于可以标了！大概是两年前在北京参加了一场神秘观影，就是这部，感觉当时都几乎定剪，居然又过了这么久才上。感觉是中规中矩的扫黑片。,-t,12
