用户名,评论时间,评论内容,评分,赞同数
了不起的花轮君,2022-07-09 21:42:11,这个故事告诉我们考公检法政审查三代的必要性。,40,12989
是个女孩名,2022-07-09 23:45:03,还是得身体好 当年能被打三天之后徒步 今天能刚生完孩子就游五百米之后枪战 瑞思拜,40,6138
Bei,2022-07-08 19:49:06,这片子的逻辑就像片中的怪物一样，看不见。,30,8279
在哪脱都能闹海,2022-07-09 22:53:46,李若彤我愿称之为香港刘涛,30,7080
lixunhuan,2022-07-08 18:08:18,够丧！够颠！才是真正的金牌编剧韦家辉。《神探》的点题金句“大家都系人，点解我要吾同啊？”进化成《神探大战》“大家都变成怪物，点解我唔可以变怪物？”《神探大战》中的一人分饰七角固然没有前作七人分饰一角在设定上的惊艳，然而本作却以雷霆万钧的剪辑和剧情推进，尽情演绎末世之世的末法之法，TDK都要甘拜下风。黑衣人被黄衣人蛊惑，被复仇和仇恨蒙蔽了双眼，昨日之因成今日之果，今日之果又成明日之因。如果仅仅是血腥的杀戮，那么这只不过是又一部令人生厌的《小丑》而已。《神探大战》最为弥足珍贵的是能够跳出因果，才能超越轮回，韦生再次证明即使在严格的审查制度之下仍然能够拍出有血性、有态度、有风格的电影。没有什么瑕不掩瑜，韦生所有的瑕都是瑜。,50,1671
冰镇西瓜橘子水,2022-07-08 21:29:06,看完电影感觉听力严重受损 每个人讲话都超大声 这个国语配的太折磨人了 （蔡卓妍是女超人吧 刚生完孩子还能跳河 完了还能捡起枪来继续杀人）,30,5985
墨瞳电影,2022-07-08 12:37:26,作为一个悬疑片，枪都漂水面上了还给我谈什么逻辑？？？,20,3092
王大根,2022-07-09 18:09:02,电影本身不算特别喜欢，但羡慕、尊敬、祝福港片仅剩的这一点疯癫。希望港片能疯到最后。,40,4567
梦话患者,2022-07-08 21:47:16,"天才编剧+疯子导演＝韦家辉；
香港，一个考警察不需要政审的地方；
按受害人数，本片最大反派是香港警察；
蔡卓妍，娇妻的终极形态——为母则刚；
最后，本片特别赞助商——尼采。",40,2938
豆瓣路人己,2022-07-08 19:07:15,“你看见怪物了吗？”“看见了。”有的话能说吗？能……吗？已经没那么愤怒了，但满身伤痕，和现在的香港电影一样。,40,2608
皇帝陛下的玉米,2022-07-16 12:23:29,本片塑造了中国影史上体质最强悍的孕妇,40,2524
二火山,2022-07-09 22:44:09,建议李若彤还是别演戏了,30,3891
闲人,2022-07-08 21:05:33,当一个创作者开始致敬自己，就说明他的创作开始出现疲态了。,30,2952
