用户名,评论时间,评论内容,评分,赞同数
不看月亮🌙,2023-01-07 14:59:29,"纸人回魂，两个回魂的纸人，都是女性，一个是被强抢来结婚生子的民女，一个是为治弟弟的病被重男轻女的亲生父亲勒死的女儿，两场事件中的凶手是同一个男人。但在故事的流传版本中，明明是父权制被害者的女人又一次被污名化，被构建为荒谬传闻中逞凶的恶人。
电影作为一部中式恐怖片是合格的，但却已难以让我心中生怖。“中式恐怖元素是父权社会对女性的亏待在他们集体潜意识里的投射”，香火、宗祠象征着男性对女性生育能力的觊觎，族谱、牌位、冠姓是男性褫夺女性生育能力的妄念，而所谓的传承建立在盘剥女性之上。与此相关的中式恐怖元素于我而言成为了一场笑话。“我相信被谋杀的人知道罪犯是谁，即便家族共业，仇也算不到我头上”。女性不必惧怕。",40,387
王食欲,2023-01-08 00:17:03,你阿生叔野得很，竟然娶了一个手办。,30,419
L.C.,2023-01-06 12:05:12,十年来看过的国内最好的鬼怪类电影，气氛紧张至极，舍不得快进，每一个转场都有心意。对民俗形制考究，一看就是对史料做了很多研究。服道化更是细节到时代人物发型和服装布料，纸人工艺让我强烈怀疑是找了真正的纸人工艺传承师傅。一边看一边感叹中国鬼怪电影大有可为，以后这个电影就是标杆，拍烂的导演可别再甩锅给广电。激动！感动！,50,150
大作人家王書紀,2023-01-06 22:50:21,talentless,10,24
Joe Joel,2023-01-11 22:37:20,国产恐怖片的出路已经明了，那就是悬疑推理片。故事完整不破碎，演员演技不拉垮，反转真相合情合理。在广电的审核制度下，能做到这个地步，还要什么自行车？,40,331
人生路漫漫,2023-01-06 16:38:08,好一出温情大戏哈,20,76
细水儿长流,2023-01-06 16:37:57,恐怖片最主要的是啥？就是要吓人。但我看了20分钟，一丝也不吓人，剧情拖沓无聊。海报、美工比电影好一千倍。,10,9
HarleyQuinn,2023-01-06 12:06:33,真的很想看真的有鬼的纸人题材恐怖片，就不能满足我下吗,40,218
蚂蚁没问题,2023-01-08 21:08:21,网大只能当网大还是有原因的，都是标准套路，罗生门讲故事，前面吓吓人【好一点的就加点所谓民俗】，到最后逆转成没有鬼全是人在搞事情。乍一看好像还可以，细想想，如果最后真相是这个，那前面装神弄鬼在干嘛？根本没道理，有这个时间，看点好的吧,20,53
Morning,2023-01-10 21:30:45,故事的拼贴感很重，第一个故事和第二个故事的衔接基本上是硬cue，虽然说从画像中发现陈国生，但处理的仍然单薄。由于讲述者是一人所为，而故事的调查者和倾听者与讲述者之间的关系没有架构起来，整个变成一个流程化的东西，大家确实是都知道罗生门，但故事仍然要回归于故事，而非永远在编织结构。这是把可以延伸的桥段彻底得用成了冷冰冰的工具。唯一的亮点是开头的童谣，这也是悬疑片的一个必然要素，可惜本片只用作了氛围背景，而不是去利用叙事，纸人做得很差，这是最要命的，完全没有“纸”的质感，以及和画像一样都制作粗糙，别说风格了。以民俗为背景，没有挖掘出更新的东西，还是重男轻女那一套，稍微研究民俗类的小说和影视就知道，这个主题是背后共同的，不足以支撑作为“结果”，结果陈旧，调查过程简单，作为悬疑故事，这就是一个失败的流水,20,29
