用户名,评论时间,评论内容,评分,赞同数
Y.Sir,2022-06-25 23:54:05,"文艺片和犯罪片的恰到好处的融合，促成了这部佳作。
远山处，层峦叠嶂，只缘身在此山。待云雾散去，淡影处，山峦互为映衬，不分你我。",40,60
乱世浮生,2022-06-20 20:34:29,为什么要用人石黑一雄小说的名字啊，明明一点关系都没有…,10,52
kiess,2022-06-19 03:44:35,服化道质感都在线，几个空镜很有感觉。探案中夹杂着一丝感性的思考，骨子里是个文艺片,40,56
寒狐传媒,2022-06-19 14:00:58,又名《人工天眼》,40,49
凸肚,2022-06-18 21:27:24,电影版《猎罪图鉴》，中国版《杀人回忆》，网大里的五星作品，无论节奏、美学、剪辑、故事、演技、氛围感都是对的，被时代伤害的弃儿，绝境中的女性互助，贫瘠土壤开出梦里花，复仇黑天鹅的金蝉脱壳，每一个元素踩在悬疑的点上。,50,68
ricoshi,2022-06-18 20:33:37,摄影略好，表演后期勉强及格。其他部分就都是问题了，2小时的时长水份太多，剪掉20分钟完全没问题，无论当初目标是院线还是网络，这个时长都是很难接受的。剧情方面，看了开头，推理爱好者基本可以才出一个大概来了，但是bug实在太多。推理方面，首先是当初的尸体被被刨出来没人发现真身。老警察的录音带自己听了也不上报，夜晚遇到强奸犯也没有后续，土枪来源避而不谈了，这都是明显的问题。新老警察配的经典组合却没有用好，缺少互动交集，老警察老发火，主人公明明啥也没影响他。两个女性的交集缺少铺垫，仅仅是一点点跳舞宣传片蒙太奇就把关系推上去了完全不够。再加上调色的泛黄老调子和现实没有区分开，表演上女孩见到主任就上去动手动脚等等问题。总之创作者的问题还是比较多的。,20,70
Ron Chan,2022-06-20 03:31:44,起了一个片名是石黑一雄的小说，然后一味的往《杀人回忆》的风格上靠，弄得十分的文艺，絮絮叨叨两个小时，其实故事打磨得很粗燥，逻辑上的漏洞太大了，之所以给三星是因为它居然是网大，以网大来说有这种资质就算不错了。PS：三个女演员我感觉都一个模样。,30,93
обломов,2022-06-19 09:07:01,像杀人回忆，罪案只是幌子，真正揭开的是时代的那道疤，最后那段独舞，仿佛一百年那么遥远，可望不可及的美,30,61
WellIgotone,2022-06-22 07:55:53,★★★☆☆ 导演的选景和对光与影的认识蛮好的，一看就是有摄影功底的，很多场景，慢下来截一副图就是壁纸。唯一不足的就是对案件的叙述与呈现，但是影片的完成度非常高，值得三星半。,30,38
4eyebrows,2022-06-18 20:25:30,很耐心地讲了一个故事，可惜人物深度不够，尤其是主角,30,43
不良生,2022-11-30 16:52:38,比大多数电影差一些，但也比大多数中国电影好太多。,40,3
zj@99,2023-04-23 07:08:34,2023年4月22日，可以一观。至少比吹上天的《尘封十三载》要好。10186人在豆瓣标记看过，8532人评分。,40,0
砹韧,2022-06-19 02:57:21,画面与调色终于像学过摄影了，但是各路人物动机行为漏洞百出。感情牵强，悬疑不足，整体很平淡。,30,59
Rex,2022-06-20 08:43:17,泛黄老旧的滤镜加持下，悬疑复古的氛围还算尚可；但是剧情而言，悬疑、文艺两手都没拍好，尤其是双线叙事下，两位女主的感情没有任何铺垫，两位男主的纠葛更是毫无缘由，莫名其妙；节奏上更是冗长拖沓，无数繁琐的独白更是降低观感,20,25
我不是江湖骗子,2022-06-18 17:33:59,女知青、文工团、芭蕾舞、照相馆、杀人案、画像师、悬案，这些元素被国产悬疑片翻来覆去地拍，比的就是哪个更有新意。显然本片从剧作和摄影上只能说乏善可陈，缺乏那种新意，最后的反转也没有丝毫意外。还有，和石黑一雄没有一毛钱关系……,30,26
回车挂扶桑,2022-06-19 12:56:48,这是一部诚意十足的剧情片啊。在最后的舞台上，严华看着林音的感觉一切文字都无法形容，光凭这一场戏，这部电影就已经无法被时间抹去它的价值。,50,28
