用户名,评论时间,评论内容,评分,赞同数
歇会儿,2023-04-28 19:22:16,到底是怎么做到电影中的每一帧都那么的赏心悦目，导演的审美很在线啊~,40,362
猫了喵的,2023-04-28 18:55:24,合格的奇幻爱情片，竟然逻辑可以自洽，周也贡献了职业生涯最好的一次演出。,30,331
空条奈奈,2023-04-28 19:04:15,中规中矩爱情片，可看，故事完整，但没什么惊喜。周也哭戏真打动我。有剧透⚠️⚠️⚠️搞了半天是男主许愿不对，女主误打误撞卡了命运的bug，许愿机制模糊……,30,64
土卫六,2023-04-28 19:28:12,超出期待值的水平，有几个点还蛮打动人的。男主和女主的颜没得挑，陈飞宇台词也不错，在电影院听有种给耳朵做马杀鸡的感觉,40,372
貓睡了一整天,2023-04-28 20:48:48,天宇和趙小棠不錯 挺鬆弛的 被誤會出軌全網罵那段劇情真是神預言了｜阿瑟講話能不能張開嘴啊｜不算爛片 但抄襲得太明顯了 扣一星吧｜之前聽OST覺得沒一首好聽的 結果放電影里立馬好聽多了,30,35
打更少女,2023-04-28 19:19:53,赶紧叫上喜欢的人一起去看倒数说爱你，借着电影表达心中的爱意。,50,303
张晋,2023-04-28 19:21:32,阿瑟脸在江山在，此言不虚。大屏幕看的更清，跟我朋友全程都盯着阿瑟的脸感叹帅,40,318
S.wallow,2023-04-28 18:44:54,觉得这部电影高低能看一眼的我，老了一定会被保健品骗吧,20,499
ViVi,2023-04-28 18:43:15,请不要在死神来了里面插播爱情片,30,43
Henrique Asano,2023-05-01 17:04:52,整体可看，但看的时候一直在期待一个更激烈的情节发展，该有的元素都有了，然后就没了。陈飞宇真的是个怎么捧都红不了的演员，整部戏都在给男主戏的前提下，还演成这样怪他自己了,30,13
演员kkkkkw、,2023-04-28 19:29:11,倒转时间，循环的奇幻设定，再掺杂着甜甜的爱情，这个设定真的挺奇特的，在爱情片里很少见，各种反转也很让人亮眼。,40,259
熏,2023-04-28 19:24:36,路演看的 答辩片子 低配版想见你,10,224
Melon 电影,2023-04-28 19:23:42,看完电影挺想跟陈飞宇谈恋爱的，也挺想跟周也谈恋爱的,40,226
高山 我梦,2023-04-28 18:08:52,拍一个歌的MV就可以了，没必要拍成电影,20,320
-洛榆-,2023-04-28 20:43:49,Olivia很美，其他随便。,20,65
一只小团团,2023-04-28 19:19:55,对于奇幻元素设定简直是毫无抵抗力啊，前后的各种细节都完全的对应上了。,50,268
大上海红牡丹,2023-04-28 23:01:51,没有烟火气的两个人还在那儿谈物质，太假了！,10,185
快乐小张,2023-04-28 18:10:36,"本来以为是超级大烂片，没想到还可以。不是纯无脑的爱情片，带了一点玄幻，有点意思。
除了非撞不可的两次车祸让我ptsd，其他的剧情还行，两位主演真的很甜，颜值还高。求求国产片别随便搞车祸了，换个别的死亡方式不行吗？
相互陪伴与成长、互相奔赴的爱情才是健康长久的爱情，沟通和信任永远是最重要的。我又相信爱情了，快让我遇到对的那个人吧！",40,255
小甜饼,2023-04-28 19:23:43,“对的人注定会相遇 比如此刻的你和我”，俊男靓女就是要拍爱情片啊！前面有多甜后面就有多虐～bgm好好听，祝票房大卖,40,171
twoworlds,2023-04-28 19:49:04,居然是一部及格的国产爱情片,40,172
背影III,2023-04-28 19:15:03,故事是一坨答辩，不过画面演员音乐啥的都挺给力的，总比给情侣吃《十年一品温如言》那种稀烂的答辩强,30,22
