用户名,评论时间,评论内容,评分,赞同数
窈七,2022-08-04 16:05:30,严正声明：牵手拥抱开房同居却不在一起的那不叫好朋友，那叫装傻装蒜。导演所要营造的恋人未满始终建立在双方形影不离的明恋状态之下，而二人关系在男主为女主留在长沙时便已全然变味。剧作始终没能拿出任何像样的矛盾冲突来制造两人不在一起的客观理由，却依旧我行我素地以暧昧的姿态消费着好朋友的身份，而女主草率复合与男主硬闯婚礼则更是走回了青春伤痛的滥俗基调。友情可贵是没看出多少，倒是坐实了异性朋友都心怀鬼胎的观点，而这种把爱情与友情混为一谈、百无禁忌的行为，到了全世界异性朋友都要给它唱“听我说谢谢你，因为有你……”的程度。,20,333
核仁烤排骨,2022-08-04 15:22:58,七夕节看两部爱情片，be率100%，我看你们还是嫌结婚率太高了……,30,326
Ber_雪碧,2022-08-04 23:57:35,6.5雨夜从旧的出租屋跑到新家那场戏最为精彩，突然的停电把两人困在当下，霓虹灯从窗外照进来，她一开口几乎要把两人的距离拉近为零。可惜这个男生兜里的280全用来买红酒了，连去酒店开一间房过夜的钱也掏不出来。电力恢复的一刹那，白炽灯把他的窘迫照得干干净净。,30,144
不留痕迹,2022-08-04 14:34:40,低配版《那些年》，都是在讲女生比男生更快成熟的故事，都在结尾的婚礼闹了场抓马，都是一段徒劳无功的爱情。但可怕的是男女主演完全不来电，所以在不在一起都显得莫名其妙。不过大学城的景真的是大杀器，那些下不完的雨，一起嗦过的粉、撸过的串、压过的马路，点点滴滴都承载了太多的回忆，对于在这个地方生活十多年的人来说难免手松。电影很假，但某一刻它让我想起了曾经的我们。,30,120
藍霺,2022-08-04 15:25:26,年纪大了看不得小年轻谈个恋爱磨磨叽叽～,20,109
啥姆雷特,2022-08-04 23:34:30,天呐你俩都同居了还死按着不表白说是朋友，好像真的有那个性功能大病诶；最后的场景真的有被雷到。另外长沙地铁2016年才建好一条线，希望编剧不要坐时光机谢谢。也就男女主的脸和摄影能看吧，阿门。,20,101
JoeyLu陆柏宇,2022-08-05 18:27:48,深刻反映现实，只可惜被片名耽误了,40,67
凯文·史派东,2022-08-04 16:24:15,还是光线青春片流水线一样惯有的尿性，剧情狗血到没法看，小七的颜值在大银幕依旧能打，可惜入行做演员起步有些晚了。,20,68
今 敏,2022-08-06 20:10:28,先说分数，多一星是给七姐的。电影还可以，是出乎预料的可以，也能看出来导演在某些地方是有想法，导致了想法也有点多，也可能是编剧的主要原因，就是实在太冗长了，就差在拍点生老病死了，两个小时的be爱情片，我觉得大家还是会觉得累的。但比起光线的其他爱情片，这部电影好在从上到下（除了客串）都没有大牌，所以所有人都很努力吧。,40,16
虚构天堂,2022-08-04 16:11:15,就这种矫情的片名都能出一个烂片序列了。赶紧打一仗吧，别TM疼痛呻吟了。,10,328
耳朵失灵,2022-08-04 15:18:41,青春片的主题真的永远是遗憾吧，永远别扭，永远不在该勇敢的时候勇敢，然后永远热泪盈眶。（题外话，冲着在我们学校取景看的，我给景德楼和岳王亭路还有我最爱的樟树和图书馆100分。）,30,43
豆芽菜也是cai,2022-08-04 15:07:39,故事看得我憋闷，尤其是男主怂的……真是太真实了……所以真实的我很憋闷。正常的情结、正常的演技，最终呈现出一部自然的电影。年轻的时候，尊严好像总是最重要的。总以为爱情可以挽回、还会有更合适的，却不知有时候最在意的尊严在人生中往往不值一晒……年纪大了，更愿意看些顺心的、高兴的……电影拍的不错，每一首插曲都好听，瞬间把我的情绪拉入人物。喜欢女主的演员和角色，演员演技自然，气质干净，角色坚强努力、不卑不亢，实在太优秀了。,50,121
黄悦_,2022-09-25 23:10:30,相爱相杀真的太虐了 明明都喜欢得那么明显了 还要好兄弟来相称真是太无聊了 从头到尾都没有说过喜欢对方 这两人都那么明显了还住一起了拜托你们矫不矫情啊 特欣赏导演镜头下男主的那份自卑脆弱 在1801新房的那段毫发毕现 我也很难说出“应该积极向上一点 去争取配得上人家” 我只知道男女关系中那么怂注定没有出路。女主第一次见但好漂亮啊！前半段学校酒桌上那种彪悍也很讨喜。有情人不能终成眷属 结局真让人难受。,30,5
seth,2022-08-04 15:29:31,整体上比较散，爱情片的人物动机、故事逻辑基本都是靠选角来实现的，还好这个片子做到了。,30,9
Jangco,2022-08-04 15:14:12,"#青春悲情片#
BE。如题，男女主在朋友以上、恋人以下徘徊。
对我来说，电影里让我感触的是青春校园生活。我也还有一年的青春校园生活了。这些细节还是拍摄挺好的。
而整部电影，就像是男主的悲情恋歌。
明明有很多次机会，男主都太怂了。很多次事情，双方都可以解释好。可就是没有。
结尾男主穿伴娘婚服，有一点点泪目了。",40,21
kdka,2022-08-09 16:17:13,导演审美天赋吊打大多数导演。镜头美感，场景选择都很好。剧情其实比其他青春电影难拍，因为流水账白话。冲突小。观众容易不满意剧情和人物。但其实吧。拍的挺既有真实感又有艺术美感。结合的很好。不像大多数青春电影。要么假又做作。要么镜头丑。,50,10
银敏悲,2022-08-04 16:28:13,谢谢，你们的样子一点都不像爱情，唯一能看的也就颜值了。,20,46
