用户名,评论时间,评论内容,评分,赞同数
核仁烤排骨,2022-04-29 20:20:38,这种电影才像阿斯巴甜，没有情感，全是人工合成，真不知道一直批量复制这种国产爱情片有什么意义…,20,1705
灬立花丶泷,2022-04-29 20:20:17,哪怕在健康的恋爱观下，国产的爱情片仍然是如此烂。,20,1672
春暖腹寒,2022-04-29 23:55:38,都2022年了怎么还在拍这样的青春片啊……！！！！！！流水化三不沾,-t,275
MooD,2022-04-29 21:33:36,编剧演员都挺好的 拍的挺MV的,30,147
基瑞尔,2022-04-30 15:09:41,我是真的讨厌异地恋，我是真的恶心恋爱脑。光线小生花速配连连看，随意指定俩人完成电影；谁懂为了辛云来在大银幕半永久当男学生，不停地看下去（狗听了都摇头.gif）。小旅馆里两个人在看《悲伤逆流成河》，一种“瞬息任敏宇宙”的感觉；有着分离焦虑（还不差钱）的两个人作天作地，不要来祸祸还忙着战胜封校限行的普通人了。,30,112
e,2022-04-29 20:14:33,看悲伤逆流成河的时候我说辛云来任敏都不错，未来戏路子一定很好。 然而他俩用一部又一部的烂片向我证明我当初的预言是错的。,20,1311
Emery_Hasio,2022-04-29 20:29:59,光线早已练就了一眼被鉴烂片的本领，特殊时期的被迫选择。在知道诸如“初恋情结”、“疼痛青春”等元素已经骗不了观众的情况下转向“异地恋”新思路，这个题材如果好好做一做形式化的内容至少是可以及格的，奈何导演和编剧功力太差，全片毫无剧情和节奏可言，连去年同期的《你的婚礼》都比不了，如果不是心疼票钱我可能前五分钟就离场了，拜托骗钱也拿点诚意出来，期待明年在315名单上见到光线。,20,655
滋养丰富风味绝,2022-04-30 22:54:33,就是看得我双脚扣地，两条眉毛上上下下没直过。,-t,111
eriediii,2022-04-29 20:44:54,原来这就叫花钱买罪受,20,533
nydzy,2022-04-30 22:56:15,"1.任敏的颜值忽高忽低，声音略微有点出戏。
2.不狗血，挺自然的。",30,53
欧阳夏川,2022-05-10 21:22:20,《我是真的讨厌这种像阿斯巴甜的电影》,20,67
凯文·史派东,2022-04-29 21:37:23,看完只想说，我是真的讨厌《我是真的讨厌异地恋》。,10,1166
糯栗,2022-05-30 11:28:29,"两人双向奔赴的暗恋呜呜好甜
同为异地恋的我真的很能体会女主的心理
女主不算作啊 男生不回消息就是会很烦啊
有事忙可以说一声但是不要一直不回吧
女主害羞的小反应真的好真实…
本人异地恋快三年了 每次隔一两个月再见到面真的会很尴尬很紧张很害羞…怎么会这样 
女主给我支愣起来 不要恋爱脑 哒咩
许嘉树你没事吧 一一世界里又不是只有你 
要先学会爱自己啊 男人 算什么东西
乔乔真好呜呜
别画大饼了男人 你说没说要出国的事啊
？？为了爱情放弃前途是我最不能理解的事情 
两个人都要一起努力变得更好啊",30,9
SundanceKid🌈,2022-05-31 23:36:14,或许有些恶毒，但任敏这台词念得，我真希望她演的是哑巴。辛云来的灵气也快在这堆奇奇怪怪的爱情片里消耗尽了,20,36
前进的小蝌蚪,2022-05-10 09:56:17,异地恋请看！！！忽而今夏！！！！！！！！！！！,20,58
失物招領,2022-04-29 20:14:24,希望每一次争吵都是让我们离彼此更进一步。,50,84
谋杀游戏机,2022-05-01 17:21:07,异地恋是个挺好的社交网络话题，片中分屏表现异地恋情侣同步生活那段挺好看，虽然不是原创创意吧，是电影向短视频学习的一个例子。时差党开着视频陪伴入睡、再坚持一下好吗等台词、悄悄关注潜在情敌也很真实，也展现了通讯方式的进步。但很多戏份还是太疼痛青春了，逻辑性不强。任敏别再演青春片了，挺好一苗子，上综艺被捧那么高，结果演员路越走越窄，这部里捏着嗓子说话装嫩好难受。辛云来简直是一根木头，哭戏演技堪称车祸现场，学渣女主为什么会喜欢他也没交代。这部里反倒是四番的周雨彤状态比较自然，角色也讨喜。陈宥维粉丝省省力气吧，他在这里戏份极少。,20,51
JoeyLu陆柏宇,2022-05-01 13:43:15,还行吧，至少反映现实,30,8
枇杷不是奇葩,2022-04-29 20:36:02,快跑，大无语世界，怎么会有演技那么烂的男女主角，女主一说话就难受，男主像木头，这剧情是散文拼凑起来吗，什么玩意,10,515
nobodyknows。,2022-04-29 20:35:01,"🆘 好好看！ 是我没想到的感人。 在我看了诸多国内垃圾爱情片之后，终于找到一部能看的了

这部爱情片反常态，没有堕胎、死亡、逼迫、爱而不得这夸张种剧情，而是讲刚在一起的情侣如何面对克服大学异地、异国的故事。 影片开头的动画好可爱，字幕词条小特效很应景。刚开始还有点不适应他们的对话，后面觉得好甜。

让我想到过年看的《花束般的恋爱》，意犹未尽呐",40,442
阿孝咕,2022-04-29 20:58:24,装腔作势，忸怩作态，一言不合就拍mv，浓浓的咖喱味儿!除了打情骂俏就是视奸别人微博，没别的事干了，矫情到每一秒都如坐针毡。虎纠的故事为什么没有虎纠口音嚯?!!,10,456
近箐辛,2022-04-30 00:32:10,他画的不是房子🏠，是饼啊,10,289
一枝红杏出墙来,2022-04-29 21:50:29,全程尿点，非常无聊无起伏的剧情，还剩半小时，我已经在倒数了,20,69
一点盐,2022-04-29 20:36:14,刚看完 感觉还不错 7/10 谈过异地恋的更加深有体会吧 抛开现实距离等因素 可能人与人之间全靠缘份 感谢所有的相遇相知 如果在一起没有好的结果 但是我觉得过程也很重要啊 所以要勇敢爱 当我们在权衡利弊的时候 我们可能并没有那么爱对方,40,303
痛苦面具,2022-04-30 00:31:37,本异地恋人很讨厌这种卖情怀消费异地恋的，可以说略有缺憾但是我们并不惨。这个年纪不是只有情情爱爱，大家有各自丰富的精神世界，有莽撞的事业心，独立努力共同进步，不见得比天天粘在一起的情侣差。说实话有时我还会感谢异地恋让人不至于沉迷温柔乡，享受爱情的同时还不算虚度青春，我相信真正合适的人经得起考验。所以这电影，讨厌异地恋你还不如拍一部讨厌新冠肺炎的电影有内容。,10,258
沫酱,2022-04-29 20:03:05,是真的难看，任敏台词黏黏糊糊，我恨疫情,10,310
桃桃林林,2022-05-30 19:21:53,感觉就是为了这个话题，专门编了一个故事，太水了。,20,25
我爱阳光,2022-04-30 11:56:33,冲着周雨彤和辛云来去的，后期的现实因素完美平衡了前面的青春校园甜宠，平淡温暖的生活细节让整部片子非常有真实质感。除了认真探讨恋爱和共同成长的关系，也兼顾了亲情爱情友情在人生中的位置。如果不是两个人都足够单纯坚定，也做不到在遥远的时间和距离中守护彼此的初心啊。不过，相信现实中真的有很多这样的女生，却不可能有几个这样的男生。最后拿出的厚厚一摞火车票太戳心窝子了，细节满分！不足之处可能是没有让男女主身边出现条件更好/更适合的异性，展开剧情，那才是真正的挑战啊。片尾的彩蛋放出了那些真实的异地恋情侣相聚的镜头，泪目。啊如果刚好有异地恋情侣约好了去各自所在地的影院同时看电影，就更有意思了。,40,285
许多多,2022-05-24 08:48:19,有他妈的零分吗,10,184
温岭阿浪,2022-04-30 01:32:13,"本片主打真实朴素的路线，没有许多偶像剧那样戏剧化的情节，因此片中会有一些点能够触动人心。
关于异地恋这个主题，其实我是很有共鸣的。因为我第一段爱情就是在自己大学毕业半年后，和一个大一刚入学的学妹谈的恋爱。当时我们每天都会互发消息，每个月要么我去学校，要么她来我家，我们彼此见上一面会觉得特别的开心。
影片当中，男女主角因为异地而发生种种矛盾，对对方的近况一无所知，无法天天与人相伴。虽然有着精神上的藉慰，但生活中依然是各自分割的。这种说不来是陪伴还是孤独的感觉，就是很多人在异地恋中都有过的矛盾心理。从这一点上说，影片对人物心底的把控还是比较到位的，至少能够戳中我心里的那个点，让我能在观影过程中不断的回味自己的过往经历。
此外，影片的男女主角都挺好看的，一些场景也都挺漂亮的。服化道方面比较用心吧。",40,309
王大根,2022-06-01 17:52:16,光线的男演员里最有演员相的就是这个李孝谦，不过要是一直只能演青春爱情片那也是得废了,20,17
乍暖,2022-04-30 12:14:39,轻松温暖的爱情电影，终于有中国导演尝试表达异地恋这个题材了。年轻演员们都有一种初恋感，谈恋爱时的谨小慎微、相互试探，为一点小事而甜蜜一晚上，尤其任敏演起爱情片来越发驾轻就熟，哭戏很有感染力。爱情不是用来考验我们要完成的任务，爱情是帮助我们探索一个我们原来没有机会探索的那个自己。在手机的气泡画面中，在一个又一个“想你”里，我们触摸着爱情的模样。想到詹青云讲的“我相信世界上没有什么一切不能通过努力和奋斗得到，除了人，除了那个人，除了你。”，愿异地恋的情侣能更有坚持的勇气。,40,18
朝阳区妻夫木聪,2022-06-04 02:13:02,无意冒犯异地恋的恋人们，但语境对我来说实在是失真，陌生到像是在看两个外星生物谈恋爱。情节实在是闭着眼睛一顿塞。周雨彤的角色应该是姬人设吧？虽然包裹得很隐晦，当然也可能是我过度解读，反正看完还挺想看她演一部真正的姬佬片的，戏挺好。相比而言，两个主角的戏都比较糟糕，任敏哭戏再灵也不能这么滥用，感觉她快被光线“毁”了。辛云来只有面无表情的时候是帅的，一笑起来就破功，台词也需要再加强。光线真的别再拍这种4、5分青春爱情片了，剧本AI生成似的一年能炮制十部，现在观众们真的没那么好骗的。,20,7
NarohllaiN,2022-04-29 20:27:42,周雨彤李孝謙兩星，整部破電影加男女主負一星，怎麼會有演戲這麽爛的演員....,10,230
灯火阑珊处,2022-05-19 19:04:38,挺好的，不狗血，两个相爱的人走到了一起。异国又异地的人看过了可能感触会更深一些，太难了。,40,19
肖申克,2022-04-29 20:07:45,只有周雨彤值得一分，周雨彤好美,10,144
Lullaby,2022-04-30 17:08:44,他明明可以抢钱，却还要浪费你两个小时。,10,146
黄悦_,2022-05-08 16:31:55,其实真的没有很烂 我知道里面的剧情全都被猜到 毫无惊喜毫无意外 但是异地恋会遇到的问题不是都被拍出来了吗？偷偷去对方的城市给惊喜、有事找不到人想尽办法找ta身边的人、奸视潜在第三者的社交平台、生病了不在身边会生气、久违见到面了会狂喜……异地恋可以开发出来的两个点 一是如何充实除了ta之外的生活 二是如何维持 这电影起码该讲的都讲了 只是讲得不好。任敏的鼻子好好看 有点像徐佳莹又像林允 演得也生动活泼，辛云来不好看 全程都木木的脸。希望所有异地恋的都能战胜距离最终在一起 不要像我。,30,14
丽地呼声,2022-05-31 16:18:09,任敏不错，但剧情寡淡，哈尔滨能拍出北京的感觉吗，俄罗斯式火车站当北京的，不妥，背景各种虚化，不舒服。,30,0
半糖去冰 ‘’,2022-04-29 20:54:28,拍的很好，下次不要再拍了，拴Q,10,99
喻鸣,2022-07-05 10:30:32,我是真的喜欢看年轻人恋爱，也是真的讨厌看年轻人恋爱脑。,20,6
谢谢你们的鱼,2022-06-02 11:13:58,就感觉是一个剪预告片和MV的人拍出来的电影，没有一个情节是可信的。,20,4
Hi Friday,2022-05-28 21:21:56,不过话说，异地恋我是真的不能接受……,20,2
姜小轩,2022-04-29 20:28:46,五一档没撤片的青爱情电影，光线传媒流水线的青春电影。这次真的不错，不狗血，满满的狗粮，甜分简直超标，辛云来和任敏二搭，弥补了悲伤逆流成河的遗憾，这次不只是顾森西和易遥，这一次也是林嘉树和赵一一啊,40,243
心平气和,2022-04-29 20:58:24,很轻松啊，还以为会很虐。。。赵一一手机掉在马桶里那段我整个一个爆笑，像极了我闺蜜遇到恋爱“难题”找我支招的样子。谁恋爱的时候身边没有两个出馊主意的“狗头军师”呢哈哈哈。感谢导演最后HE了！,40,238
西楼尘,2022-05-03 23:35:47,国外的研究可以带回国内进行，厦门的实习可以跑到北京完成，你们还何需赢过距离？当一个女孩收到了闺蜜的鸡汤，第一时间是想着给远方的男朋友也点上一份，而男朋友还送给他的室友喝，大概率这个女孩已经同时失去闺蜜和男友了。异地恋不是阿斯巴甜，失去自我的爱情才是，你讨厌的是只能依附于他的自己。,10,61
Kitty🥂,2022-04-29 21:14:54,这什么啊！小学生作文吗！😡,10,143
尘嚣,2022-05-29 20:44:18,"一直有个疑问，火车进站根本送不到站台，包括《薄荷糖》《爱有天意》《独自等待》里面也是，按我的浅薄的实际经验，除非双方都买票然后有个故意不上(我为啥要较真啊)
可是如果不较真的话咋知道看了个闭门造车的异地恋mv。闹腾的青春不存在，恋爱脑活不过甄嬛传半集。那全身心为爱奔赴有错么，那请看看保奈美如何在车站留下一个手绢",20,4
疼疼（电动版,2022-05-08 10:43:01,就很迷。。,20,7
Tom,2022-05-01 23:05:53,逻辑演技乃至颜值统统不在线，除了女二是我的菜，其他的都是负分,20,27
木石子,2022-04-30 01:06:37,对于所有有过“异地”经历的情侣来说，都一定能从电影里看到自己。不论是一张张火车票，还是一次次胡思乱想的猜疑，反复输入又删除的聊天对话框里，藏着距离阻隔不断的思念。没有狗血做作的煽情，只有真实细腻的日常。全片最打动我的是两个人相恋四年才终于在民宿里体验了一次住在一起的幸福，那天晚上幻想的未来，那样简单的日常却难倒了两颗真心。“别人在恋爱中分开，我们在分开中恋爱”，多少人在电影院因为这句话落泪，而多少人在现实中体会这句话的无奈。尤其是现在，当疫情拉长了距离，甚至制造了距离，庆幸还有这么一部电影，提醒我们应该如何去爱，如何把距离打败。,40,123
国王KING,2022-04-29 21:59:50,和朋友看的。她说有些台词简直就是她的心声，「在一起的每一秒都是倒计时」，这部电影是她们很多人心声的写照，一年的时间那么长，但只能见上那么几天。和电影的男女主一样，从一开始的新鲜，敏感，到疲惫，虽然恋爱很甜，但里面还是会有一丝苦涩。,40,66
光线公主任敏,2022-04-29 21:51:57,请光线放过青春片，请任敏放过青春电影，虽然没有狗血堕胎梗，但矫情文学铺满，女主的台词男主的面瘫演技……全片的高光是特出周雨彤这个反矫达人给的。,10,75
不良生,2022-04-30 14:46:49,一部小甜片，也混杂着柠檬样的酸。中年人如我一边看一边恨恨感慨：这该死的甜腻的爱情。几个年轻演员都完成了角色属性，任敏的娇俏灵气小可人，辛云来的沉稳内敛和踏实感，周雨彤碎碎念的狗头军师式情感知心大姐姐，没有感觉任何违和。不讲述人生大道理，只有爱侣间细腻琐碎的日常小事，但谁说不是人生大事呢，毕竟张爱玲说，“年轻人以为三年五载就是一辈子”呐。,40,1
🐒🐵🙊🙈🙉,2022-04-29 21:06:56,光线真是一贯诈骗，狠狠避雷光线爱情片,10,128
🌞娘卷卷🌙,2022-08-26 00:18:55,男主……直男都直呼丑,-t,0
杨凡之,2022-04-30 15:47:09,以异地恋为切口，剧情比较简单，有些矫情生硬，配乐太满情绪不足，虽然但是，任敏还是可以的,20,20
暗地妖娆,2022-04-30 14:43:15,爱情不好写更不好拍，一不小心就会变成无脑甜，但本片不是；这部有内核略带沉重感的“小清新”，实实在在的凝聚了日常点滴，做到重在细节；教人想起彼时看叶念琛的《天生爱情狂》，也是真实到连扭曲的部分都呈现得明明白白。信息发达时代的网络追索、患得患失的远距离守候，以及无处不在的时空考验，促成了甜中带酸的异地恋。那份嗲腔嗲调的忐忑与痴情。相信所有爱过的人都懂，更信所相隔两地的情侣都懂。,40,6
爱看电影的球,2022-04-30 10:02:54,我是真的觉得任敏没有女一相，演什么都是苦相。,10,94
百代过客,2022-04-29 21:35:05,开始我还想着疫情下有新片愿意上是不幸中的万幸，看了这片子我觉得这是万幸中的不幸。,10,96
mpor2,2022-06-03 02:21:03,顾森西和易遥在一起了呗～辛云来特别适合这种学习好的傻直男～男二有种别样的帅气～好喜欢周雨彤演戏呀～,30,3
蓝抑郁剂Lily🌈,2022-04-29 23:15:21,爱能克服远距离，多远都要在一起～～看完这部电影脑海里浮现的就是这首歌，异地恋谁能不讨厌啊！但是因为两个人是双向奔赴的爱所以克服了万难最终还是he了，现实中可能遗憾更多吧～不过也正是因为有遗憾我们才更要学会珍惜眼前人,40,58
顾宝言大美女,2022-05-02 01:50:10,怎么会有一部电影从头让我难受到尾，刀姐问我是不是有爱情过敏症,10,43
有志向的三流,2022-04-30 20:24:25,果然，国产爱情片接近于毫无希望。,10,55
歹喜虎,2022-05-03 01:39:03,两个大男人拍点什么不好，何必强人所难？作为厦门人，感觉有被侮辱到。我是真的讨厌《我是真的讨厌异地恋》。,10,35
豆瓣路人己,2022-05-29 00:51:10,我是真的讨厌光线青春电影，但也是真的很爱看哈哈哈哈哈哈哈哈哈哈。这部电影置景、妆化不用心到一个极端了。别再吹任敏演技了，在候车站门口时，被男友偷亲后“你干嘛”。真的把我吓到了，搁这儿演惊悚片啊,10,11
牛奶很忙,2022-06-07 22:12:47,看明白了，异地恋的本质是精神stalker，周雨彤太可爱了叭,20,3
瓦瓦,2022-04-29 22:28:29,"原本还以为会狗血尴尬，没想到轻松可乐又真情实感，易遥配顾森西，老阿姨全程姨母笑。看年轻人谈恋爱真的甜到心里发酸，看完后好想再拥有一次这样义无反顾的心境。
遗憾的故事太多，听久了爱情观也越来越消极，好像大家都逐渐忘了最初选择这个人时，仅仅是因为对方在你眼中发着的光，即使隔着山海都坚定奔向TA。",40,5
Pincent,2022-05-02 23:18:20,35/100 什么整理并阅读各种老梗的电影？编剧就是空想吧，一天能写几个这种剧本？不说别的，就说大部分人听自己的声音录音应该会觉得很奇怪吧，怎么想到用它做一个结尾关键性的礼物道具。哦...所以在国外待着就一定会被打咯？编剧不要想当然。整部电影就是拍出来给年轻演员们熟悉熟悉表演用的咯？简直是极为僵硬无魂的偶像流水线生产品。,20,5
沈笑,2022-06-08 21:36:29,光线很努力找了个差异化角度，却总觉得少了点什么，没有让人动容的细节，失之浮光掠影。另，任敏的声音有点跳脱。,30,2
YiQiao,2022-05-30 13:11:45,虽然讨厌异地恋更讨厌疫地恋 但最讨厌的还是这类全是工业糖精的所谓青春爱情片 有钱干点什么不好要拍这种电影,10,5
我可能是个演员,2022-05-06 12:27:33,1.男主根本不会演戏，每句台词，每个动作，每个场景简直是灾难级的表演。2.中间给男主女主安排的可出轨对象竟然毫无作用，价值观、恋爱观如此之正，实属意外。3.电影还不如开头一句旁白带过，中间一直到结尾真的没有一点可看的地方，说流水账都有点牵强。4.都2022年了，还能在影院看到如此愚蠢的电影，只想说，求求了，51别在坑害劳动人民了。,10,35
土豆牌,2022-04-30 15:59:23,从罗密欧与朱丽叶开始，电影里的爱情难题似乎都有如鸿沟般巨大，不是家族世仇，就是生死两别。异地恋，多么平凡琐碎、多么常见又深刻的爱情难题啊，这么多年还是第一次在电影里看到…只因为这样的情感表达太细微隐忍，太难出彩了，别人的爱情是“you jump I jump”，而你可能只是电话里吵一架。这样的电影无疑是走心的，这部电影显然成功了，至少走入我的心里了,40,2
张婧仪,2022-05-02 00:01:05,任敏你在干什么…….,10,34
Alein,2022-06-18 15:13:48,辛云来去补拍夜旅人吧……………有这么差吗？我感觉跟周冬雨女士的电影没区别？,30,2
豆友181716799,2022-04-29 20:41:05,太烂了，周雨彤值一星，另外一星给我顾森西和易遥,20,51
凉,2022-10-09 21:11:13,工业糖精都算不上吧，糖精至少还带点甜呢。 #关于我闲着无聊在电影院里都看了些啥  202205某天的幸福蓝海,20,1
WIKI魏,2022-05-12 04:05:28,又名《我是真的讨厌工业糖精》，恋爱脑不建议看，智商情商咔咔掉。《悲伤逆流成河》种草辛云来，不断拍烂片致下头。再次应征「国产片标题太长大概率烂片」的魔咒。,10,9
失之我命,2022-05-03 13:07:23,国产还能不能拍出能看的爱情片...,10,29
Panda的影音,2022-07-04 22:33:06,好在，我观看之后，只是真的不喜欢，而不至于是真的讨厌《我是真的讨厌异地恋》这部片子。,10,2
相信,2022-05-03 13:58:14,全程无笑点、无泪点、无剧情……,20,22
咚咚咚🍃,2022-05-03 01:35:50,我愿称之为烂片之王,10,45
白玛,2022-04-30 17:32:53,青春荷尔蒙快要溢出屏幕了，很真实，这就是青春呀！我在18岁高中毕业时，也开始了一段异地恋，两年时间里，我在西安，他在西雅图，我的中午是他的晚上，我的晚上是他的早上，每天打4、5个小时电话，有时什么也不说，就那么开着通话，我们就陪伴在彼此身边。电影里的异地恋20多个小时火车就能见面，我们一年只能暑假见一次，见面时真应了电影那句台词“在一起的每一秒都是倒计时”。大概每一个人经历过异地恋的人，都会被这部电影的各种小细节和台词所打动，它带我回到了18岁。,40,3
kakakarl,2022-06-03 12:44:44,"才看完《暗恋》的我，怎么又是辛云来，青春片男主含量也太高了。太清汤寡水了，故事一眼看到头，还不如改方慧的小说《手机里的男朋友》。",-t,2
ZHANGWANHE,2022-04-30 00:47:13,很适合调节当下紧张、压抑氛围的一部电影，是难得轻轻松松的观影时光。异地恋是许多小情侣绕不开的话题，电影捕捉到了异地恋里的甜蜜和艰难，同时也告诉每一对经历或未经历异地状态的情侣们，该如何携手走过并且成全彼此，从而在一段好的恋情里面找到更完美的自我。另外卡司值得！！全是帅哥美女，光看帅哥靓女谈甜甜的恋爱就足够发出姨母笑了好吗。任敏真的可以期待一下，长相很有特点，眼距宽，脸盘子小，类似于文淇的长相，可以尝试在大荧幕上的不同类型的角色，未来可期！,40,3
盲忙,2022-04-30 10:05:09,异地恋并不可怕，因为身体的距离并不必然带来心灵的距离，想一想吧，同一屋檐下的两个人，有时候彼此的心不也是南辕北辙吗？相比于感受不到你的温度，更糟糕的其实是抚摸不到你的心灵，无法第一时间分享你的喜怒哀乐。那句“在一起的每一秒都是倒计时”最为戳人，虽说总在承受相思之苦，但那种久别重逢的幸福，既是一种恩赐，也是一种考验，懂得经营与坚持的人，自然能无限放大其中的美好，从而成就更好的彼此，而那些不懂爱的人，就算成天厮守也会活成异地恋，用抱怨消磨掉彼此最后一丝温存。,40,0
想到处走走,2022-04-30 03:57:40,男主演技不太行，看不出来对女主的爱，导致好像只看得到任敏这个角色的恋爱脑。不难看一般般，个别剧情有点迷，完全不需要的无效剧情，不知道加里面干嘛？陈宥维这个角色一整个就是个无效角色加进来是干嘛的呢？就混个脸的吗？总之不难看一般般的有点无聊爱情片，然后只看得到任敏周雨彤的演技。,20,25
醉梦·聊生,2022-06-05 14:24:05,爱让距离失效，影片却展示了各种因为距离拉长而造成的心慌意乱，异地恋太苦，熬过异地恋的人屈指可数，不在对方身边，就算视频、信息不停歇，也无法涵盖对方默默的艰辛付出，而克服异地恋的方法，只有让步，但没有距离的爱也并不让人心安。,20,1
红皇后,2022-06-05 10:52:18,就不评分了吧，毕竟男女主角都是当年我看上的人。,-t,0
空,2022-06-10 00:21:20,任敏演得好好。不明白评分为什么这么低，我觉得好真实好真实，今年九月我就要迎来异地恋了，我们也会是这样吗？,40,1
Pacy,2022-08-07 13:00:58,我也是真的讨厌,20,1
乌鸦火堂,2022-06-08 12:34:51,"这种片子拍出来简直是中华文化的糟粕。

看似有着相应话题度的题材，其实全片内容90%跟大部分爱情片一模一样。台词造作，内容浮夸，剧情推进全靠旁白。尤其两位主角的戏份，感觉就是拍不下去硬编的那种，还不如周雨彤、李孝谦这一对儿有看点（二位也是全片唯一的亮点，尤其是李孝谦，想要有出路，赶紧跑）。

大好年华，青春正茂，却整天在这忸怩作态，等着被社会毒打吧。这种脱离现实、远离生活的爱情电影，别说《花束般的恋爱》了，就连去年《我要我们在一起》都不如。

PS，光线出品，不用想就是结尾又采访一堆素人。张一白都不跟你们多少年了，还搁着临摹呢，好的不学光学些没用的？这叫黄鼠狼下耗子—— 一窝不如一窝。

PPS，任敏出演，必属烂片。",10,3
烈焰红唇龙,2022-06-08 12:38:30,工业糖精，含糖量高，写实度差。,20,3
男娼起义,2022-06-03 20:40:17,分别总在雍和宫~所以总是加班的光线总部才是异地恋源头。,20,1
momo,2022-04-29 20:42:22,颇为触动，美好的爱情总是让人向往。从开始的异地恋到最后的异国恋，彼此可能质疑过、迷茫过，但终究没有放弃对方。羡慕每一段坚持的爱情。,40,66
窈七,2022-05-07 23:17:05,事实证明，以我的年纪基本已经告别这种每天靠谈恋爱活着的故事了。光线依旧停留在悬浮宇宙里谈情说爱，异地中的争吵、人生轨迹的交叉无一不丧失了现实的分量，被弱化成为一次次亲亲抱抱就可以化解的普通危机。爱情的顺利与否成为叙事唯一的焦点，女主始终沉浸于依附对方、失去自我的状态，从未能真正实现角色成长。坚定地爱一个人是勇敢的选择，却并非忘记自我的理由，有情人终成眷属可以成为任何一个爱情故事的终点，却不该是掩饰精神匮乏的遮羞布。青年演员的角色刻画与过家家无异，摇摆于木讷尴尬与五官乱飞之间。反观，异地恋所真实经历的酸甜苦辣，又如何能被过饱和的美颜滤镜、粉饰美好的工业糖精所概括，不过是又一次消费主义对现实问题无情的利用而已。,10,13
kiefan琪凡速写,2022-04-30 00:47:22,如果时间可以回到那一年的夏天，我想那时的我要是能像电影里的一样再坚持一下就好了呀。确实有被触动到，任敏演的赵一一对于异地恋情侣心理的刻画真的很细腻，回想起那时的火车票和电话卡依然感动，而时过境迁再看当年分隔两地时的猜测和怀疑则感到可笑。如果当时也有那么一个人，傻里傻气地在冰上画一个房子给我，大声呼喊着让我坚持一下，信誓旦旦要给我一个家，那么，结局是不是会不一样呢？,40,2
very moment,2022-06-16 14:48:51,想一个选题，倒入换汤不换药的伤痛鸡汤文学，光线量产青春片烂得都是这么千篇一律。,10,2
小鱼指北,2022-04-29 20:26:28,拍得挺好 就是有点不好看…这种程度放在摄影作品里还是蛮好看的 周雨彤很美 全剧唯一亮点^_^,10,53
牯岭街的山羊,2022-04-29 21:18:08,烂，根本就没有13、14年的年代感，两个主演老气横秋演学生十分蹩脚，演的太不自然令人生呕，毫无剧情可言，只有永无止境的MV感。,10,60
 ,2022-06-04 14:55:29,工业糖精,10,3
想到处走走,2022-04-30 03:57:40,男主演技不太行，看不出来对女主的爱，导致好像只看得到任敏这个角色的恋爱脑。不难看一般般，个别剧情有点迷，完全不需要的无效剧情，不知道加里面干嘛？陈宥维这个角色一整个就是个无效角色加进来是干嘛的呢？就混个脸的吗？总之不难看一般般的有点无聊爱情片，然后只看得到任敏周雨彤的演技。,20,25
怦怦慌慌,2022-10-22 06:51:19,2022年度最烂电影之一,10,1
蓝霉沉皮,2022-06-13 01:57:59,不翻拍的虐恋，瑕不掩瑜。对非恋爱脑、非异地恋经验者也不按头强煽，观感不抗拒。剧情紧紧围绕异地恋展开叙事，不知道评价里都在骂的堆砌狗血在哪。女主暗戳戳疑神疑鬼+找到自我决定好好过大学时光，是整个题材和女性电影的闪光点。男主谨记男德，不乱来不冷暴力不自私选事业还会换位思考还会出其不意地表白，好到怀疑人生。第三幕不能看，逻辑没有，大可不必。黎晛“遵循着发现矛盾——解决矛盾——煽情——跳时间线，然后重复的流程，非常工业化。而这样的流程重复了至少十次”。男二女二线不建议再做成异地恋胜利，剧情无法参照，也不能推动主线，纯在看周雨彤个人风格秀。,40,0
大冢绯沙子,2022-04-30 10:57:04,每个谈过异地恋的人都会有很多故事吧，多年后这些故事也许会变成闲聊中的笑话，也许会变成深埋在脑海里的记忆。作为一部讲述异地恋的电影，最打动人的自然是那些源自生活的细节，谈过异地恋的人一定会有强烈的共鸣。异地恋大概也算得上是一种年轻人的特权，电影里能看的到自己恋爱时候的样子，或许冒着傻气，或许有勇无谋，也是青春的醍醐味。整体来说还是部轻松向的电影，被疫情压得喘不过气的现在，甚至也许不得不与重要的人隔离，可以暂时放下沉重的心情，回味一下与人与人之间心灵的联系。,40,1
陈天润,2022-05-03 01:03:51,我是真的讨厌恋爱脑😅一部电影让我翻了二十多次白眼🙄,10,31
