用户名,评论时间,评论内容,评分,赞同数
人间喜剧观察家,2023-04-15 08:28:41,点映看完了，以下只代表我自己的感觉，没有任何参考性与客观性可言，只说两位新帅哥，向东流，意外的居然不油腻，这种类型的帅哥，演绎不好真的是会让人皱眉，但剧本和演绎都不错，刘静和他隔着厨房玻璃沟通那段真的很棒。另一位帅哥罗kk，帅是真的帅，但是每次镜头单独给到他脸上的时候，我就觉得电影的信息量骤减。我理解的是：他是个gay，但是在打游戏的时候发觉，他居然还挺喜欢夏梦的，就开始怀疑自己的性向，反复试探之后，然后在发现，原来一直和我们打游戏的，回答了我问题的人是夏梦的男朋友啊，我果然还是喜欢男人的（笃定的微笑），夏梦姐，我是想和你做朋友的，因为我们喜欢的男人的类型都很像。,50,980
壹安²,2023-04-15 11:32:55,@电影小时代 所以你现在知道为什么大家都diss你了吗？,40,1109
王大根,2023-04-13 22:37:18,这系列以后得是宝贵的历史资料，差不多是唯一一部能记录疫情时代都市生活的非主旋律片了吧,30,1960
不留痕迹,2023-04-15 00:15:59,作为剧版的粉丝觉得非常满足，虽然依旧是狗血不断麻烦不断的小打小闹，剧情也没啥实质性发展，但胜在紧紧围绕剧迷最爱的闺蜜间的相互扶持和作为现代女性的成长与诉求展开，不说教不谄媚，表达舒适自然，吐槽也毫不含糊，最终成了一出闺蜜版的《志明与春娇》。谁要一直看霸道总裁和特种兵啊，这才是现在观众最爱的大女主人设好嘛！另外陈正道这次的gay密线是kk？,40,698
德小科,2023-04-14 01:52:24,她仨如此可爱，让人甜蜜并快乐地忍受这差强人意的、（或许是为了演员档期而）强扭到捉襟见肘的剧情。只有夏梦的故事称得上是自然发展且完整的，取舍是技巧，感觉编导都尽力了，略带遗憾但还OK啦！华语太缺这个类型了，私心希望他们可以大胆尝试欧美季播剧的模式，合同制年更，让这个IP有机会多活几年。（为面包师鸡叫一整夜,30,702
蒜 | BOY A✎,2023-04-15 11:46:38,剧粉大喜！冲起来！我们需要这样的电影，无论是爱情还是人生，年轻人的世界永远充满无限可能。不会因为年龄到了结婚，哪怕有了孩子也可以不着急结婚，女性可以成为兼顾事业和家庭的上司，男生不需要有羞耻感，女生可以勇敢创业，即便在爱情里也不放弃探索和寻找自己，人生除了爱情还需要姐妹。这些打破社会主流刻板印象的价值观，是对每个人的尊重，也是对所有人的解放。,50,589
大奇特(Grinch),2023-04-08 17:09:16,正道许导太能驾驭女性题材了，并且真正懂女性，其他直男导演望尘莫及。开篇以探店讲故事的方式切入，既交代前史又扣主题，非剧迷也能迅速代入。三条线齐头并进写姐妹们在现实生活中的羁绊，关照女性欲求与困境，不时迸发着调侃跟自嘲，带有最具当下性的女性视角，甚至还有密接转运这样的贴地飞行（剧版就是最早引入疫情元素的影视）。学生时代没能完成的舞做到了有始有终，许下的规矩也在最后时刻结果，一切都是扎实的剧本结构带来的。本以为我不是目标受众，没想到也能被打到！,40,315
寒枝雀静,2023-04-08 19:06:58,D＋/ 羊水和呕吐物（差点）齐飞，广告造型搭配真情告白；妇产科入侵王者荣耀，初中女团舞拳打《友谊地久天长》脚踢《爵士春秋》……依然是关于都市生活所谓矫饰与本真的精彩展演。这种模糊性在短短的篇幅里如此细密地嵌入语言、声音乃至空间。陈正道无疑抓住了这些现实的裂缝，并以审慎的笔触开掘其想象空间。可惜全片仍受限于院线电影体量下太过死板的编排逻辑，所以神秘的裂缝之外仍有太多扁平的顺拐……但作为剧粉依然可以看得很开心。要是能再摔几束花丢只鞋子多戏仿几段《小时代》就更好了！（不是）,30,93
小青龙🌈,2023-04-05 17:04:01,7.5。最可贵的是它坚定的传递了一种女性源自自信的力量，在家庭，婚姻和事业中女性依旧可以去自由选择，不依靠或寻求其他人（特别是男性）的帮助而独立的存在，即使前方困难重重，我们仍有理由相信，女性的力量是足够强大的。,40,324
亵渎电影,2023-04-15 00:41:46,剧版的粉丝不要错过这次的4集加更，一口气看4集，大银幕追剧太欢乐了。点映场的男观众有不少生活西化的集美，白恩秀腹肌的时候，听到了某个集美的鸡叫。剧版的优点也都在，还是那个感觉，而且最后上价值的时候，比剧版收敛了很多，更加舒服。三姐妹身上承载着当下女性的会遇到的各种社会议题，加的都很自然，更关键的是，导演能拍出同类国产影视作品里拍不出的生活感，很接地气。超爱三姐妹的写法，很多人想做美剧，但还是传统的写法，这是第一次看到有人这么写人物，有了真正的美剧味道，已经开始期待第二季了。,30,49
栗子酱,2023-04-14 15:45:21,及格的粉丝特供。比较失望这么多痛点又拿跳舞解决了…,30,77
畅游瓜皮乐园,2023-04-12 20:30:51,"看的点映，五星推荐
陈导我原谅你拍秘密访客了，多拍点三姐妹吧",50,287
酱爆桑,2023-04-15 00:03:58,【8】大银幕看电视剧，依旧是女性且当下的，尊重女性是第一前提，视角与表达依旧为女性发声。延续剧版的敏锐与犀利，小妞姿调火力全开。不断幽默和调侃自己，让人感知女性的魅力。拍都市男女生活法则神话，塑活了三位性格不同却能互补都市女性，都市背景和疫情生活姿态不再是生硬背景板，是鲜活的，是存在过的。打破偏见，她们是女性，爱也不是第一要求，爱不仅是爱情，爱是自己去体验。陈正道真的别折腾豆瓣5.2，7.1的科幻悬疑了，可以继续拍下去，我们Chick flick之光，我们小而美之光！！我们小鸡电影的大银幕复活，不仅是因为一切都是鲜活drama小时代的，更因为，爱~~很美味！,40,442
徐若风,2023-04-09 23:50:47,我好爱，剧粉狂欢爽片，陈正道拍出了我理想中的《小时代》。影版延续了剧版轻盈的叙事质感，戏剧化与生活流的叙事并存。场景、情境完全跟随人物展开，三姐妹不断变换的支线、两性议题，表面上是无数彩蛋和笑点，底层逻辑则是对都市生活现状细腻敏锐的观察与抓取。对没看过剧的路人观众来说，可能会有门槛，因为主线不明、表达混杂，线索断得莫名其妙。但对剧粉而言，则是另一种样子：在密集的台词、情感细节里，构成观影的巨大张力和魅力。对YQ元素大方的处理，回扣向第一场戏三个女孩站在台上勇敢发声，很有勇气！,40,303
Afterrunmaster,2023-04-15 17:34:26,搞不懂为啥一定要拍成电影，就挺普通的，三位姐美死但是最后导演你是在拍什么。。。。。。,30,65
Emery_Hasio,2023-04-15 09:09:09,"影版规格的缩减叙事下依旧以生活流作为创作蓝本，除去导演的私人表达之外几乎没有参照英美大女主都市群像戏玩不适配的婊气cosplay，反倒衍生出本土色调下的社会切片样例集锦，对多元女性议题的暴露选择自然埋设，从根源上摒弃了低级的直面摁头强塞，既不功利也无爹式说教味，在引发“吃女性题材红利”的潜在声讨中先声夺人，观感非常舒适；
“你真信了？我骗你的”，陈正道用了一种唾弃廉价狗血情感的方式重申剧作基调，持续反常规、反套路、反刻奇，保留人物原始缺陷，灭掉传统的主角光环，深化对女性心理的洞察和对多类情感剖析的细腻性，多处饮食描写拓宽了对主题中“爱”的探讨，开篇对《小时代》的致敬比起理解为雌竞下的调侃更偏向看作是多元女性群像的合理共存。
真诚希望这个ip能够继续做下去，至少在现环境下它是异常可贵的…",40,334
朝阳区妻夫木聪,2023-04-13 23:08:24,太好看了吧哈哈哈哈哈，全程俩小时乐成尖叫鸡谁懂啊！虽然基本每一步都踩在预期上甚至细细想想还有点俗套但我真的还能再看一百集！陈正道你第二季不搞快一点我是真的会生气OK？！最后，守护全世界最好的陆斌小天使呜呜呜……（此条短评自带粉丝滤镜谢谢）,40,197
不是很妙阿森,2023-04-15 14:00:47,女性且当下的小妞童话，输了总会赢、失败了总有新奇遇、坏天气中也有好运气、失败的表演只是彩排，吵架了也总会和好。,40,144
