用户名,评论时间,评论内容,评分,赞同数
So So,2023-04-28 20:06:21,真正的沟通，不说话也可以，但必须真诚,40,538
没有好电影看咯,2023-04-29 18:04:22,谁大晚上去岳麓书院啊？谁命那么大，湘江随便跳啊？,30,602
蜡笔小新,2023-04-28 20:30:59,看完了，张艺兴的台词真的挺惊艳的，长沙话特别好听，装扮很贴切角色，眼神戏很有层次感很丰富，和妈妈的拥抱这里也很感人，第一次脱口秀讲的时候大家都冷场的表情转换到生气，表演的很自然，第二次在讲的时候戏里的他更坚定更有信心了，这里的表演也很打动人，很明显能看出和第一次眼神的不一样！导演把长沙拍的很生活化，街道人来人往的人群，巷子里的一家家小吃店，一群人围在一起吃顿饭，也许生活就是这样，家人朋友在一起，哪怕是嗦一碗粉，也是幸福的，看完了只想快点去到长沙，下个月马上去，哈哈！,50,1234
没错是我呀呀呀,2023-04-28 20:23:37,看完电影直奔大排档，在一天忙碌生活结束之后继续开启下半场。虽然不在长沙，但是《长沙夜生活》展现的恰恰是生活在城市一角对我们。充满烟火气的生活，就算疲惫也吹刷不了我们的幸福感，如果有更大的烦恼，不如就去嗦一碗粉吧。,40,721
Ber_雪碧,2023-04-28 23:12:01,著名编剧张冀老师首执导筒，把一篇洋洋洒洒、有笑有泪的情书献给心爱的长沙，他所有饱含深情的遣词用句，都从银幕之上穿越而来，送进了每一位影迷的心里。有了《长沙夜生活》，我们就有了中国本土的《真爱至上》和“爱在”三部曲系列。影片讲述的，其实是“中国夜生活”，充满烟火气的、色香味俱全的、独属于中国人的夜晚，它是刻印我们每个人记忆里的家乡滋味，是几代人共享的对美好生活的殷切期许。夜晚结束，新的一天就将开始，日夜循环，构成一个又一个七日。影片围绕几组人物展开，有搭伙夜游的景为为、何西西，有坚持用长沙话讲脱口秀的何岸，还有守护摩天轮、经营大排档的各色人物。在这个奇妙的夜晚里，人们相遇、争吵、纠缠、和解、失去、放下，好在当清晨紧接着夜晚的脚步越来越近，他们都找到了各自的答案。,50,794
豆瓣路人己,2023-04-28 22:44:48,内地市场里，算是很特别的创作，也肯定会是有口碑争议的片子。有想法的地方真的非常好，但糟糕的地方非常糟糕，尤其没有捕捉到城市真正的呼吸感。#2.5（张艺兴可以提了一个金鸡男配,30,847
方式语言,2023-04-28 21:44:38,预料之中的观感，像综艺、像段子、像纪录片、像小说、像电视剧、像旅游vlog 、像脱口秀、像短视频……啥都像，就是不像电影。可惜的是前四分之三还能看，后四分之一从跳湘江开始全线崩盘，各种侮辱人智商的情节连连上演，影厅里笑声此起彼伏，很乐。,30,82
武侠小王子,2023-04-28 21:37:36,确实不是想象中的城市宣传片，情感浓度很高，很浪漫。创作者对长沙这片土地的情感，投射到每一个角色身上，又通过角色间的情感碰撞传递给观众一种关切，一份治愈。看完不难理解为什么张冀要拍这样一部电影，对小人物的精准把握，对生活的体察一以贯之，确实如陈可辛所说，是“很张冀”的一部电影。,40,555
甜菜观察手册,2023-04-29 00:30:43,"宣传长沙美食做得蛮好，刚看完人还没到家就点了碗双码粉的外卖
男女主的体力堪比铁人三项了，大晚上的，从德思勤走到黄兴路步行街再爬到岳麓书院再走到橘子洲大桥顺便跳了个江游了个泳再走到五一广场嗦粉，凌晨的时候两个人已经坐到了梅溪湖边上并宣布在一起了[强]
特种兵们旅游的时候学着点，晚上睡什么睡！都来给我通宵夜游长沙！张艺兴这次的表演惊喜到我了，很松弛自然，准确甚至丰满地传达出了这个角色的个性，摩天轮的两个西北小伙也很不错，说家乡话的时候，我这个长沙人听哭了好想跟编剧说：我们长沙人真的不是天天把“你要哦解咯”挂在嘴边的，听到这句话居然还被编成诗真的是全剧最尴尬的点没有之一！男女主的人设和情节，毁了其他所有演员营造的好氛围，格格不入，以至于最后两人突然接吻的时候，我周围都是一片脚指头扣地的嘘声",50,625
普通的酷酷小狗,2023-04-28 20:22:04,没头没尾。。。三分给何岸讲的地狱笑话,30,104
