用户名,评论时间,评论内容,评分,赞同数
好运连连,2023-01-22 11:10:19,人生倒霉事之二，昨天晚上看晚会，今天早上看这个（和晚会一样好看）,20,2366
嘟嘟熊之父,2023-01-22 11:01:22,最好的爱情/亲情/友情电影，对所有角色付出平等的爱，世俗又纯真。心口不一的爱，真假难辨的爱，近在眼前又远在天边的爱，曾经浪漫至死，转夜后一场幻梦。是逆光吗？是绿光啊！,50,278
河马咚咚锵,2023-01-22 11:55:12,"不是每个春节档喜剧都可以是《你好，李焕英》。《交换人生》可以抬走了，一个字儿:烂！
雷佳音演的很油腻，张小斐戏份和作用仅是大号女配，各个配角也很脸谱化。台词很尬，剧情很无厘头，煽情很刻意且尴尬，矛盾制造的很生硬，问题解决的很突然，还有一些极其令人无语的价值导向（反正烂片有的它都有罢了）。
唯一亮点:张宥浩！他演的很好，台词和形体都很好，是少见的可以演出青春朝气的男演员（或许是我看青春片比较少吧）。他把少年的青涩感和中年男性的成熟感演绎得淋漓尽致，给大家充分彰显了他塑造角色的能力！如果他的资源再进一步，相信他可以有更好的成就。

总之，今年春节档，避开《交换人生》[抠鼻]只是一个观影避雷推荐",20,819
保小罗,2023-01-22 11:09:21,演员们演技都没啥问题，就是纯粹剧情不给力,30,1551
喻鸣,2023-01-22 19:36:49,春节档最平庸无趣的一部，属于过了密钥期上优爱腾倍速看都得掂量费不费时的鸡肋片，但因为是夹在一堆悬疑、灾难、致郁大片里唯一一部纯喜剧，所以票房也不会太差，应了那句，选对了风口猪都能上天。,20,598
虾饼,2023-01-22 11:04:29,是斐妈爆前接的电影，镶边女主，有点子无聊。三星全给里面的女性角色。妈妈大爆之后希望越来越多更好的本子找过来！,30,1502
Alto,2023-01-22 11:10:26,龙虾那段到岳云鹏出现，笑得头都掉了。就是末了有点虎头蛇尾,40,483
杨迪,2023-01-27 14:24:16,大年初三带家里人去参加了带见面会的场次。去之前有些疑虑，因为豆瓣开分两天，分数不高。我又作为客串（对全片剧情完全未知，客串只有扉页），到时如果电影确实如部分网友所评，我应该如何发言才好呢。但电影看毕，我个人突然不太理解那些打低分的缘由了，整部片子肯定不是如同开心麻花或周星驰电影那般密集而笑，但它一直点缀着细腻且恰如其分的幽默。而且搞笑不是它的本质，温暖和爱才是它想要表达的。用奇幻的外壳讲述了关于人生选择的故事，非常适合阖家观赏。我9岁外甥女看到大鹅，整个乐开了花。当然，每个人都有自己的审美角度，我仅表达我想说的。如果你还没看这部电影，我还挺推荐的。,40,276
星星被风撩过✨,2023-01-23 10:27:40,你说无聊吧，还是有点笑点的；你说好笑吧，故事特别无聊甚至有点尬。你说他是奇幻片吧，幼稚没有丝毫逻辑；你说他是家庭片吧，我不知道导演想表达什么，情感和价值观全都是虚浮的，还有很多恶俗趣味。p.s. 能不能不要什么人都来演喜剧，我看到傅首尔都想吐。,20,534
六个6,2023-01-22 13:15:59,半天了，还是想回来骂一句，真难看。审美崩塌，烂梗漫天……电影短视频化什么时候是个头,20,513
朝阳区陆依萍,2023-01-22 11:34:17,救命！怎么那么可爱啊，好想和雷佳音谈恋爱！好朴素普世的喜剧电影，看得好幸福，爱情、亲情、友情几条线完美交织在一起，喜剧桥段生活自然，整体完成度很高，春节档最被低估的作品，如果不出意外应该是大黑马！！！,40,282
Nevoeiro,2023-01-22 14:43:18,三星差不多，但是多一颗星是鼓励。整个观影过程都很轻松。今天真的笑的很开心，前段时间看独行等，很多时候是笑不出来的。苏伦+ 陈祉希，女导演+女制片，我想这是令我全程舒适的原因：女性视角。和女性主角不同，女性主角的影片也可能是男性视角。《交换人生》可以说是女性视角的男性主角电影，小谷是绝对第一主角，但是从女性创作者的视角中展开，是许多男性视角不曾出现过的角度。从电影到生活，其实我们缺失很多女性视角，且就电影而言，其实我们需要更多的女导演，女编剧，等等。,40,263
dodo,2023-01-24 23:30:51,自己没活明白就想传授人生经验的尬片,20,169
Smeb,2023-01-23 02:39:06,。。。退钱,20,124
FOREVERYOUNG,2023-01-22 11:02:57,仿佛我写作文凑字数 然后在作文中间强行融入几句在别的书籍找到的抄词好句,10,1961
豆瓣路人己,2023-01-22 11:10:40,遗憾的创作，从爱情视角到家庭视角，没有把控故事创作方向，前后割裂的市场妥协。,30,774
JoeyLu陆柏宇,2023-01-31 22:10:50,奔着雷佳音张小斐互换身体来的，谁要看两个大男人互换身体啊,20,76
44个鼻涕包,2023-01-22 11:43:09,叫交换鹅生这部电影可能会更精彩,30,657
晚不安,2023-01-22 23:34:20,陈词滥调而又漏洞百出，绝对是今年春节档金鸡独立的零星电影。《超时空同居》的成功该让苏伦尝到了不少甜头吧，这才精神上接档开心麻花端出这样一盘屌丝预制菜。不仅压根没想要认真探讨家庭问题和爱情关系，而且还在不自觉地娱乐和消解它们的内在价值，并且用奇幻类型来为逻辑混乱的文本打掩护——一边用极其戏谑的态度作为情节的驱动力，一边又试图用合家欢的口吻宣告所作所为的合法性。演员们能意识到自己正在表演的其实是一些个中式恐怖段子吗？,10,265
谢谢 下一位,2023-01-22 11:11:12,一个十八岁少男因为暗恋张小斐却不敢告白而引发的一系列故事 故事内核非常合理因为张小斐应该为全国少男少女的mommy issue负全责 是她把mommy issue一年又一年地带进了贺岁档并在贺岁档发扬光大,30,537
