用户名,评论时间,评论内容,评分,赞同数
天马星,2022-08-05 12:17:04,"两句话概括本片：
-「有内鬼终止交易」
-「收手吧！阿祖」",30,3052
王大根,2022-08-05 21:53:30,还是警匪片逻辑，其实去除所有科幻元素故事也能成立——不就是把黑帮打手换成外星螳螂吗。我觉得最难以接受的还是：香港已经缺青年演员缺到连万国鹏都能上了吗！,30,2365
Bryan·Mai,2022-08-05 11:58:40,《异形2》+《明日之战》+《使命召唤11/12/13》+《泰坦陨落》+《假面骑士：甲斗》+《生化危机：终章》。缝合到美术、剧情、设定几乎没有一点原创，特效一眼动画感。节奏非常诡异，没有一场能真正调动激素的高潮戏，剧情赶工到天大的危机没有丝毫紧迫感，解决的又如此敷衍粗暴（指外星人一瓶药秒杀）。动作片不能带脑，但不能让人胃疼啊！怪兽片加人类反派？而且这个反派连动机都不说就无了。最可笑的是主角发现反派之后，居然大义凛然语音通话劝降而不是告诉全基地的队友，结果被反派切通讯追杀了一路。这种奇葩剧情你放动画片里面小朋友都看不下去好吧！就像一台印度万国造坦克，不中看也不中用。放《流浪地球》之前上映我还能厚着脸皮夸一下，可是现在中国科幻已经表明可以做到好剧本+好特效，这种工业残次品更显过时。,10,1222
凯文·史派东,2022-08-05 11:51:36,文戏删到只剩框架是对的，否则两头不讨好拖节奏苦心做的特效就白搭了，目前院线版精简成无脑爽片太明智了，科幻最难的不是特效是文本，一步一步来。,30,2133
连城易脆,2022-08-05 19:45:22,据说是古天乐因为当年特别喜欢阿凡达和钢铁侠所以创建了一家特效公司，这家公司还给流浪地球、红海行动做过特效，现在这部电影算是经历这么多年的磨练成长以后交的一份作业吧。所以本身还是很敬佩古天乐的情怀，也很羡慕可以用这样的方式去追求自己的爱好。可惜这部电影如果特效可以打80分的话，剧情就是-80分！！为什么不好好打磨剧本呢？剧情羸弱到都懒得去吐槽了。还有张家辉全程臭脸的表演简直让人发笑，“天幕就是我我就是天幕”的执念让人难以理解。以及香港电影常见的毛病就是这么大的科幻末日片，几乎没什么演员，就那么几个人的戏份，太单薄了，死几个人，就几乎没了。最让我费解的是为啥要用万国鹏？他用他的实力告诉我们他真的只适合演路人甲！！！特效本身确实还可以，细节到位，桥梁追车戏挺精彩的。最后，片尾曲为什么会是《逆战》？,30,1849
朱叉叉,2022-08-06 19:15:02,那个长得像个饼的丑死了的短脸扯后腿通讯兵是哪个资方塞进去的啊……还不如西门小恨恨呢……亚心……谁想看在末日片里看丑x谈恋爱啊,30,1848
复制灵魂,2022-08-05 14:56:33,承认不好看很难吗？,10,1302
顗礼,2022-08-04 18:43:57,大人物说“我就是天幕，即使牺牲16万人也在所不惜。” 小人物说“结局是什么，我们自己决定。” 你猜这些对白是在讲什么呢？//片尾曲用《逆战》用的挺准，跟正片几乎一个气质，纯中带土，土中带中二，中二里又带了点真诚，抛开所有对好莱坞盲目信任后的“借鉴”，其实是给到了很纯粹的类型满足，金像视效奖大概稳了吧（但剪辑和摄影选择完全是胡来，大部分动作戏都看得头昏脑胀）,30,418
张小段,2022-08-05 12:18:07,不提及“第一部华语机甲爽片”，疯狂扣剧情。不提及“电影6000w美元投资在好莱坞只是中等投资”，而直接对标好莱坞上亿投资的电影。不提及“学习人家好莱坞优秀的地方”，学习了就说人家是所谓的“缝合怪”。现在的豆瓣部分用户有些时候对国产片的要求之高，高到令人咂舌。拿着半桶水知识晃头晃脑的指点江山，真的是令人啼笑皆非。,40,4522
momo,2022-08-07 00:49:06,"难怪热评让删文戏 真该删
btw：那个酱油光仔太丑了 丑到我生理不适了😅",30,300
了不起的花轮君,2022-08-05 13:07:44,穷奇的特效贵还是潘多拉的特效贵？——刘嘉玲比较贵。,30,312
女神的秋裤,2022-08-05 15:25:31,很有机甲的味道，特效置景过关，动作戏有出彩的地方，大桥追车戏质量效果都不错，有爽度。但多数特效画面剪辑快，镜头短，看不清，技术或经费可能还是没跟上。文戏和台词较干也较尬，老国产片问题了。普通话配音很出戏，都在读台词，没浸入。由于文戏和情感戏撑不起，最后高潮嗨不起来。整体算有良心，尽力了，但“尽力了不等于做得好”。,30,179
盛妍,2022-08-05 12:16:22,质感远远超预期，故事简洁很懂得扬长避短，是一个优秀的爆米花！！,50,1520
知更鸟,2022-08-05 12:00:56,抛去滤镜，电影也就值3星，剧情过于简单了，看了开头就能大差不差的猜出结尾，特效绝对在及格线以上，看得出是十分用心了，优点是导演敢碰机甲类的科幻题材，这倒是非常值得表扬，但凡此类电影在多一点，中国的科幻电影就能更向前一大步！另外买票支持要比瞎喊口号要强多了，真心古天乐多年来的辛苦付出可以得到回报🙏🙏🙏,40,1949
安先生,2022-08-05 18:06:55,怎么形容咧？「为中国科幻片做出了一些有益的探索」,30,140
克拉克🇨🇳,2022-08-05 12:23:07,三星半，特效确实是目前国内最高水准了，台词免不了会被一顿吐槽，尬得不像三次元的人说的话，小女孩这个角色出现意义不明，如果纯粹是当做一个逆风局充电宝显得比较多余，打戏挺帅，大场面少了些，希望票房能有好成绩，第二部经费足一些。,40,1453
朝暮雪,2022-08-05 19:57:45,"看电影时：港片有出息了，都开始打外星人（植物）了。
看完后：港片连打外星人拍到最后都能变成抓内鬼。",20,6314
有心打扰,2022-08-04 22:02:51,如果不是看着它在特效制作的诚意上，真的很难给2星。剧本烂到千夫所指，每一场戏都毫无新意，极其套路化，生硬的爱情戏，更加生硬的小女孩，过时严重，哪怕是AI从网上摘抄拼凑写出来的故事都能比本作精彩。,20,1054
为有源头活水来,2022-08-06 02:45:33,"剧情过于简陋，开头5分钟就猜到整个剧情。真的是冲着古校长滤镜买票支持了。槽点不少：1.医院出现的小女孩莫名其妙，怪物包围能独立生存，古校长出现后丧失战斗能力只会玩布偶
2.剧情简单，看了开头就能猜到结尾，特别是反派。
3.可以看到的别的片的设定包括《穹顶之下》《钢铁侠》美队的盾牌《x战警》的Xavier。独行月球和本片都是学x战警弄个领导坐轮椅么？怪物也好眼熟，一时想不起来原形原形是哪部
4.机甲电量太低，三个小时都坚持不住，刘青云那件更夸张，5分钟就掉电10%。5.最后消灭那个潘多拉的过程太拉胯了，刘青云两分钟就搞定的事儿，和着就是全因为反派捣乱才拍了一部片",30,120
Xaviera,2022-08-04 22:52:55,让人看得想退钱，却又无比希望它能赚钱。大概只有古天乐有这个能耐了。,20,749
消亡之人,2022-08-05 14:40:24,"东拼西凑，乱七八糟。
人物的逻辑、行为、情感简陋程度是好几年没看到过的程度。
我本来想，至少制作水准会好些吧，但也没有，从头到尾所有建筑都很强的模型感，特效如何倒不重要，因为过快过抖的镜头让你根本就看不清。
室内打怪像生化危机和异形，废土背景像疯狂麦克斯，人机大战就更不必说了，还要塞进来自港片的警队兄弟情，和全世界通用的战区小女孩。甚至还能看到美队的盾和阿凡达的蓝色荧光植物。
无法在任何角落找到任何新的东西，哪怕只是灵光乍现；这些眼熟的组成部分也都没能达到最基本的完成度，别提有所超越了。
什么都是，什么都不是。
是这个时代最富余的杂交产物。",10,499
八洲,2022-08-06 19:14:56,"好无聊 好烂
说好看的影评人到底收了多少钱
总之现在坐在电影院的我就是非常后悔
如坐针毡 如芒刺背 如鲠在喉",10,437
吃完中饭吃晚饭,2022-08-31 22:11:32,哪个通信兵和女朋友是怎么混进这个剧组里的？,30,63
集安,2022-08-05 14:15:53,花钱看这玩意儿不如看免费的上海堡垒，什么意思呢，意思就是快跑！！,10,312
Parity,2022-08-04 19:18:41,"5-
炸死了炸死了，2022院线最爽。
特效、动作的编排都很丰富，快速剪辑里仍然能看清动作。机甲战外星虫族，机甲战机甲。开场简洁给出剧情发展与节奏变化，之后稳定执行＋抛出转折，喜欢这种经典思路，剧作有很多瑕疵，删减部分只能背一部分锅，但在我这里是可接受的。事后想想不少拉的剧情处理，但看的时候居然也没觉得尬……
成功援引了《天外魔花》以及其中的反派，借用麦卡锡主义产物进行表达，香港的情绪一目了然。xx主义侵袭，全球化对抗天幕封闭。
爽+适当的时代情绪来源，在院线还奢求什么?",50,960
私房歌,2022-08-05 15:18:44,我的要求不高，要比上海堡垒好看就行了。确实好过上海堡垒。,30,171
亵渎电影,2022-08-07 09:30:15,导演能力有问题，分镜头设计一团糟，剧本也不太行，连个零剧情的动作爽片都撑不起来，好几处生硬的bug。基本上就是拿一堆好莱坞动作片的套路加上港片套路，复刻了这么一个过时的大数据电影，制作上一股子好莱坞B级网大的粗糙感。古天乐的机甲梦想是好的，可惜工业质感还是跟不上，特效没细节，后期穷到连个怪兽和机甲战士连个特写镜头都给不了。我感觉什么细节都没看清楚，一度怀疑是电影院的拷贝坏了，看得人直着急，后来开始怀疑是主创团队要的就是这种让观众什么都看不清楚的朦胧美，就这水平，不值票价。,20,184
或者雪,2022-08-08 22:07:42,单看几场打斗和特效场面这部片是有潜质成为一部至少还不错的科幻片的，但这个剧情实在是…无人医院莫名出现一个小女孩，这个小女孩的出现之突兀让我一度以为她是古天乐幻想出来的；主角发现张家辉是幕后黑手竟然直接找对方对质希望其收手，这跟自杀有什么区别。以及张家辉演这个角色虽然本来就有病但也没必要满脸写着我不正常我是反派吧…,30,47
失控的拥桑,2022-08-05 11:53:41,完完全全把范霍文的《星河战队》重新拍了一遍，看到了无数科幻片的影子，欢迎大家来到B16区的《星河战队》，机甲版《碟中谍6》，《环太平洋》，《生化危机》，《第九区》，《明日边缘》等不三不四的结合体。而剧情和内容的呈现就见仁见智了，一开始就打算做老少咸宜，妇孺皆知的电影。所有人物塑造沦为纸片人的单一形象，为了爽而忽略剧情人物底色。估计全片最真诚的，可能是比人物情感还纯粹的特效。哦，还不忘记come on come on逆战来也。,20,231
马掰掰,2022-08-05 22:43:28,感觉好不容易才完成这么一部刚刚好踩及格线的作品，要是好莱坞出品那就是洋垃圾了哦！离《环太平洋》这种还是有好远的距离，至少世界观就不在一个维度，都要世界末日了，还搞港片那套“抓内鬼”的故事模式就有点低级了。,30,67
misirlou,2022-08-05 20:35:40,用心做特效，用脚写剧本,40,246
胤祥,2022-08-10 20:32:16,面对“人类的机会”，共存派最大的敌人不是外星植物，而是只在意自己政绩的天幕派……最后还是靠基因武器赢得了战斗……这寓言写得真是浅显易懂啊。,40,77
楚天舒,2022-08-08 17:59:40,可恶，剧本也是机甲AI啥写的吧。,20,180
吴孟达爱吃饭,2022-08-06 23:33:07,整个电影最科技感的就是刘嘉玲的脸了吧,10,290
雨苔思音,2022-08-05 22:22:18,这部电影最好笑的就是，作为古天乐准备多年的野心科幻大作，它在第一个镜头就开始掉帧。,20,195
南柯无梦,2022-08-05 17:17:03,我记得没错的话，这是中国第一部有如此特效的怪兽出现，机甲设计也不是抄袭的那种，值得电影院一看，应该值3.5分。另外1.5分是希望刘青云，古天乐，张家辉三个人，永远活跃在荧屏上。,50,742
板凳探长,2022-08-05 23:45:20,这是我没想到的ohhhhhhhhhhhhhhhhhh（2022.7.20）   剧情简简单单，过渡清清爽爽，肉眼可见，古校长没多少资金，但成片效果依然是出乎意料，一伙港片戏骨出现在科幻片里并担纲主角，很有新鲜感；我就知道，盖学校的古天乐肯定不会像马修沃恩随随便便这个死那个死；别看海报上写的张家辉是友情客串，人家戏份不少，电影快放完了才发现小绿是吴倩演的，她那一笑，《冰糖炖雪梨》的感觉一下子全都来了；这部电影里的怪物比《神探大战》里的丑，，丑得多，但是你看多丑的怪物还是刘青云打；谢君豪演的那家伙是真的像陈丹青，生怕他一开口就是“我从小就装b，我非常喜欢装b”；爆米花电影嘛，还是港产，难得这种效果，知足知足,50,485
看電影的人,2022-08-16 20:28:14,拍的很好，以后别拍了…,20,84
X,2022-08-04 21:10:34,这个万国鹏什么背景？！怎么这么丑，丑得我浑身一激灵。一出场我爸“这个伢子是不是有甲亢？” 我妈“怎么长得歪瓜裂枣的？”我“这是带资进组的吧？”,10,239
Bromance-R,2022-08-06 14:49:53,孤勇者打小怪兽 片尾曲逆战差点笑场,30,66
