用户名,评论时间,评论内容,评分,赞同数
用户名,评论时间,评论内容,评分,赞同数
🐽,2023-04-28 20:53:17,预告诈骗型电影，又多期待就有多失望,10,1159
我没电了🪐,2023-04-28 22:00:00,张新成每次深情地看着孙千的时候，就像一个眼神坚毅的喜羊羊,30,2692
清,2023-04-28 20:14:55,不是，别的就不吐槽了，新加坡和中国的通讯是只给你俩切断了吗？,30,1950
忽生知月,2023-04-29 20:06:44,"女主弟：“你恨我吗”
女主：“傻，你可是我弟弟”
那一刻我无奈到极点",30,1467
武侠小王子,2023-04-28 22:00:20,总体感观还不错，仿佛看到了自己学生时代青涩的影子。或许每个人对于爱情都有不同的理解，但电影却把恋爱过程中大家都能共鸣的小细节丰富呈现了出来。演员的表演也比较细腻，我们能察觉到张新成和孙千在不同背景下，不同时间节点下的细微情感变化。围巾、西餐厅门口的雕像、孙千的雨中舞…等诸多意象化的表达，全面的拉升了影片的质感和可看性。。整体是一部不错的爱情片，推荐！,50,994
方聿南,2023-04-29 12:36:03,陈见夏和李燃相遇在中学校园，分离在大学时光，又在多年后的人生路上不期而遇，然后回忆像潮水一样涌来，曾经的恋人又被爱情再次包围，这次更加浓烈更加深沉。客观地讲，如果你对一部爱情片的期待就只是无休无止无脑地疯狂发糖，吹出一万个美丽肥皂泡供你悬浮在幻想宇宙，那《这么多年》或许不是你的菜。这里没有那种会让人甜到牙根发腻的嘤嘤情节，也不会把所有邂逅和重逢都包装得像是不真实的三次元童话，也正因如此，爱情中的每个波折才有了扎实的分量，在你的心海激起更大的涟漪。好看的爱情故事从来不止是一帆风顺，不是我们如何在一起和一定会在一起——而是会让你看到，在许许多多的瞬间里，我们是如何差点没能在一起的。只有这样，最终的双向奔赴才有动人的力量。,40,987
OMG,2023-04-28 20:44:58,如鲠在喉如芒刺背如坐针毡,20,1743
时光停在你眼里,2023-04-28 21:35:48,看完首映我真的很惊喜！！！不是书粉，也不是很了解振华n部曲。从一开始对这部电影并不报太高期待，毕竟国产爱情电影懂得都懂，但是！！这部真的可以是天花板了，有剧情，有演技，有泪点，有笑点！！纯爱真的yyds，本来以为演过林杨的张新成来演混混李燃会出戏，但是他稳稳的接住了这个角色！！孙千也好棒，好适合演这种忧郁女主，总之五一大家无脑冲这部就是了！！,50,902
宋小君,2023-04-29 14:20:08,整体观感不错，国产爱情片在进步。孙千演怯懦但又不服输的女孩很灵，张新成也能驾驭痞帅和少年感，两个人很搭。故事在19年这个时间节点展开，通过触景生情的方式回溯10年前的学生时代记忆，年代还原比较到位，很容易将人拉回到十年前，算是意外之喜。观影过程对电影本身的感受，和观影之后联系生活的回味都挺唏嘘的，“最登对的总分开”大概生活总逃不开一些意难平吧。在电影里跟着角色的悲喜跨过一段10年的情感，其实就是映照自己的心事吧。,40,770
