用户名,评论时间,评论内容,评分,赞同数
hedy,2023-01-22 11:40:53,熊出没说不定是今年春节档唯一不是烂片的电影。,40,1246
凯文·史派东,2023-01-24 13:34:36,你们这些真人电影再不争点气，我熊早晚拿春节档票房冠军。,30,1900
东风霹雳,2023-01-22 14:21:10,感觉熊出没的制作者真的属于中国非常有诚心，有耐心，不断挑战自己，追求一年比一年更高的业界良心。,50,418
安歌冬阳,2023-01-22 15:07:51,没想到兔年第一部电影献给了《熊出没》，被动营业，本想借机补觉，竟然看的又哭又笑。特意来推荐，是真没想到这玩意的大电影这么好看，都第九部了，一直以为是每年春节圈钱，今天一看就被打脸了。这立意，剧情，制作，老少皆宜。总之，狂推，牛逼。,50,174
白盏盏,2023-01-22 11:57:15,一群家长以自己的目光来看待一个献给儿童的电影，也是献给大朋友的电影，也不知这部关于“母爱”的主题碰到家长哪里的制高点了，是因为自己在家里压榨孩子，结果孩子看了这部电影之后问家长为什么我没有这样的妈妈破防来故意打低分吗？我自己的观点：这部电影还是稳定发挥，应该不会翻车（1月22日15:20修改版：票房开始碾压无名，春节档分水岭，质检员，以最低的排片率贡献几近最高的上座率，熊出没不愧是你）,40,824
ChaosLio,2023-01-22 10:54:51,稳定发挥,30,555
就是没有胡子,2023-01-22 11:27:59,讲母爱的我们娘俩抱头痛哭,30,416
瑞鸡,2023-01-22 13:12:31,熊大熊二的大电影出品质量一如既往比较稳定。中间还有点感动，看到结尾才知道这种毫不掩饰的煽情目标是陪娃看电影的父母啊，真无耻。这种稳定就像网飞的精于计算一般讨巧，设计上几乎肯定不会翻车的找妈妈主线，将动画人物的故事和行为无限接近真人。看看皮克斯的电影，或是深入一个其他种群的世界（机器人 玩具 赛车 鱼）或是极度抽象人类的情感，这才是动画片应该承载的，不是吗？,10,205
海月梦香,2023-01-22 19:45:09,算是系列大电影里比较平淡的一部吧，虽然质量有底子保证，但是故事缺乏新意，题材也没有突破性，和前作相比就显得反差有点儿大。,30,253
三月对我笑,2023-01-23 17:41:10,小孩子们看得欢乐，大人们只觉得无趣和吵闹。其实真不至于给低分，不用大人思维去评判儿童向电影。16年我刚来豆瓣，看到我童年动画全是低分，一群“大人”在那对我的童年指指点点，挺恼火的。不过好在那些动画后续评分还是上来了，现在都是八九分的高分片了。,40,682
疯狂大帆船,2023-01-22 11:08:47,相比之前的影片，这次的主题其实蛮有深度的（机器伦理，对小孩来说深了），情节安排上竟然能一波三折，早期三主线并推，有些技术。整体逻辑通顺，难能可贵（一点点小瑕疵无伤大雅）。国产动画片当中，熊出没大电影是最用心的，很不错。,40,544
自由飞翔,2023-01-22 15:35:31,被某部烂电影伤到的心情被我们可爱的熊熊们给治愈了，果然还得是我们熊出没，yyds！！！！,50,154
突然粉碎,2023-01-22 14:56:31,都是成年人了没必要尬吹,20,260
磕学家🥺,2023-01-25 20:05:20,"好消息：熊大熊二终于找到妈妈了。
坏消息：他们妈妈是个机器人。
好消息：他们妈妈虽然是个机器人但是有人的感情。
坏消息：他们妈妈准备牺牲自己。
好消息：妈妈被修理好复活了!",30,202
罗辑,2023-01-22 15:12:49,熊出没每年探索的主题还是比较深刻的，并没有完全的低龄化，小朋友看得都很感动。,40,392
刘小青,2023-01-25 18:31:07,这个IP维护得很好,40,46
深爱Briar,2023-01-24 22:27:15,比想象中好，画面特效不输隔壁深海，脑洞挺大，反转很意外，郁可唯的歌声贯穿全场（和熊妈的脸很贴(可能要常驻了？•_ゝ•)全片  真·含「妈」量爆表,40,29
是王帅傅,2023-01-22 19:45:47,不是很喜欢这一部，整体节奏太冒进了，最后把妈妈的爱落在机器人身上经不起推敲，剧作上还是太随意了,20,42
Ticktock,2023-01-26 15:49:53,"这种电影纯粹地有益身心在于，身边孩子的童真让人触动。3D的苹果、萤火虫，他们会伸手触碰；作为孩子特权的肆无忌惮地违反电影院沉默惯例的嬉笑交谈；黑暗中短暂的集体情绪的互相感染，这一切都让人感到惬意，以后心情不好就去儿童电影专场窃取小孩儿的快乐吧。
这部电影作为艺术作品，那可以去解码解读的就多了，熊妈妈不停地强调“为了我的孩子我别无选择”，那我他妈生育恐惧就更严重了，为了孩子别无选择，人质是吧？
母亲是机器人而且一直是，齐泽克来拿拉康和弗洛伊德得给你分析出花儿来。
还有，因为熊妈妈产生了爱，所以进化为最厉害的人工智能，你这比隔壁550W还狠呢？干脆您来主持移山计划吧。
剔除这刻版肤浅的亲情描写，剔除熊二略尬的插科打诨，还行。反正结尾一堆机器人冲上去的群戏比隔壁的某江红唱诗班好，嘻嘻。",30,143
大浩Colen,2023-01-28 17:57:36,"你以为你在陪孩子，其实是孩子在等你。
批量生产的垃圾食品，欺负小孩不玩豆瓣。",20,12
鬈もも,2023-01-22 12:09:20,其实就从女性内核这个立意已经杀爆一片假期档国产电影：两位反派都是男性，一位女性引导主角寻找另一位女性。还挺嫌弃最近几部都要搞大科幻的概念，像好莱坞山寨片，这明显是日常或者奇幻题材创作山穷水尽，只能靠噱头骗点观众。而且这部的情节连贯太差了，都不给你瞎解释直进主线；进步最大的是温情点包袱效果拉满，非常好哭，怎么说都抄到点上了——依然很难夸熊出没如何，毕竟很多概念都是一大抄,-t,55
请尊敬王道长,2023-01-22 12:42:07,家里侄子只选这个，票房咋能不高。。。还好戴着眼镜，我都看睡了，也不影响他跟我讨论剧情,-t,60
浩子菌,2023-01-28 02:22:42,7.5分，陪几个外甥女去看的，没想到今年合家欢属性最高的春节档影片是熊出没呀，3D视觉效果做得还可以，而且笑点频出，温馨氛围的营造也自然。去年我就谈过“重返地球”的动画水准能达到一线水准了，但讲故事能力还停在三线。今年的“伴我熊芯”用大荧幕讲故事的能力明显提升一个档次，有人物成长、有矛盾冲突，更有自然而然的主题升华。还是那句话，能在中国“日益完善”的动画工业基础上去讲好本土故事，都是值得肯定的。借用葫芦兄弟导演说过的一句话:“一部好的动画片，应该有趣、惊险、幽默，但最重要的是一定要有内涵。”可能很多人都忘记了，国漫曾经也是王者的，希望在动画新工业的加持下，国漫能挖掘或重塑更多的本土IP吧。,40,26
XJＣ,2023-01-22 11:44:25,小孩喜欢看；但是这种电影故事垃圾、毫无诚意、只为捞钱；此外最恶心的是有必要做3D吗！！！,10,50
连城易脆,2023-01-24 19:52:40,"这是我第二次看剧场版熊出没，上次还是2020年春节时候《狂野大陆》的点映，看完后就因为疫情爆发撤档了。

这次看纯粹是基于要完整看完7部春节档电影强迫症，所以在排序上放在了末尾，当然我也确实不是这部电影的受众，所以花了90+的票价还是稍微有点小心疼。

熊出没早就摒除了最早的那种特别低龄、劣质的那种刻板印象，电影在使用非常成熟老练的类型化商业片的套路，不过也因为非常类型化，所以对于常看电影的我来说，也就特别没有新意，但是对于带着孩子一起看的家长来说就比较友好，不会太无聊，也有反转也有动作也有特效，孩子看得也开心，皆大欢喜。

经过这些年的发酵，熊出没已经非常稳定了，算是稳赚不赔的项目，所谓名作之壁，春节档的钉子户之黄金分割线，但没料到今年逆袭得特别快，初二就爬到第三了。不得不佩服，希望能拍完一圈生肖。",30,18
美味蛋糕,2023-03-02 20:38:22,前几天去看的，我不太能接受改设定，熊妈妈居然是机器人，让我难以置信。效果不用说，还是一如既往的好。还有我觉得反派的智商也够低的。不过从情感上表达的还是不错，剧情也比狂野大陆和重返地球好，所以打四星吧！我发现后面的小女孩和妈妈居然看哭了，可能是我泪点太高了，实在被感动不起来。,40,2
