日期,最高温度,最低温度,天气,风向
2018-01-01 周一,21°,13°,多云,无持续风向微风
2018-01-02 周二,21°,13°,多云,无持续风向微风
2018-01-03 周三,23°,15°,多云~阴,无持续风向微风
2018-01-04 周四,21°,14°,阴~小雨,无持续风向微风
2018-01-05 周五,18°,13°,阴~小雨,无持续风向微风
2018-01-06 周六,15°,13°,小雨~大雨,无持续风向微风
2018-01-07 周日,15°,7°,中到大雨~中雨,无持续风向微风
2018-01-08 周一,12°,6°,中到大雨~小雨,无持续风向4-5级
2018-01-09 周二,7°,5°,小到中雨~多云,无持续风向微风
2018-01-10 周三,13°,6°,多云,无持续风向微风
2018-01-11 周四,14°,6°,多云,无持续风向微风
2018-01-12 周五,15°,7°,晴,无持续风向微风
2018-01-13 周六,19°,8°,多云,无持续风向微风
2018-01-14 周日,19°,8°,多云,无持续风向微风
2018-01-15 周一,20°,10°,多云,无持续风向微风
2018-01-16 周二,22°,12°,多云,无持续风向微风
2018-01-17 周三,24°,12°,多云,无持续风向微风
2018-01-18 周四,24°,13°,多云~小雨,无持续风向微风
2018-01-19 周五,20°,16°,阴,无持续风向微风
2018-01-20 周六,23°,15°,阴,无持续风向微风
2018-01-21 周日,23°,16°,多云,无持续风向微风
2018-01-22 周一,23°,15°,阴,无持续风向微风
2018-01-23 周二,24°,14°,多云,无持续风向微风
2018-01-24 周三,22°,15°,多云,无持续风向微风
2018-01-25 周四,22°,12°,多云~阴,无持续风向微风
2018-01-26 周五,18°,10°,阴~多云,无持续风向微风
2018-01-27 周六,15°,8°,阴,无持续风向微风
2018-01-28 周日,11°,5°,小雨,北风4-5级
2018-01-29 周一,8°,6°,小雨,无持续风向微风
2018-01-30 周二,8°,5°,小雨,无持续风向微风
2018-01-31 周三,7°,4°,阵雨~多云,北风3-4级
2018-02-01 周四,13°,4°,晴,无持续风向微风
2018-02-02 周五,12°,5°,多云,北风3-4级
2018-02-03 周六,13°,4°,多云,北风3-4级
2018-02-04 周日,14°,4°,多云,北风4-5级
2018-02-05 周一,12°,3°,多云,北风3-4级
2018-02-06 周二,14°,4°,多云,无持续风向微风
2018-02-07 周三,15°,8°,多云,无持续风向微风
2018-02-08 周四,17°,9°,多云,无持续风向微风
2018-02-09 周五,19°,10°,多云,无持续风向微风
2018-02-10 周六,21°,9°,阴,无持续风向微风
2018-02-11 周日,16°,9°,阴~多云,无持续风向微风
2018-02-12 周一,17°,7°,多云,无持续风向微风
2018-02-13 周二,20°,9°,多云,无持续风向微风
2018-02-14 周三,22°,11°,多云,无持续风向微风
2018-02-15 周四,24°,15°,多云,无持续风向微风
2018-02-16 周五,26°,15°,多云,无持续风向微风
2018-02-17 周六,26°,15°,多云,无持续风向微风
2018-02-18 周日,23°,16°,多云,无持续风向微风
2018-02-19 周一,24°,17°,阴,无持续风向微风
2018-02-20 周二,27°,13°,阴,无持续风向微风
2018-02-21 周三,20°,10°,阴~小雨,无持续风向微风
2018-02-22 周四,12°,10°,小雨,无持续风向微风
2018-02-23 周五,18°,15°,阴~阵雨,无持续风向微风
2018-02-24 周六,20°,15°,阴~阵雨,无持续风向微风
2018-02-25 周日,18°,12°,小雨~阴,无持续风向微风
2018-02-26 周一,21°,14°,多云,无持续风向微风
2018-02-27 周二,25°,17°,多云,无持续风向微风
2018-02-28 周三,26°,18°,多云,无持续风向微风
2018-03-01 周四,28°,18°,多云~阴,南风3-4级
2018-03-02 周五,26°,20°,多云,无持续风向微风
2018-03-03 周六,27°,20°,多云,无持续风向微风
2018-03-04 周日,26°,20°,小雨~雷阵雨,南风3-4级
2018-03-05 周一,27°,17°,雷阵雨,无持续风向微风
2018-03-06 周二,25°,17°,阴,无持续风向微风
2018-03-07 周三,24°,11°,雷阵雨~中雨,无持续风向微风
2018-03-08 周四,14°,8°,雷阵雨~多云,北风4-5级
2018-03-09 周五,19°,8°,晴,无持续风向微风
2018-03-10 周六,21°,9°,晴,无持续风向微风
2018-03-11 周日,23°,13°,多云,无持续风向微风
2018-03-12 周一,25°,16°,多云,无持续风向微风
2018-03-13 周二,25°,16°,多云~小雨,无持续风向微风
