变量,含义
ID,客户贷款申请ID
x1,客户收入（美元）
x2,客户在申请汽车贷款之前是否拥有任何汽车（0表示没有，1表示没有）
x3,客户是否拥有的任何自行车（0代表没有，1代表没有）。
x4,在申请贷款时，是否有其他有效的贷款（0表示没有，1表示没有）。
x5,客户拥有的任何房产（0代表没有，1代表没有）。
x6,客户有多少个孩子
x7,贷款的信贷金额（美元）
x8,贷款年金（Loan annuity，美元）
x9,当客户申请贷款时，谁陪同客户一起去的？
x10,客户收入类型
x11,客户获得的最高教育水平
x12,客户的婚姻状况（D- 离婚，S- 单身，M- 已婚，W- 丧偶）。
x13,客户的性别
x14,贷款类型（CL- 现金贷款，RL- 循环贷款）
x15,客户住房情况
x16,客户所居住地区的相对人口。较高的值意味着客户生活在人口较多的地区
x17,客户在提交申请时的年龄
x18,在申请贷款前，客户受雇天数
x19,在申请贷款的前几天，客户更改了他/她的注册信息
x20,在申请贷款前几天，客户更换了申请贷款的ID信息
x21,客户的房龄，以年为单位
x22,客户是否提供手机号码（1表示是，0表示否）。
x23,客户是否提供家庭电话（1表示有，0表示没有）。
x24,工作电话是否可以接通（1表示是，0表示否）。
x25,客户职业类型
x26,客户有多少个家庭成员
x27,客户城市评级。3表示最佳，2表示良好，1表示平均。
x28,客户申请贷款的星期（0-星期日，1-星期一，2-星期二，3-星期三，4-星期四，5-星期五，6-星期六）。
x29,客户申请贷款当天的时间
x30,客户联系地址与永久地址是否不一致
x31,客户的工作地址与联系地址是否不一致
x32,客户工作的组织类型
x33,其他来源评分1（标准化数据）
x34,其他来源评分2（标准化数据）
x35,其他来源评分3（标准化数据）
x36,在过去的60天里，客户的朋友/家人有多少人拖欠任何贷款付款？
x37,在申请贷款前多少天，客户更换了他/她的电话
x38,去年的信用查询总数
Label,是否拖欠还款（1表示客户拖欠贷款，0表示不拖欠）
